"Date","Depth","TP_interp"
2013-06-04,3.8,30
2013-06-04,5,24.35
2013-06-04,5.2,NA
2013-06-04,5.5,NA
2013-06-04,5.8,NA
2013-06-04,6,NA
2013-06-04,6.2,28.9
2013-06-04,8,32.95
2013-06-04,9,NA
2013-06-04,9.3,NA
2013-06-06,0.1,28.3
2013-06-06,1,25.8
2013-06-06,1.6,41.5
2013-06-06,2.8,33.2
2013-06-06,3.8,27.4
2013-06-06,5,21.7
2013-06-06,5.2,NA
2013-06-06,5.5,NA
2013-06-06,5.8,NA
2013-06-06,6,NA
2013-06-06,6.2,32.4
2013-06-06,8,35.7
2013-06-06,9,NA
2013-06-06,9.3,NA
2013-06-13,0.1,21.7
2013-06-13,1,31.65
2013-06-13,1.6,21.7
2013-06-13,2.8,36.15
2013-06-13,3.8,22.5
2013-06-13,5,23.4
2013-06-13,5.2,NA
2013-06-13,5.5,NA
2013-06-13,5.8,NA
2013-06-13,6,NA
2013-06-13,6.2,19.1
2013-06-13,8,18.3
2013-06-13,9,NA
2013-06-13,9.3,NA
2013-06-20,0.1,36.7
2013-06-20,1,37.5
2013-06-20,1.6,37.5
2013-06-20,2.8,39.1
2013-06-20,3.8,38.3
2013-06-20,5,31.9
2013-06-20,5.2,NA
2013-06-20,5.5,NA
2013-06-20,5.8,NA
2013-06-20,6,NA
2013-06-20,6.2,39.1
2013-06-20,8,38.3
2013-06-20,9,NA
2013-06-20,9.3,NA
2013-06-25,0.1,29.95
2013-06-25,1,33.9
2013-06-25,1.6,33.15
2013-06-25,2.8,30.75
2013-06-25,3.8,39.7333333333333
2013-06-25,5,27.55
2013-06-25,5.2,NA
2013-06-25,5.5,NA
2013-06-25,5.8,NA
2013-06-25,6,NA
2013-06-25,6.2,33.15
2013-06-25,8,54.95
2013-06-25,9,NA
2013-06-25,9.3,NA
2013-06-27,0.1,23.2
2013-06-27,1,30.3
2013-06-27,1.6,28.8
2013-06-27,2.8,22.4
2013-06-27,3.8,41.1666666666667
2013-06-27,5,23.2
2013-06-27,5.2,NA
2013-06-27,5.5,NA
2013-06-27,5.8,NA
2013-06-27,6,NA
2013-06-27,6.2,27.2
2013-06-27,8,71.6
2013-06-27,9,NA
2013-06-27,9.3,NA
2013-07-03,0.1,38.9
2013-07-03,1,48
2013-07-03,1.6,49.9
2013-07-03,2.8,74.4
2013-07-03,3.8,42.6
2013-07-03,5,45.3
2013-07-03,5.2,NA
2013-07-03,5.5,NA
2013-07-03,5.8,NA
2013-07-03,6,NA
2013-07-03,6.2,33.5
2013-07-03,8,35.3
2013-07-03,9,NA
2013-07-03,9.3,NA
2013-07-11,0.1,55.5
2013-07-11,1,118.8
2013-07-11,1.6,42.2
2013-07-11,2.8,28
2013-07-11,3.8,24.7
2013-07-11,5,20.5
2013-07-11,5.2,NA
2013-07-11,5.5,NA
2013-07-11,5.8,NA
2013-07-11,6,NA
2013-07-11,6.2,23
2013-07-11,8,23.8
2013-07-11,9,NA
2013-07-11,9.3,NA
2013-07-15,0.1,29.3
2013-07-15,1,35.9
2013-07-15,1.6,27.7
2013-07-15,2.8,28.5
2013-07-15,3.8,21.1
2013-07-15,5,21.9
2013-07-15,5.2,NA
2013-07-15,5.5,NA
2013-07-15,5.8,NA
2013-07-15,6,NA
2013-07-15,6.2,17
2013-07-15,8,21.1
2013-07-15,9,NA
2013-07-15,9.3,NA
2013-07-18,0.1,30.9
2013-07-18,1,36.65
2013-07-18,1.6,41.55
2013-07-18,2.8,59.1
2013-07-18,3.8,31.3
2013-07-18,5,23.95
2013-07-18,5.2,NA
2013-07-18,5.5,NA
2013-07-18,5.8,NA
2013-07-18,6,NA
2013-07-18,6.2,34.15
2013-07-18,8,29.65
2013-07-18,9,NA
2013-07-18,9.3,NA
2013-07-22,0.1,32.5
2013-07-22,1,37.4
2013-07-22,1.6,55.4
2013-07-22,2.8,89.7
2013-07-22,3.8,41.5
2013-07-22,5,26
2013-07-22,5.2,NA
2013-07-22,5.5,NA
2013-07-22,5.8,NA
2013-07-22,6,NA
2013-07-22,6.2,51.3
2013-07-22,8,38.2
2013-07-22,9,NA
2013-07-22,9.3,NA
2013-07-25,0.1,36.2
2013-07-25,1,70.7
2013-07-25,1.6,62.5
2013-07-25,2.8,23
2013-07-25,3.8,45.2
2013-07-25,5,62.6
2013-07-25,5.2,NA
2013-07-25,5.5,NA
2013-07-25,5.8,NA
2013-07-25,6,NA
2013-07-25,6.2,32.6
2013-07-25,8,98
2013-07-25,9,NA
2013-07-25,9.3,NA
2013-07-29,0.1,23.9
2013-07-29,1,36.2
2013-07-29,1.6,76.4
2013-07-29,2.8,52.6
2013-07-29,3.8,38.6
2013-07-29,5,35.4
2013-07-29,5.2,NA
2013-07-29,5.5,NA
2013-07-29,5.8,NA
2013-07-29,6,NA
2013-07-29,6.2,40.3
2013-07-29,8,22.2
2013-07-29,9,NA
2013-07-29,9.3,NA
2013-08-01,0.1,51
2013-08-01,1,51
2013-08-01,1.6,51.9
2013-08-01,2.8,68.5
2013-08-01,3.8,38.6
2013-08-01,5,40.2
2013-08-01,5.2,NA
2013-08-01,5.5,NA
2013-08-01,5.8,NA
2013-08-01,6,NA
2013-08-01,6.2,68.5
2013-08-01,8,53.5
2013-08-01,9,NA
2013-08-01,9.3,NA
2013-08-08,0.1,43.7
2013-08-08,1,25.7
2013-08-08,1.6,24.1
2013-08-08,2.8,25.7
2013-08-08,3.8,56.8
2013-08-08,5,34.7
2013-08-08,5.2,NA
2013-08-08,5.5,NA
2013-08-08,5.8,NA
2013-08-08,6,NA
2013-08-08,6.2,36.4
2013-08-08,8,26.5
2013-08-08,9,NA
2013-08-08,9.3,NA
2013-08-12,0.1,23.5
2013-08-12,1,20.7
2013-08-12,1.6,22.1
2013-08-12,2.8,22.8
2013-08-12,3.8,22.1
2013-08-12,5,15.9
2013-08-12,5.2,NA
2013-08-12,5.5,NA
2013-08-12,5.8,NA
2013-08-12,6,NA
2013-08-12,6.2,13.8
2013-08-12,8,15.9
2013-08-12,9,NA
2013-08-12,9.3,NA
2013-08-28,0.1,19.8
2013-08-28,1,21
2013-08-28,1.6,19.6
2013-08-28,2.8,33.6
2013-08-28,3.8,25.05
2013-08-28,5,19.2
2013-08-28,5.2,NA
2013-08-28,5.5,NA
2013-08-28,5.8,NA
2013-08-28,6,NA
2013-08-28,6.2,16.35
2013-08-28,8,21.9
2013-08-28,9,NA
2013-08-28,9.3,NA
2013-09-18,0.1,16.1
2013-09-18,1,16.1
2013-09-18,1.6,17.1
2013-09-18,2.8,17.1
2013-09-18,3.8,28
2013-09-18,5,19.8
2013-09-18,5.2,NA
2013-09-18,5.5,NA
2013-09-18,5.8,NA
2013-09-18,6,NA
2013-09-18,6.2,18.9
2013-09-18,8,17.1
2013-09-18,9,NA
2013-09-18,9.3,NA
2013-09-25,0.1,27.1
2013-09-25,1,17.1
2013-09-25,1.6,20.7
2013-09-25,2.8,21.6
2013-09-25,3.8,25.3
2013-09-25,5,18.9
2013-09-25,5.2,NA
2013-09-25,5.5,NA
2013-09-25,5.8,NA
2013-09-25,6,NA
2013-09-25,6.2,30.8
2013-09-25,8,18.9
2013-09-25,9,NA
2013-09-25,9.3,NA
2013-10-16,0.1,24.5
2013-10-16,1,22.6
2013-10-16,1.6,20.8
2013-10-16,2.8,20.8
2013-10-16,3.8,21.7
2013-10-16,5,19.8
2013-10-16,5.2,NA
2013-10-16,5.5,NA
2013-10-16,5.8,NA
2013-10-16,6,NA
2013-10-16,6.2,16.1
2013-10-16,8,18
2013-10-16,9,NA
2013-10-16,9.3,NA
2013-10-23,0.1,36
2013-10-23,1,23.55
2013-10-23,1.6,36.9
2013-10-23,2.8,19.2
2013-10-23,3.8,16.4
2013-10-23,5,17.4
2013-10-23,5.2,NA
2013-10-23,5.5,NA
2013-10-23,5.8,NA
2013-10-23,6,NA
2013-10-23,6.2,15.5
2013-10-23,8,13.6
2013-10-23,9,NA
2013-10-23,9.3,NA
2013-10-30,0.1,28
2013-10-30,1,24.5
2013-10-30,1.6,25.3
2013-10-30,2.8,19.2
2013-10-30,3.8,19.2
2013-10-30,5,20.1
2013-10-30,5.2,NA
2013-10-30,5.5,NA
2013-10-30,5.8,NA
2013-10-30,6,NA
2013-10-30,6.2,17.4
2013-10-30,8,20.1
2013-10-30,9,NA
2013-10-30,9.3,NA
2013-11-06,0.1,11.2
2013-11-06,1,13
2013-11-06,1.6,20.9
2013-11-06,2.8,19.2
2013-11-06,3.8,13
2013-11-06,5,12.1
2013-11-06,5.2,NA
2013-11-06,5.5,NA
2013-11-06,5.8,NA
2013-11-06,6,NA
2013-11-06,6.2,11.2
2013-11-06,8,15.6
2013-11-06,9,NA
2013-11-06,9.3,NA
2013-11-20,0.1,12.0333333333333
2013-11-20,1,14.0666666666667
2013-11-20,1.6,18.4333333333333
2013-11-20,2.8,17.7666666666667
2013-11-20,3.8,13.2
2013-11-20,5,12.3333333333333
2013-11-20,5.2,NA
2013-11-20,5.5,NA
2013-11-20,5.8,NA
2013-11-20,6,NA
2013-11-20,6.2,12.4333333333333
2013-11-20,8,13.4333333333333
2013-11-20,9,NA
2013-11-20,9.3,NA
2013-12-04,0.1,12.8666666666667
2013-12-04,1,15.1333333333333
2013-12-04,1.6,15.9666666666667
2013-12-04,2.8,16.3333333333333
2013-12-04,3.8,13.4
2013-12-04,5,12.5666666666667
2013-12-04,5.2,NA
2013-12-04,5.5,NA
2013-12-04,5.8,NA
2013-12-04,6,NA
2013-12-04,6.2,13.6666666666667
2013-12-04,8,11.2666666666667
2013-12-04,9,NA
2013-12-04,9.3,NA
2014-05-05,0.1,13.7
2014-05-05,1,16.2
2014-05-05,1.6,13.5
2014-05-05,2.8,14.9
2014-05-05,3.8,13.6
2014-05-05,5,12.8
2014-05-05,5.2,NA
2014-05-05,5.5,NA
2014-05-05,5.8,NA
2014-05-05,6,NA
2014-05-05,6.2,14.9
2014-05-05,8,9.1
2014-05-05,9,10.8
2014-05-05,9.3,NA
2014-05-06,0.1,13.4833333333333
2014-05-06,1,15.9666666666667
2014-05-06,1.6,13.2
2014-05-06,2.8,14.3
2014-05-06,3.8,13.4333333333333
2014-05-06,5,12.75
2014-05-06,5.2,NA
2014-05-06,5.5,NA
2014-05-06,5.8,NA
2014-05-06,6,NA
2014-05-06,6.2,13.9166666666667
2014-05-06,8,9.15
2014-05-06,9,11.6666666666667
2014-05-06,9.3,NA
2014-05-07,0.1,13.2666666666667
2014-05-07,1,15.7333333333333
2014-05-07,1.6,12.9
2014-05-07,2.8,13.7
2014-05-07,3.8,13.2666666666667
2014-05-07,5,12.7
2014-05-07,5.2,NA
2014-05-07,5.5,NA
2014-05-07,5.8,NA
2014-05-07,6,NA
2014-05-07,6.2,12.9333333333333
2014-05-07,8,9.2
2014-05-07,9,12.5333333333333
2014-05-07,9.3,NA
2014-05-08,0.1,13.05
2014-05-08,1,15.5
2014-05-08,1.6,12.6
2014-05-08,2.8,13.1
2014-05-08,3.8,13.1
2014-05-08,5,12.65
2014-05-08,5.2,NA
2014-05-08,5.5,NA
2014-05-08,5.8,NA
2014-05-08,6,NA
2014-05-08,6.2,11.95
2014-05-08,8,9.25
2014-05-08,9,13.4
2014-05-08,9.3,NA
2014-05-09,0.1,12.8333333333333
2014-05-09,1,15.2666666666667
2014-05-09,1.6,12.3
2014-05-09,2.8,12.5
2014-05-09,3.8,12.9333333333333
2014-05-09,5,12.6
2014-05-09,5.2,NA
2014-05-09,5.5,NA
2014-05-09,5.8,NA
2014-05-09,6,NA
2014-05-09,6.2,10.9666666666667
2014-05-09,8,9.3
2014-05-09,9,14.2666666666667
2014-05-09,9.3,NA
2014-05-10,0.1,12.6166666666667
2014-05-10,1,15.0333333333333
2014-05-10,1.6,12
2014-05-10,2.8,11.9
2014-05-10,3.8,12.7666666666667
2014-05-10,5,12.55
2014-05-10,5.2,NA
2014-05-10,5.5,NA
2014-05-10,5.8,NA
2014-05-10,6,NA
2014-05-10,6.2,9.98333333333333
2014-05-10,8,9.35
2014-05-10,9,15.1333333333333
2014-05-10,9.3,NA
2014-05-12,0.1,12.4
2014-05-12,1,14.8
2014-05-12,1.6,11.7
2014-05-12,2.8,11.3
2014-05-12,3.8,12.6
2014-05-12,5,12.5
2014-05-12,5.2,NA
2014-05-12,5.5,NA
2014-05-12,5.8,NA
2014-05-12,6,NA
2014-05-12,6.2,9
2014-05-12,8,9.4
2014-05-12,9,16
2014-05-12,9.3,NA
2014-05-14,0.1,12
2014-05-14,1,15.0333333333333
2014-05-14,1.6,12.6333333333333
2014-05-14,2.8,13.4
