"Date","Depth","DOC_interp","DOCinf_interp"
2014-05-05,0.1,1.9,2
2014-05-05,1,NA,2
2014-05-05,1.6,NA,2
2014-05-05,2.8,NA,2
2014-05-05,3.8,NA,2
2014-05-05,5,1.8,2
2014-05-05,5.2,NA,2
2014-05-05,5.5,NA,2
2014-05-05,5.8,NA,2
2014-05-05,6,NA,2
2014-05-05,6.2,NA,2
2014-05-05,8,NA,2
2014-05-05,9,1.8,2
2014-05-05,9.3,NA,2
2014-05-06,0.1,1.9,2
2014-05-06,1,NA,2
2014-05-06,1.6,NA,2
2014-05-06,2.8,NA,2
2014-05-06,3.8,NA,2
2014-05-06,5,1.8,2
2014-05-06,5.2,NA,2
2014-05-06,5.5,NA,2
2014-05-06,5.8,NA,2
2014-05-06,6,NA,2
2014-05-06,6.2,NA,2
2014-05-06,8,NA,2
2014-05-06,9,1.8,2
2014-05-06,9.3,NA,2
2014-05-07,0.1,1.9,2
2014-05-07,1,NA,2
2014-05-07,1.6,NA,2
2014-05-07,2.8,NA,2
2014-05-07,3.8,NA,2
2014-05-07,5,1.8,2
2014-05-07,5.2,NA,2
2014-05-07,5.5,NA,2
2014-05-07,5.8,NA,2
2014-05-07,6,NA,2
2014-05-07,6.2,NA,2
2014-05-07,8,NA,2
2014-05-07,9,1.8,2
2014-05-07,9.3,NA,2
2014-05-08,0.1,1.9,2
2014-05-08,1,NA,2
2014-05-08,1.6,NA,2
2014-05-08,2.8,NA,2
2014-05-08,3.8,NA,2
2014-05-08,5,1.8,2
2014-05-08,5.2,NA,2
2014-05-08,5.5,NA,2
2014-05-08,5.8,NA,2
2014-05-08,6,NA,2
2014-05-08,6.2,NA,2
2014-05-08,8,NA,2
2014-05-08,9,1.8,2
2014-05-08,9.3,NA,2
2014-05-09,0.1,1.9,2
2014-05-09,1,NA,2
2014-05-09,1.6,NA,2
2014-05-09,2.8,NA,2
2014-05-09,3.8,NA,2
2014-05-09,5,1.8,2
2014-05-09,5.2,NA,2
2014-05-09,5.5,NA,2
2014-05-09,5.8,NA,2
2014-05-09,6,NA,2
2014-05-09,6.2,NA,2
2014-05-09,8,NA,2
2014-05-09,9,1.8,2
2014-05-09,9.3,NA,2
2014-05-10,0.1,1.9,2
2014-05-10,1,NA,2
2014-05-10,1.6,NA,2
2014-05-10,2.8,NA,2
2014-05-10,3.8,NA,2
2014-05-10,5,1.8,2
2014-05-10,5.2,NA,2
2014-05-10,5.5,NA,2
2014-05-10,5.8,NA,2
2014-05-10,6,NA,2
2014-05-10,6.2,NA,2
2014-05-10,8,NA,2
2014-05-10,9,1.8,2
2014-05-10,9.3,NA,2
2014-05-12,0.1,1.9,2
2014-05-12,1,NA,2
2014-05-12,1.6,NA,2
2014-05-12,2.8,NA,2
2014-05-12,3.8,NA,2
2014-05-12,5,1.8,2
2014-05-12,5.2,NA,2
2014-05-12,5.5,NA,2
2014-05-12,5.8,NA,2
2014-05-12,6,NA,2
2014-05-12,6.2,NA,2
2014-05-12,8,NA,2
2014-05-12,9,1.8,2
2014-05-12,9.3,NA,2
2014-05-14,0.1,1.93333333333333,1.96666666666667
2014-05-14,1,NA,1.96666666666667
2014-05-14,1.6,NA,1.96666666666667
2014-05-14,2.8,NA,1.96666666666667
2014-05-14,3.8,NA,1.96666666666667
2014-05-14,5,1.8,1.96666666666667
2014-05-14,5.2,NA,1.96666666666667
2014-05-14,5.5,NA,1.96666666666667
2014-05-14,5.8,NA,1.96666666666667
2014-05-14,6,NA,1.96666666666667
2014-05-14,6.2,NA,1.96666666666667
