"Date","Depth","Temp_interp","DO_mgL_interp","Chla_interp","Turb_NTU_interp","SpCond_uScm_interp"
2013-04-30,1.6,15.1507,8.77893,3.7016,1.0456,36.7866322143796
2013-04-30,2.8,13.2034,9.99555,2.5034,2.3716,36.5189711833045
2013-04-30,3.8,9.1197,9.78909,1.7258,0.5421,34.7766936759067
2013-04-30,5,7.7988,8.95552,0.98,0.7939,34.8967234063568
2013-04-30,5.2,7.6786,8.6602,0.9244,0.7771,35.0335478177562
2013-04-30,5.5,7.5517,8.59257,0.8451,0.9953,34.8850560326241
2013-04-30,5.8,7.4507,8.08695,0.8371,0.9449,35.0879397020829
2013-04-30,6,7.3851,7.99034,0.853,0.9449,35.4199854990256
2013-04-30,6.2,7.3497,7.93602,0.7102,1.0288,35.2484125804688
2013-04-30,8,7.106,7.53972,0.6983,1.331,35.3773013041445
2013-04-30,9,7.0178,6.34864,0.6745,1.8849,36.7230461730602
2013-04-30,9.3,7.0142,6.32345,0.6626,1.5995,36.8972930755441
2013-05-02,0.1,16.802,8.93689,0.25,1.0456,37.4230494433248
2013-05-02,1,16.7174,9.00548,0.3055,0.9953,37.3266698213265
2013-05-02,1.6,16.036,9.04913,0.5475,1.1128,36.9620612084447
2013-05-02,2.8,13.9807,9.3165,2.2614,1.566,36.8761446426125
2013-05-02,3.8,10.1059,9.96922,2.4677,0.4414,34.9195886436529
2013-05-02,5,8.0569,8.49566,0.8451,0.5085,34.8819526768109
2013-05-02,5.2,7.9488,8.54128,0.7776,0.8274,34.9596575571128
2013-05-02,5.5,7.7811,8.25276,0.7737,0.7603,35.0744572113968
2013-05-02,5.8,7.5851,7.82245,0.6626,0.7099,35.2129051323602
2013-05-02,6,7.4989,7.68406,0.615,0.7267,35.4207347947999
2013-05-02,6.2,7.4294,7.60784,0.6229,0.8106,35.3168552258323
2013-05-02,8,7.1445,7.16381,0.5396,1.096,35.9581109595507
2013-05-02,9,7.0818,6.42219,0.492,1.3478,36.7921072044284
2013-05-02,9.3,7.0681,6.36583,0.5079,1.5828,36.8516864415249
2013-05-09,0.1,14.6519,8.77974,0.0714,0.1896,36.605894906706
2013-05-09,1,14.4946,8.75546,1.0196,2.5898,36.6925704818556
2013-05-09,1.6,14.4172,8.81686,1.8885,2.5731,36.6711372445174
2013-05-09,2.8,13.0332,8.57746,1.5037,6.249,35.8350691047993
2013-05-09,3.8,10.849,9.41018,2.0115,1.3142,34.9125611762057
2013-05-09,5,8.5162,8.18678,1.1942,0.2232,34.7626834058561
2013-05-09,5.2,8.2848,8.02788,1.0553,0.1896,34.6978142951796
2013-05-09,5.5,8.0328,7.79448,0.8689,0.1896,34.8619438611134
2013-05-09,5.8,7.8266,7.69542,0.7618,0.2232,34.9606732595814
2013-05-09,6,7.7255,7.66842,0.6388,0.1896,35.1066375616822
2013-05-09,6.2,7.6494,7.51532,0.5713,0.4749,35.0948650376574
2013-05-09,8,7.3703,6.14446,0.3769,0.9785,36.2581709035437
2013-05-09,9,7.297,5.85841,0.3174,1.8681,36.8668265060638
2013-05-09,9.3,7.2842,5.57546,0.3214,1.2638,37.3065707505644
2013-05-14,0.1,15.7607,8.67911,1.345,2.8248,36.766305007434
2013-05-14,1,15.4593,8.64064,2.2455,3.0598,36.7714850031114
2013-05-14,1.6,14.8891,8.55827,2.309,4.4026,36.5039273843588
2013-05-14,2.8,13.265,8.2207,3.5032,5.4936,36.775911680113
2013-05-14,3.8,10.754,8.47597,2.4122,3.3955,35.3974095942115
2013-05-14,5,8.3859,7.08338,0.972,0.4414,35.766687156292
2013-05-14,5.2,8.2548,6.92177,0.8451,0.5085,35.8621771945665
2013-05-14,5.5,8.097,6.36383,0.7142,0.5589,36.0865503452914
2013-05-14,5.8,7.942,6.45763,0.6189,0.7267,36.0028876038613
2013-05-14,6,7.8778,6.08671,0.5555,0.6764,36.4562485015959
2013-05-14,6.2,7.8424,5.97742,0.5634,0.4917,36.4309447246741
2013-05-14,8,7.6148,5.6676,0.4206,1.2303,36.8598080901194
2013-05-14,9,7.5161,5.19382,0.4285,1.9184,37.6125689206627
2013-05-14,9.3,7.5106,5.15726,0.4721,2.0863,37.7680037400868
2013-05-15,0.1,16.4003,8.73976,1.1268,2.8584,37.116951826963
2013-05-15,1,16.1917,8.72002,1.5195,2.8416,37.1884333617906
2013-05-15,1.6,14.9218,8.42262,2.0631,3.0095,36.517258228969
2013-05-15,2.8,13.1656,8.14895,3.166,5.8293,36.7406794247621
2013-05-15,3.8,10.2493,8.21258,3.281,2.1199,35.4132964056565
2013-05-15,5,8.6006,6.68185,1.2458,1.2638,36.4167506320079
2013-05-15,5.2,8.3626,6.49977,1.2577,1.0456,35.9108509638878
2013-05-15,5.5,8.1515,6.59718,0.9879,0.5085,36.7962852497955
2013-05-15,5.8,8.0071,6.6443,0.8014,1.0792,36.7200005933948
2013-05-15,6,7.9723,6.60173,0.7459,1.1128,36.5368022004149
2013-05-15,6.2,7.9385,6.6072,0.6626,1.0792,36.8277160916735
2013-05-15,8,7.8559,6.44711,0.6229,1.2638,37.0522854669235
2013-05-15,9,7.8001,6.21298,0.6983,1.3813,36.916221614965
2013-05-15,9.3,7.7736,6.0293,0.7261,1.2974,37.027860738218
2013-05-16,0.1,18.3691,8.65139,0.98,2.1702,37.144775928903
2013-05-16,1,16.8125,8.72451,2.1345,2.5731,36.7375630283229
2013-05-16,1.6,14.7794,8.71141,2.1226,3.0934,36.3788788018249
2013-05-16,2.8,13.0021,8.33644,3.3326,3.8655,36.3601279129079
2013-05-16,3.8,10.8986,8.58453,3.6381,1.801,35.6002969137931
2013-05-16,5,8.383,7.40503,1.6306,0.7267,36.1466070274135
2013-05-16,5.2,8.2115,7.45074,1.3489,1.0288,36.3479019662697
2013-05-16,5.5,8.1505,7.41505,1.1744,1.0121,36.2078302702453
2013-05-16,5.8,8.1084,7.35984,1.0315,0.9449,36.330396998133
2013-05-16,6,8.1063,7.42519,1.0672,0.9449,36.2337236544538
2013-05-16,6.2,8.1028,7.3737,1.1625,1.1967,36.2728579429678
2013-05-16,8,7.9723,7.02542,0.8689,1.0121,36.2545078816599
2013-05-16,9,7.9523,6.89551,0.7776,0.9785,36.4041992800801
2013-05-16,9.3,7.9559,6.86627,0.9205,1.2638,36.438641540287
2013-05-21,0.1,18.9194,9.12374,1.4481,1.2638,36.977875491534
2013-05-21,1,17.4362,8.88409,3.4794,2.1199,36.735279693176
2013-05-21,1.6,15.7716,8.80647,4.0309,2.5898,36.6212959865518
2013-05-21,2.8,13.9542,8.20188,3.9237,2.7577,36.8134620589187
2013-05-21,3.8,11.8893,8.05838,3.9198,2.7577,36.6940665604809
2013-05-21,5,8.8232,8.74056,3.3326,1.0121,36.1211619084467
2013-05-21,5.2,8.7478,8.91297,2.4638,1.0456,36.1757884453587
2013-05-21,5.5,8.7055,8.96755,2.3289,0.9281,36.2071724287922
2013-05-21,5.8,8.6674,9.02985,1.9996,0.7267,36.1529586031101
2013-05-21,6,8.6623,9.01957,2.0035,0.9953,36.0891685823705
2013-05-21,6.2,8.6701,9.0162,2.071,0.6764,36.2133199716884
2013-05-21,8,8.6389,9.01479,2.071,1.0121,36.1270996072323
2013-05-21,9,8.5793,8.83946,2.0789,1.0456,36.1067731593337
2013-05-21,9.3,8.5995,8.86847,1.6385,0.9953,36.1721422971037
2013-05-23,0.1,21.0439,8.86852,2.5907,1.2638,37.3173665670282
2013-05-23,1,18.9733,9.13621,3.0112,2.6402,37.1477967719899
2013-05-23,1.6,16.4141,8.76921,3.7928,2.1367,37.0145662612298
2013-05-23,2.8,13.5609,7.987,4.9513,2.657,37.2085684184038
2013-05-23,3.8,10.3334,6.82175,5.0782,2.4388,35.9855434039749
2013-05-23,5,8.7984,9.30791,3.0866,1.0792,36.1075797845843
2013-05-23,5.2,8.7907,9.34307,2.6939,1.0121,36.0871921688218
2013-05-23,5.5,8.7828,9.33003,2.5709,1.0121,36.1870951729071
2013-05-23,5.8,8.7604,9.23984,2.5272,1.1296,36.2332827561549
2013-05-23,6,8.7454,9.25369,2.6661,1.0121,36.2081221614836
2013-05-23,6.2,8.739,9.21891,2.3289,1.096,36.0308545695778
2013-05-23,8,8.6967,9.18879,2.3844,1.1128,36.2725445546971
2013-05-23,9,8.6999,9.24922,2.19,1.0792,36.3275275321672
2013-05-23,9.3,8.6955,9.15847,2.2733,1.0456,36.0441285272292
2013-05-30,0.1,22.1139,8.63825,1.5116,0.9953,37.610103528032
2013-05-30,1,20.1045,9.67412,1.7417,1.0288,37.0457860291599
2013-05-30,1.6,18.5253,9.98225,2.071,1.3645,36.8318750163109
2013-05-30,2.8,14.8823,9.13549,4.6577,2.0192,38.1685780410838
2013-05-30,3.8,11.3419,7.10113,6.562,1.7674,36.6100745242087
2013-05-30,5,9.3129,10.54186,5.1258,1.6163,36.2817541579321
2013-05-30,5.2,9.2795,10.55315,4.7529,1.1967,36.2132922665605
2013-05-30,5.5,9.2624,10.57731,4.1062,1.2974,36.1542764274622
2013-05-30,5.8,9.2421,10.59303,4.0904,1.2135,36.1846775213519
2013-05-30,6,9.2378,10.59712,4.015,1.3813,36.1738352016
2013-05-30,6.2,9.2273,10.6077,4.0388,1.2638,36.23461685963
2013-05-30,8,9.1933,10.55084,4.0824,1.2638,36.0260967311144
2013-05-30,9,9.1663,10.20716,4.1023,1.2974,36.204985625014
2013-05-30,9.3,9.1321,9.5271,4.2967,1.2471,36.393813945989
2013-06-04,0.1,23.6841,8.40487,1.8131,1.0456,37.8518711965746
2013-06-04,1,22.9911,8.45173,2.7811,1.1296,37.7990231398872
2013-06-04,1.6,20.7023,10.17858,3.0708,1.0456,37.1220240660255
2013-06-04,2.8,15.4941,9.51063,5.3956,1.3813,38.2553283158609
2013-06-04,3.8,11.6552,7.7284,6.1137,1.0121,36.6110129248355
2013-06-04,5,9.5937,11.14075,3.8444,1.3478,36.3658075221987
2013-06-04,5.2,9.5721,11.21969,3.5944,1.2638,36.4440309121253
2013-06-04,5.5,9.5545,11.28113,3.4516,1.2471,36.4367698620812
2013-06-04,5.8,9.5201,11.27027,3.285,1.331,36.3382504187538
2013-06-04,6,9.5137,11.2591,3.2096,1.2638,36.424653400021
2013-06-04,6.2,9.5114,11.25197,3.0827,1.2638,36.4202327701067
2013-06-04,8,9.4638,11.12755,3.0271,1.3813,36.4487028370134
2013-06-04,9,9.4483,11.0571,3.3485,1.2638,36.5522313116746
2013-06-04,9.3,9.4274,10.75668,3.4596,1.3142,36.5294736272462
2013-06-06,0.1,21.9342,6.64156,1.095,1.5995,37.1162065408469
2013-06-06,1,22.1384,8.41054,1.0474,1.5828,37.6844863915277
2013-06-06,1.6,21.0289,10.11006,1.3648,1.8345,37.6104714117426
2013-06-06,2.8,15.5517,9.02333,6.8556,1.566,38.5442254397471
2013-06-06,3.8,11.4643,7.86723,6.931,1.3478,36.963000688917
2013-06-06,5,9.6415,11.63027,3.6143,1.3478,36.832663119568
2013-06-06,5.2,9.6305,11.62356,3.4516,1.2974,36.6593263670202
2013-06-06,5.5,9.6223,11.63794,3.9039,1.331,36.7118894751308
2013-06-06,5.8,9.6167,11.66812,3.9079,1.3142,36.614929215465
2013-06-06,6,9.6125,11.66078,3.7849,1.3142,36.9161947956996
2013-06-06,6.2,9.6093,11.64577,3.7333,1.2638,36.6787843871721
2013-06-06,8,9.587,11.6316,3.1461,1.2638,36.7834362723861
2013-06-06,9,9.5774,11.569,3.1382,1.2303,36.7512425145834
2013-06-06,9.3,9.556,11.33764,3.2175,1.6163,36.7288583182652
2013-06-13,0.1,23.6155,8.96649,2.3249,2.0695,37.0997334976245
2013-06-13,1,21.2973,10.3166,2.6383,2.3213,36.6453658027982
2013-06-13,1.6,19.1545,10.5277,3.3643,2.5395,36.3616597697115
2013-06-13,2.8,15.8601,9.26404,8.0617,3.5466,39.4273474469745
2013-06-13,3.8,12.059,6.86968,8.8313,3.0095,37.4161988632447
2013-06-13,5,9.9824,12.25437,2.3884,1.2974,37.0556098301338
2013-06-13,5.2,9.9568,12.28457,2.3884,1.2638,37.0814023920697
2013-06-13,5.5,9.9194,12.30896,2.2019,1.0288,36.8924097956328
2013-06-13,5.8,9.9129,12.3276,2.1265,0.9953,37.0203088381025
2013-06-13,6,9.9076,12.34,2.2733,0.9281,36.9864121929848
2013-06-13,6.2,9.8992,12.31133,2.7375,0.9281,36.9639522888053
2013-06-13,8,9.8665,12.15532,2.1265,0.9449,36.9594928702104
2013-06-13,9,9.8544,12.05121,2.0115,1.0456,36.9277218181744
2013-06-13,9.3,9.8544,12.05121,2.0115,1.0456,36.9277218181744
2013-06-20,0.1,22.9495,7.45937,1.8925,0.7267,37.5744160979906
2013-06-20,1,22.0662,9.76655,2.4003,1.3142,37.9088419455471
2013-06-20,1.6,20.6394,10.20909,3.7214,2.1534,37.4384646249085
2013-06-20,2.8,16.7383,8.85413,7.3833,2.8584,39.6018848362814
2013-06-20,3.8,13.2066,7.78074,5.0901,2.1367,38.2161427190737
2013-06-20,5,10.2437,11.46874,3.2215,1.0288,37.7264273725324
2013-06-20,5.2,10.2291,11.528,2.7018,0.7267,37.6800090255165
2013-06-20,5.5,10.1603,11.65422,2.5709,0.7603,37.6581065807129
2013-06-20,5.8,10.1469,11.67384,2.7573,0.8106,37.559847170857
2013-06-20,6,10.1438,11.68085,2.2257,0.8274,37.6887049150029
2013-06-20,6.2,10.151,11.68454,2.0829,0.7267,37.6686068269801
2013-06-20,8,10.0617,11.45681,2.3884,0.7603,37.7659760759268
2013-06-20,9,10.0393,10.98889,2.7097,0.7771,37.9222304641159
2013-06-20,9.3,10.0393,10.98889,2.7097,0.7771,37.9222304641159
2013-06-25,0.1,26.0938,9.11066,1.1268,1.0456,38.5926290037577
2013-06-25,1,24.8265,11.99775,1.341,1.0456,38.658853642142
2013-06-25,1.6,22.0925,12.75283,2.0948,2.0863,37.8065792152027
2013-06-25,2.8,17.446,9.89495,8.383,2.5898,39.3865530093655
2013-06-25,3.8,12.9219,7.40745,6.812,2.0695,38.2299221031402
2013-06-25,5,10.3535,11.26435,3.162,0.5757,37.4722883391414
2013-06-25,5.2,10.2708,11.37895,2.6343,0.4078,37.4033015437857
2013-06-25,5.5,10.2623,11.41156,2.3209,0.4582,37.4373601211051
2013-06-25,5.8,10.2183,11.38985,2.1979,0.5589,37.4085353742133
2013-06-25,6,10.2116,11.38496,2.0194,0.4749,37.4350065520944
2013-06-25,6.2,10.1963,11.32331,2.0194,0.4917,37.4488171358766
