Site,lat,lon,PO4_ppb
B01,37.314783,-79.820864,7.96
B100,37.31957,-79.82437,6.13
B20 ,37.3170135,-79.8226419,3.47
B200,37.322851,-79.81721,4.54
B30,37.31921,-79.818226,
B45,37.314465,-79.818717,4.66
B50,37.31288,-79.81593,5.74
F01,37.30247,-79.83692,10
F100,37.30858,-79.83494,19.3
F101,37.309653,-79.830467,24.7
F102,37.311678,-79.827357,15.7
F20,37.30769,-79.8371,6.8
F200,37.30943,-79.83619,3.9
F30,37.30534,-79.83825,7.73
F45,37.30418,-79.83833,18
F50,37.30325,-79.83726,8.5
F99,37.307613,-79.8360878,16.8
