Reservoir,Year,Date,Depth,Total_chlorophyll,Green_algae,Cyanobacteria,Diatoms,Cryptophyta
FCR,2016,2016-01-11 11:40:55,0.38,1.85,0,1.83,0,0.02
FCR,2016,2016-01-11 11:40:57,0.64,4.09,2.46,1.63,0,0
FCR,2016,2016-01-11 11:41:00,0.88,4.18,1.85,1.48,0.85,0
FCR,2016,2016-01-11 11:41:03,1.15,4.07,1.65,1.28,0.23,0.9
FCR,2016,2016-01-11 11:41:06,1.39,5.09,2.84,1.27,0.08,0.91
FCR,2016,2016-01-11 11:41:09,1.62,5.58,3,1.34,0.62,0.62
FCR,2016,2016-01-11 11:41:11,1.8,5.91,3.15,1.51,0.82,0.43
FCR,2016,2016-01-11 11:41:14,1.96,6.31,2.85,1.65,1.81,0
FCR,2016,2016-01-11 11:41:17,2.13,7.14,3.02,1.56,2.1,0.46
FCR,2016,2016-01-11 11:41:20,2.3,7.3,3.17,1.32,2.2,0.61
FCR,2016,2016-01-11 11:41:23,2.5,8.32,3.57,1.52,2.82,0.41
FCR,2016,2016-01-11 11:41:25,2.69,8.66,3.76,1.39,2.65,0.86
FCR,2016,2016-01-11 11:41:28,2.88,9.56,4.52,1.42,2.51,1.11
FCR,2016,2016-01-11 11:41:31,3.08,10.08,4.96,1.5,2.36,1.26
FCR,2016,2016-01-11 11:41:34,3.28,10.51,5.27,1.64,2.74,0.86
FCR,2016,2016-01-11 11:41:37,3.45,11.24,5.46,1.76,2.95,1.07
FCR,2016,2016-01-11 11:41:39,3.59,11.36,5.42,1.73,3.29,0.91
FCR,2016,2016-01-11 11:41:42,3.79,10.78,5.66,1.54,2.19,1.39
FCR,2016,2016-01-11 11:41:45,4.01,10.7,5.44,1.75,2.37,1.13
FCR,2016,2016-01-11 11:41:48,4.2,11.06,5.74,1.93,2.56,0.83
FCR,2016,2016-01-11 11:41:50,4.42,11.16,5.58,1.87,2.93,0.79
FCR,2016,2016-01-11 11:41:53,4.62,10.88,4.82,1.89,3.33,0.84
FCR,2016,2016-01-11 11:41:56,4.84,10.44,5.31,1.86,2.27,1.01
FCR,2016,2016-01-11 11:41:59,5.03,10.43,5.09,1.86,2.56,0.93
FCR,2016,2016-01-11 11:42:02,5.27,10.22,4.97,1.87,2.5,0.88
FCR,2016,2016-01-11 11:42:04,5.51,10.34,4.86,1.95,2.67,0.86
FCR,2016,2016-01-11 11:42:07,5.73,10.46,5.07,1.92,2.65,0.83
FCR,2016,2016-01-11 11:42:10,5.92,10.18,4.99,1.69,2.21,1.28
FCR,2016,2016-01-11 11:42:13,6.15,10.2,4.89,1.82,2.59,0.91
FCR,2016,2016-01-11 11:42:16,6.37,10.26,5.01,1.82,2.34,1.08
FCR,2016,2016-01-11 11:42:18,6.57,10.19,4.76,1.84,2.63,0.97
FCR,2016,2016-01-11 11:42:21,6.76,10.82,5.31,1.69,2.49,1.34
FCR,2016,2016-01-11 11:42:24,7.02,10.23,4.82,1.89,2.57,0.96
FCR,2016,2016-01-11 11:42:27,7.26,9.97,4.77,1.89,2.47,0.83
FCR,2016,2016-01-11 11:42:30,7.51,9.87,5.08,1.85,1.89,1.05
FCR,2016,2016-01-11 11:42:32,7.78,10.08,4.97,1.87,2.31,0.93
FCR,2016,2016-01-11 11:42:35,8.03,9.7,4.86,1.97,2.03,0.85
FCR,2016,2016-01-11 11:42:38,8.28,9.57,4.88,1.99,1.87,0.82
FCR,2016,2016-01-11 11:42:41,8.54,9.58,5.05,1.97,1.71,0.85
FCR,2016,2016-01-11 11:42:43,8.74,9.63,4.99,2.03,1.84,0.77
FCR,2016,2016-01-11 11:42:46,9,9.61,5.11,1.97,1.66,0.86
FCR,2016,2016-01-11 11:42:49,9.22,9.5,5.09,1.98,1.57,0.86
FCR,2016,2016-01-11 11:42:52,9.44,9.47,5.06,2.02,1.58,0.81
FCR,2016,2016-01-11 11:42:55,9.64,9.34,5.01,2.07,1.42,0.83
FCR,2016,2016-01-11 11:42:57,9.91,9.09,4.97,1.98,1.26,0.88
FCR,2016,2016-01-11 11:43:00,10.11,9.18,5.02,2.09,1.26,0.8
FCR,2016,2016-03-28 12:17:04,0.01,1.9,0,1.9,0,0
FCR,2016,2016-03-28 12:17:07,0.36,3.5,2.77,0.26,0.47,0
FCR,2016,2016-03-28 12:17:10,0.68,3.85,2.38,0,1.47,0
FCR,2016,2016-03-28 12:17:13,0.9,4.15,2.39,0,1.75,0
FCR,2016,2016-03-28 12:17:15,1.02,4.79,3.12,0,1.67,0
FCR,2016,2016-03-28 12:17:18,1.2,5.48,2.92,0,2.38,0.18
FCR,2016,2016-03-28 12:17:21,1.38,5.26,2.77,0,2.28,0.2
FCR,2016,2016-03-28 12:17:24,1.55,5.13,3.02,0,2.11,0
FCR,2016,2016-03-28 12:17:26,1.72,5.8,2.91,0,2.89,0
FCR,2016,2016-03-28 12:17:29,1.8,5.76,3.22,0,2.54,0
FCR,2016,2016-03-28 12:17:32,1.98,5.91,2.76,0,2.94,0.2
FCR,2016,2016-03-28 12:17:35,2.15,6.49,3.72,0,2.67,0.09
FCR,2016,2016-03-28 12:17:38,2.33,6.16,3.01,0,3.16,0
FCR,2016,2016-03-28 12:17:40,2.54,6.5,3.42,0,3.08,0
FCR,2016,2016-03-28 12:17:43,2.75,6.35,3.42,0,2.93,0
FCR,2016,2016-03-28 12:17:46,2.91,6.73,3.37,0,3.36,0
FCR,2016,2016-03-28 12:17:49,3.1,6.88,4.02,0,2.86,0
FCR,2016,2016-03-28 12:17:52,3.24,7.15,3.74,0,3.33,0.09
FCR,2016,2016-03-28 12:17:54,3.38,7.63,4.07,0,3.53,0.03
FCR,2016,2016-03-28 12:17:57,3.59,7.96,4.27,0,3.69,0
FCR,2016,2016-03-28 12:18:00,3.78,7.74,3.72,0,4.01,0
FCR,2016,2016-03-28 12:18:03,3.97,8.71,4.28,0,4.43,0
FCR,2016,2016-03-28 12:18:06,4.15,9.83,4.73,0,4.84,0.26
FCR,2016,2016-03-28 12:18:08,4.34,11.13,5.2,0,5.79,0.14
FCR,2016,2016-03-28 12:18:11,4.46,11.83,5.37,0,6.1,0.36
FCR,2016,2016-03-28 12:18:14,4.61,11.7,5.01,0,6.6,0.1
FCR,2016,2016-03-28 12:18:17,4.77,12.39,4.91,0,7.29,0.19
FCR,2016,2016-03-28 12:18:19,4.93,12.35,4.74,0,7.31,0.3
FCR,2016,2016-03-28 12:18:22,5.12,11.24,4.82,0,6.22,0.21
FCR,2016,2016-03-28 12:18:25,5.3,10.16,4.4,0,5.48,0.27
FCR,2016,2016-03-28 12:18:28,5.49,9.2,4.53,0,4.54,0.13
FCR,2016,2016-03-28 12:18:31,5.69,8.86,4.51,0,3.96,0.39
FCR,2016,2016-03-28 12:18:33,5.86,8.51,4.42,0,3.87,0.21
FCR,2016,2016-03-28 12:18:36,6.08,8.38,3.76,0,4.39,0.24
FCR,2016,2016-03-28 12:18:39,6.28,8.15,3.84,0,3.86,0.46
FCR,2016,2016-03-28 12:18:42,6.46,7.71,3.39,0.02,3.81,0.5
FCR,2016,2016-03-28 12:18:45,6.67,7.99,3.6,0.01,3.9,0.48
