Reservoir,Year,Date,Depth,Total_chlorophyll,Green_algae,Cyanobacteria,Diatoms,Cryptophytes
FCR,2015,2015-02-06 14:03:00,0.29,2.09,0.2,1.89,0,0
FCR,2015,2015-02-06 14:03:00,0.7,3.45,0.65,0.51,2.3,0
FCR,2015,2015-02-06 14:03:00,0.73,4.62,4.05,0.26,0,0.31
FCR,2015,2015-02-06 14:03:00,0.75,4.96,2.82,0.18,1.97,0
FCR,2015,2015-02-06 14:03:00,0.76,5.24,1.89,0.21,2.67,0.48
FCR,2015,2015-02-06 14:03:00,0.82,4.92,2.66,0.2,0.73,1.34
FCR,2015,2015-02-06 14:03:00,0.84,4.62,1.01,0.04,3.57,0
FCR,2015,2015-02-06 14:03:00,0.87,5.9,3.26,0,2.46,0.17
FCR,2015,2015-02-06 14:03:00,0.84,6.08,4.08,0,1.15,0.86
FCR,2015,2015-02-06 14:04:00,0.85,7.15,5.97,0,1.18,0
FCR,2015,2015-02-06 14:04:00,0.98,6.24,2.71,0,3.53,0
FCR,2015,2015-02-06 14:04:00,1.27,4.66,1.38,0.05,3.24,0
FCR,2015,2015-02-06 14:04:00,1.49,5.29,2.46,0,2.11,0.72
FCR,2015,2015-02-06 14:04:00,1.77,6.39,3.17,0,3.22,0
FCR,2015,2015-02-06 14:04:00,2.03,6.61,3.37,0,3.24,0
FCR,2015,2015-02-06 14:04:00,2.28,8.06,5.04,0,3.01,0
FCR,2015,2015-02-06 14:04:00,2.45,9.05,4.73,0,4.32,0
FCR,2015,2015-02-06 14:04:00,2.71,9.99,5.3,0,4.69,0
FCR,2015,2015-02-06 14:04:00,2.94,11.77,6.59,0,5.18,0
FCR,2015,2015-02-06 14:04:00,3.16,11.81,6.72,0,5.09,0
FCR,2015,2015-02-06 14:04:00,3.37,12.37,7.17,0,5.2,0
FCR,2015,2015-02-06 14:04:00,3.67,12.62,7.08,0,5.54,0
FCR,2015,2015-02-06 14:04:00,3.96,12.61,7.01,0,5.6,0
FCR,2015,2015-02-06 14:04:00,4.21,12.46,6.78,0,5.67,0
FCR,2015,2015-02-06 14:04:00,4.46,12.8,7.3,0,5.5,0
FCR,2015,2015-02-06 14:04:00,4.69,12.46,6.74,0,5.72,0
FCR,2015,2015-02-06 14:04:00,4.96,12.46,7.09,0,5.37,0
FCR,2015,2015-02-06 14:04:00,5.16,12.37,6.51,0,5.86,0
FCR,2015,2015-02-06 14:04:00,5.3,12.72,6.99,0,5.73,0
FCR,2015,2015-02-06 14:04:00,5.47,12.53,7.04,0,5.49,0
FCR,2015,2015-02-06 14:05:00,5.69,12.38,6.66,0,5.72,0
FCR,2015,2015-02-06 14:05:00,5.87,12.62,7.05,0,5.58,0
FCR,2015,2015-02-06 14:05:00,5.98,12.69,6.96,0,5.73,0
FCR,2015,2015-02-06 14:05:00,6.11,12.6,6.95,0,5.65,0
FCR,2015,2015-02-06 14:05:00,6.41,12.47,6.91,0,5.55,0
FCR,2015,2015-02-06 14:05:00,6.74,12.45,7,0,5.45,0
FCR,2015,2015-02-06 14:05:00,7.03,12.4,6.77,0,5.63,0
FCR,2015,2015-02-06 14:05:00,7.2,12.8,7.03,0,5.77,0
FCR,2015,2015-02-06 14:05:00,7.43,12.73,6.73,0,6,0
FCR,2015,2015-02-06 14:05:00,7.66,12.76,6.73,0,6.03,0
FCR,2015,2015-02-06 14:05:00,7.89,13.01,6.84,0,6.17,0
FCR,2015,2015-02-06 14:05:00,8.03,13.4,7.22,0,6.19,0
FCR,2015,2015-02-06 14:05:00,8.25,13.16,6.9,0,6.26,0
FCR,2015,2015-02-06 14:05:00,8.47,13.18,7.02,0,6.16,0
FCR,2015,2015-02-06 14:05:00,8.65,13.68,7.36,0,6.32,0
FCR,2015,2015-02-06 14:05:00,8.95,13.35,7.11,0,6.24,0
FCR,2015,2015-02-06 14:05:00,9.27,13.24,7.07,0,6.17,0
FCR,2015,2015-03-16 14:41:00,0.31,1.6,0,1.6,0,0
FCR,2015,2015-03-16 14:41:00,0.89,3.28,1.55,0.07,1.47,0.19
FCR,2015,2015-03-16 14:41:00,1.2,4.29,2.88,0,1.4,0
FCR,2015,2015-03-16 14:42:00,1.17,4.7,2.46,0,2.24,0
FCR,2015,2015-03-16 14:42:00,1.25,4.96,2.48,0,2.48,0
FCR,2015,2015-03-16 14:42:00,1.39,5.55,2.86,0.28,2.41,0
FCR,2015,2015-03-16 14:42:00,1.68,5.82,2.74,0,3.09,0
FCR,2015,2015-03-16 14:42:00,1.94,7.52,4.13,0,3.39,0
FCR,2015,2015-03-16 14:42:00,2.17,8.8,5.07,0,3.73,0
FCR,2015,2015-03-16 14:42:00,2.53,9.77,5.05,0,4.72,0
FCR,2015,2015-03-16 14:42:00,2.92,12.53,6.32,0,6.21,0
FCR,2015,2015-03-16 14:42:00,3.33,13.03,6.75,0,6.28,0
FCR,2015,2015-03-16 14:42:00,3.68,11.63,5.73,0,5.9,0
FCR,2015,2015-03-16 14:42:00,4.06,10.54,5.4,0,5.14,0
FCR,2015,2015-03-16 14:42:00,4.45,10.32,5.34,0,4.98,0
FCR,2015,2015-03-16 14:42:00,4.83,10.32,5.26,0,5.05,0
FCR,2015,2015-03-16 14:42:00,5.24,10.45,5.64,0,4.81,0
FCR,2015,2015-03-16 14:42:00,5.63,10.43,5.42,0,5.01,0
FCR,2015,2015-03-16 14:43:00,5.92,10.36,5.32,0,5.04,0
FCR,2015,2015-03-16 14:43:00,6.28,10.24,5.32,0,4.92,0
FCR,2015,2015-03-16 14:43:00,6.59,10.19,5.44,0,4.75,0
FCR,2015,2015-03-16 14:43:00,6.88,10.04,5.47,0,4.57,0
FCR,2015,2015-03-16 14:43:00,7.21,9.84,5.21,0,4.62,0
FCR,2015,2015-03-16 14:43:00,7.59,9.42,5.02,0,4.4,0
FCR,2015,2015-03-16 14:43:00,7.92,9.26,5,0,4.26,0
FCR,2015,2015-03-16 14:43:00,8.22,9.17,4.89,0,4.28,0
FCR,2015,2015-03-16 14:43:00,8.38,9.43,5.05,0,4.38,0
FCR,2015,2015-03-16 14:43:00,8.69,8.66,4.5,0,4.16,0
FCR,2015,2015-03-16 14:43:00,9.02,8.38,4.34,0,4.05,0
