Reservoir,Year,Date,Depth,Total_chlorophyll,Green_algae,Cyanobacteria,Diatoms,Cryptophytes
FCR,2015,2015-03-16 14:43:00,9.14,8.66,4.43,0,4.23,0
FCR,2015,2015-03-16 14:43:00,9.43,7.38,3.57,0,3.81,0
FCR,2015,2015-03-31 13:21:00,0.76,3.19,1.42,0,1.78,0
FCR,2015,2015-03-31 13:21:00,1.04,3.74,1.79,0.01,1.94,0
FCR,2015,2015-03-31 13:21:00,1.06,2.79,1.05,0.13,1.6,0
FCR,2015,2015-03-31 13:21:00,0.86,2.31,0,0,1.55,0.76
FCR,2015,2015-03-31 13:21:00,0.79,2.92,1.65,0,1.03,0.24
FCR,2015,2015-03-31 13:21:00,0.76,3.18,0.58,0.07,2.53,0
FCR,2015,2015-03-31 13:21:00,1.01,3.32,1.84,0,1.31,0.18
FCR,2015,2015-03-31 13:21:00,1.31,3.21,0.56,0.32,2.33,0
FCR,2015,2015-03-31 13:21:00,1.6,4.18,2.45,0.03,1.37,0.33
FCR,2015,2015-03-31 13:21:00,1.91,5.32,2.34,0,2.67,0.31
FCR,2015,2015-03-31 13:21:00,2.21,7.92,4.16,0,3.75,0
FCR,2015,2015-03-31 13:22:00,2.41,8.62,4.45,0,4.17,0
FCR,2015,2015-03-31 13:22:00,2.62,9.3,4.73,0,4.57,0
FCR,2015,2015-03-31 13:22:00,2.88,10.73,4.77,0,5.96,0
FCR,2015,2015-03-31 13:22:00,3.14,11.66,5.1,0,6.57,0
FCR,2015,2015-03-31 13:22:00,3.34,13.54,6.8,0,6.74,0
FCR,2015,2015-03-31 13:22:00,3.56,14.22,7.02,0,7.21,0
FCR,2015,2015-03-31 13:22:00,3.79,16.05,7.47,0,8.58,0
FCR,2015,2015-03-31 13:22:00,4.07,17.22,7,0,10.23,0
FCR,2015,2015-03-31 13:22:00,4.31,16.77,7.27,0,9.5,0
FCR,2015,2015-03-31 13:22:00,4.57,16.3,6.81,0,9.49,0
FCR,2015,2015-03-31 13:22:00,4.89,14.47,6.47,0,8.01,0
FCR,2015,2015-03-31 13:22:00,5.15,13.24,6.32,0,6.92,0
FCR,2015,2015-03-31 13:22:00,5.39,13.07,6.07,0,7,0
FCR,2015,2015-03-31 13:22:00,5.6,12.97,5.67,0,7.3,0
FCR,2015,2015-03-31 13:22:00,5.88,12.78,5.83,0,6.95,0
FCR,2015,2015-03-31 13:22:00,6.14,12.08,5.62,0,6.47,0
FCR,2015,2015-03-31 13:22:00,6.38,11.79,5.53,0,6.27,0
FCR,2015,2015-03-31 13:22:00,6.58,11.6,5.16,0,6.43,0
FCR,2015,2015-03-31 13:22:00,6.8,11.57,5.18,0,6.4,0
FCR,2015,2015-03-31 13:22:00,7.02,11.4,4.97,0,6.43,0
FCR,2015,2015-03-31 13:22:00,7.24,11.37,5,0,6.37,0
FCR,2015,2015-03-31 13:22:00,7.47,10.91,4.68,0,6.23,0
FCR,2015,2015-03-31 13:23:00,7.59,10.4,4.24,0,6.16,0
FCR,2015,2015-03-31 13:23:00,7.84,10.47,4.17,0,6.3,0
FCR,2015,2015-03-31 13:23:00,7.96,10.97,4.25,0,6.71,0
FCR,2015,2015-03-31 13:23:00,9.3,10.97,4.25,0,6.71,0
FCR,2015,2015-04-07 12:07:00,0.69,1.35,1.29,0.07,0,0
FCR,2015,2015-04-07 12:07:00,1.04,1.4,1.3,0.07,0,0.03
FCR,2015,2015-04-07 12:07:00,1.06,1.92,1.92,0,0,0
FCR,2015,2015-04-07 12:07:00,1.06,2.39,2.03,0.01,0,0.35
FCR,2015,2015-04-07 12:07:00,1.06,2,1.84,0,0.15,0
FCR,2015,2015-04-07 12:07:00,1.09,2.18,2.18,0,0,0
FCR,2015,2015-04-07 12:07:00,1.16,1.73,1.39,0.34,0,0
FCR,2015,2015-04-07 12:07:00,1.4,1.67,1.24,0,0.42,0
FCR,2015,2015-04-07 12:07:00,1.63,1.1,0.36,0,0,0.74
FCR,2015,2015-04-07 12:07:00,1.81,1.86,1.25,0.56,0.05,0
FCR,2015,2015-04-07 12:07:00,2.02,1.4,1.4,0,0,0
FCR,2015,2015-04-07 12:07:00,2.21,2.42,2.06,0,0.31,0.05
FCR,2015,2015-04-07 12:07:00,2.42,1.09,0,0.01,1.08,0
FCR,2015,2015-04-07 12:07:00,2.6,1.84,1.35,0.21,0,0.29
FCR,2015,2015-04-07 12:07:00,2.78,1.96,0.66,0.2,1.1,0
FCR,2015,2015-04-07 12:07:00,2.96,1.6,0.79,0,0.46,0.35
FCR,2015,2015-04-07 12:07:00,3.09,2.14,1.66,0.16,0.32,0
FCR,2015,2015-04-07 12:07:00,3.3,3.09,2.84,0.25,0,0
FCR,2015,2015-04-07 12:08:00,3.49,2.65,1.8,0.15,0.7,0
FCR,2015,2015-04-07 12:08:00,3.67,2.81,1.7,0.04,0.49,0.58
FCR,2015,2015-04-07 12:08:00,3.85,2.85,1.68,0.19,0.8,0.17
FCR,2015,2015-04-07 12:08:00,3.98,3.06,2.56,0,0.45,0.05
FCR,2015,2015-04-07 12:08:00,4.17,3.08,1.88,0.13,1.07,0
FCR,2015,2015-04-07 12:08:00,4.37,3.01,1.75,0.15,1.06,0.04
FCR,2015,2015-04-07 12:08:00,4.6,3.64,2.53,0.12,0.89,0.1
FCR,2015,2015-04-07 12:08:00,4.81,4.99,2.95,0.19,1.84,0.02
FCR,2015,2015-04-07 12:08:00,5.04,6.81,3.77,0,2.73,0.32
FCR,2015,2015-04-07 12:08:00,5.24,8.66,4.45,0,3.98,0.23
FCR,2015,2015-04-07 12:08:00,5.42,10.44,5.02,0,5.42,0
FCR,2015,2015-04-07 12:08:00,5.64,11.4,5.68,0,5.72,0
FCR,2015,2015-04-07 12:08:00,5.89,11.4,5.78,0,5.62,0
FCR,2015,2015-04-07 12:08:00,6.07,12,6.35,0,5.65,0
FCR,2015,2015-04-07 12:08:00,6.23,11.83,6.25,0,5.58,0
FCR,2015,2015-04-07 12:08:00,6.48,12.17,6.43,0,5.73,0
FCR,2015,2015-04-07 12:08:00,6.66,11.99,5.95,0,6.04,0
FCR,2015,2015-04-07 12:08:00,6.86,11.85,5.74,0,6.11,0
FCR,2015,2015-04-07 12:08:00,7.07,11.75,5.73,0,6.01,0
FCR,2015,2015-04-07 12:08:00,7.26,11.64,5.55,0,6.09,0
FCR,2015,2015-04-07 12:08:00,7.44,11.07,5.08,0,5.99,0
FCR,2015,2015-04-07 12:08:00,7.62,11.01,5.06,0,5.95,0
FCR,2015,2015-04-07 12:09:00,7.81,10.49,4.68,0,5.81,0
FCR,2015,2015-04-07 12:09:00,7.96,9.9,4.37,0,5.53,0
FCR,2015,2015-04-07 12:09:00,8.1,9.66,4.12,0,5.53,0
FCR,2015,2015-04-07 12:09:00,8.27,9.69,4.24,0,5.45,0
FCR,2015,2015-04-07 12:09:00,8.45,9.48,4.15,0,5.33,0
FCR,2015,2015-04-07 12:09:00,8.61,9.53,4.16,0,5.37,0
FCR,2015,2015-04-07 12:09:00,8.79,9.16,3.86,0,5.31,0
FCR,2015,2015-04-07 12:09:00,8.97,9.21,4.01,0,5.2,0
FCR,2015,2015-04-07 12:09:00,9.14,9.17,3.99,0,5.18,0
FCR,2015,2015-04-07 12:09:00,9.34,9.02,3.9,0,5.12,0
FCR,2015,2015-04-13 15:34:00,0.22,2.2,1.13,0.49,0,0.58
FCR,2015,2015-04-13 15:34:00,0.83,3.91,1.6,0,2.27,0.04
FCR,2015,2015-04-13 15:34:00,0.57,3.48,2.19,0.07,1.22,0
FCR,2015,2015-04-13 15:34:00,0.51,3.54,1.9,0,0.61,1.02
FCR,2015,2015-04-13 15:34:00,0.53,3.77,1.5,0,0.92,1.34
FCR,2015,2015-04-13 15:34:00,0.56,4.53,2.46,0.26,1.8,0
FCR,2015,2015-04-13 15:34:00,0.72,3.51,1.05,0.24,1.89,0.33
FCR,2015,2015-04-13 15:34:00,0.89,5.11,3.82,0,0,1.29
FCR,2015,2015-04-13 15:34:00,1.15,5.12,3.14,0.17,1.81,0
FCR,2015,2015-04-13 15:34:00,1.41,5.79,4.52,0,1.26,0
FCR,2015,2015-04-13 15:34:00,1.65,5.12,2.03,0.04,2.69,0.36
FCR,2015,2015-04-13 15:34:00,1.87,6.65,4.5,0.08,2.07,0
FCR,2015,2015-04-13 15:35:00,2.06,6.81,4.83,0.1,1.88,0
FCR,2015,2015-04-13 15:35:00,2.3,6.59,3.7,0.02,2.86,0
FCR,2015,2015-04-13 15:35:00,2.55,7.05,4.75,0,2.3,0
FCR,2015,2015-04-13 15:35:00,2.86,6.45,4.68,0,1.33,0.44
FCR,2015,2015-04-13 15:35:00,3.16,5.75,3.48,0,1.76,0.51
FCR,2015,2015-04-13 15:35:00,3.42,5.37,3.36,0,1.95,0.05
FCR,2015,2015-04-13 15:35:00,3.72,5.59,4.07,0,1.33,0.19
FCR,2015,2015-04-13 15:35:00,4.02,5.15,3.17,0,1.8,0.19
FCR,2015,2015-04-13 15:35:00,4.29,5.66,3.8,0,1.58,0.27
FCR,2015,2015-04-13 15:35:00,4.62,7.44,4.53,0.04,2.46,0.41
FCR,2015,2015-04-13 15:35:00,4.91,9.99,6.47,0.05,2.82,0.64
FCR,2015,2015-04-13 15:35:00,5.19,11.33,6.84,0,3.72,0.76
FCR,2015,2015-04-13 15:35:00,5.44,12.57,7.53,0,4.69,0.36
FCR,2015,2015-04-13 15:35:00,5.74,12.13,6.79,0,5.23,0.1
FCR,2015,2015-04-13 15:35:00,6.05,12.37,6.99,0,5.36,0.02
FCR,2015,2015-04-13 15:35:00,6.28,12.34,6.86,0,5.47,0
FCR,2015,2015-04-13 15:35:00,6.53,11.74,6.37,0,5.37,0
FCR,2015,2015-04-13 15:35:00,6.76,11.16,5.91,0,5.25,0
FCR,2015,2015-04-13 15:35:00,7.03,9.81,5.13,0,4.68,0
FCR,2015,2015-04-13 15:35:00,7.21,9.87,5.22,0,4.65,0
FCR,2015,2015-04-13 15:35:00,7.42,8.67,4.4,0,4.27,0
FCR,2015,2015-04-13 15:36:00,7.59,8.21,4.28,0,3.93,0
FCR,2015,2015-04-13 15:36:00,7.7,8.13,4.18,0,3.95,0
FCR,2015,2015-04-13 15:36:00,7.88,7.88,4.11,0,3.77,0
FCR,2015,2015-04-13 15:36:00,8.11,7.76,4.02,0,3.74,0
FCR,2015,2015-04-13 15:36:00,8.41,7.24,3.55,0,3.69,0
FCR,2015,2015-04-13 15:36:00,8.67,7.29,3.75,0,3.54,0
FCR,2015,2015-04-13 15:36:00,8.96,6.87,3.51,0,3.36,0
FCR,2015,2015-04-13 15:36:00,9.21,6.3,3.3,0,3,0
FCR,2015,2015-04-13 15:36:00,9.33,5.89,3.11,0,2.78,0
FCR,2015,2015-04-21 11:36:00,0.47,3.73,2.52,1.21,0,0
FCR,2015,2015-04-21 11:36:00,1,2.98,0.42,0.21,2.02,0.33
FCR,2015,2015-04-21 11:36:00,1.17,3.55,1.34,0.07,1.85,0.29
FCR,2015,2015-04-21 11:36:00,1.61,4.26,1.97,0.3,1.99,0
FCR,2015,2015-04-21 11:36:00,1.87,6.86,4.85,0,2.01,0
FCR,2015,2015-04-21 11:36:00,2.11,6.48,3.9,0,2.57,0.02
FCR,2015,2015-04-21 11:36:00,2.32,7.15,3.68,0,3.39,0.08
FCR,2015,2015-04-21 11:36:00,2.45,7.96,4.78,0.03,2.99,0.16
FCR,2015,2015-04-21 11:36:00,2.62,9.3,4.45,0,4.85,0
FCR,2015,2015-04-21 11:36:00,2.78,12.86,6.14,0,6.32,0.4
FCR,2015,2015-04-21 11:36:00,2.93,13.83,6.7,0.03,7.1,0
FCR,2015,2015-04-21 11:36:00,3.16,17.51,6.11,0,11.39,0
FCR,2015,2015-04-21 11:36:00,3.42,20.96,7.78,0,13.17,0
FCR,2015,2015-04-21 11:36:00,3.71,21.78,6.87,0,14.91,0
FCR,2015,2015-04-21 11:36:00,3.96,19.96,6.46,0,13.5,0
FCR,2015,2015-04-21 11:37:00,4.23,16.46,6.38,0,10.08,0
FCR,2015,2015-04-21 11:37:00,4.54,12.06,5.49,0,5.96,0.61
FCR,2015,2015-04-21 11:37:00,4.84,11.75,5.89,0.09,5.42,0.36
FCR,2015,2015-04-21 11:37:00,5.18,12.61,6.01,0.42,6.17,0.01
FCR,2015,2015-04-21 11:37:00,5.49,14.75,7.81,0.45,6.12,0.37
FCR,2015,2015-04-21 11:37:00,5.79,15.51,8.41,0.58,6.1,0.41
FCR,2015,2015-04-21 11:37:00,5.82,15.84,8.75,0.67,6.12,0.3
FCR,2015,2015-04-21 11:37:00,5.96,14.84,8.35,0.53,5.43,0.53
FCR,2015,2015-04-21 11:37:00,6.16,12.91,7.54,0.29,4.29,0.79
FCR,2015,2015-04-21 11:37:00,6.57,8.51,5.03,0.51,2.69,0.28
FCR,2015,2015-04-21 11:37:00,6.89,6.48,3.92,0.46,1.82,0.28
FCR,2015,2015-04-21 11:37:00,7.28,5.42,3.22,0.49,1.52,0.2
FCR,2015,2015-04-21 11:37:00,7.61,4.45,2.74,0.3,1.06,0.34
FCR,2015,2015-04-21 11:37:00,7.94,4.03,2.47,0.33,1.08,0.16
FCR,2015,2015-04-21 11:37:00,8.28,3.59,2.29,0.3,0.79,0.22
FCR,2015,2015-04-21 11:37:00,8.58,3.44,2.13,0.33,0.84,0.14
FCR,2015,2015-04-21 11:37:00,8.94,3.19,2.01,0.28,0.74,0.17
FCR,2015,2015-04-21 11:37:00,9.28,3.1,1.99,0.28,0.67,0.15
FCR,2015,2015-05-18 12:16:00,0.85,3.09,2.26,0,0.27,0.55
FCR,2015,2015-05-18 12:16:00,0.89,4,2.57,0,1.05,0.37
FCR,2015,2015-05-18 12:16:00,1.02,2.78,0.87,0,0,1.92
FCR,2015,2015-05-18 12:16:00,1.11,3.78,2.66,0,1.13,0
FCR,2015,2015-05-18 12:16:00,1.29,2.9,2.41,0.22,0.26,0
FCR,2015,2015-05-18 12:16:00,1.54,4.58,2.93,0,1.07,0.59
FCR,2015,2015-05-18 12:16:00,1.77,4.27,1.49,0,2.48,0.3
FCR,2015,2015-05-18 12:16:00,2.02,4.99,2.85,0,1.16,0.99
FCR,2015,2015-05-18 12:17:00,2.25,6.39,5.52,0,0,0.86
FCR,2015,2015-05-18 12:17:00,2.49,5.82,2.99,0.07,2.37,0.39
FCR,2015,2015-05-18 12:17:00,2.84,6.45,4.15,0,2.31,0
FCR,2015,2015-05-18 12:17:00,3.16,5.98,3.82,0.17,2,0
FCR,2015,2015-05-18 12:17:00,3.46,6.8,4.58,0.23,1.99,0
FCR,2015,2015-05-18 12:17:00,3.76,7.03,4.85,0,2.18,0
FCR,2015,2015-05-18 12:17:00,4.01,9.16,5.53,0,3.63,0
FCR,2015,2015-05-18 12:17:00,4.3,12.26,6.24,0,6.03,0
FCR,2015,2015-05-18 12:17:00,4.59,16.46,7.88,0,8.58,0
FCR,2015,2015-05-18 12:17:00,4.91,20.44,8.86,0,10.59,0.98
FCR,2015,2015-05-18 12:17:00,5.14,22.25,8.52,0,12.39,1.34
FCR,2015,2015-05-18 12:17:00,5.38,24.65,9.43,0.6,13.1,1.53
FCR,2015,2015-05-18 12:17:00,5.54,23.25,9.64,1.16,9.9,2.55
FCR,2015,2015-05-18 12:17:00,5.76,21.57,9.13,2.06,8.21,2.17
FCR,2015,2015-05-18 12:17:00,5.96,20,8.95,2.33,6.26,2.46
FCR,2015,2015-05-18 12:17:00,6.22,19.49,8.44,2.49,6.17,2.39
FCR,2015,2015-05-18 12:17:00,6.43,19.09,8.31,2.54,5.84,2.4
FCR,2015,2015-05-18 12:17:00,6.64,19.11,8.2,2.49,5.97,2.46
FCR,2015,2015-05-18 12:17:00,6.85,19.35,8.37,2.47,6.15,2.36
FCR,2015,2015-05-18 12:17:00,7.06,19.6,8.28,2.51,6.45,2.36
FCR,2015,2015-05-18 12:17:00,7.31,19.78,8.13,2.6,6.85,2.19
FCR,2015,2015-05-18 12:18:00,7.53,19.23,8.11,2.54,6.2,2.39
FCR,2015,2015-05-18 12:18:00,7.85,18.86,7.98,2.53,5.99,2.37
FCR,2015,2015-05-18 12:18:00,8.11,19.46,8.71,2.65,5.76,2.33
FCR,2015,2015-05-18 12:18:00,8.37,18.94,8.52,2.55,5.37,2.5
FCR,2015,2015-05-18 12:18:00,8.64,19.3,8.97,2.76,5.34,2.24
FCR,2015,2015-05-18 12:18:00,8.89,19.07,8.83,2.66,5.21,2.38
FCR,2015,2015-05-18 12:18:00,9.12,19.47,9.26,2.78,5.19,2.25
FCR,2015,2015-05-18 12:18:00,9.33,19.02,8.92,2.61,4.99,2.5
FCR,2015,2015-05-25 12:47:00,0.37,4.51,2.29,0,1.55,0.67
FCR,2015,2015-05-25 12:47:00,0.57,4.02,1.73,0,2.26,0.03
FCR,2015,2015-05-25 12:47:00,0.68,4.25,1.48,0.45,2.31,0
FCR,2015,2015-05-25 12:47:00,0.73,4.92,2.92,0,2.01,0
FCR,2015,2015-05-25 12:48:00,0.96,5.11,3.31,0,1.24,0.55
FCR,2015,2015-05-25 12:48:00,1.07,4.83,2.78,0,1.86,0.19
FCR,2015,2015-05-25 12:48:00,1.18,5.85,5.36,0,0,0.49
FCR,2015,2015-05-25 12:48:00,1.35,5.31,2.69,0,2.62,0
FCR,2015,2015-05-25 12:48:00,1.51,5.53,3.39,0.23,1.91,0
FCR,2015,2015-05-25 12:48:00,1.69,5.61,3.2,0.17,2.24,0
FCR,2015,2015-05-25 12:48:00,1.9,5.83,2.67,0.17,2.99,0
FCR,2015,2015-05-25 12:48:00,2.03,5.86,3,0,2.59,0.28
FCR,2015,2015-05-25 12:48:00,2.19,5.95,3.25,0,2.7,0
FCR,2015,2015-05-25 12:48:00,2.36,6.69,3.48,0,2.77,0.44
FCR,2015,2015-05-25 12:48:00,2.53,6.1,2.95,0,3.01,0.14
FCR,2015,2015-05-25 12:48:00,2.71,7.07,4.57,0,1.64,0.86
FCR,2015,2015-05-25 12:48:00,2.88,6.92,3.1,0.23,3.6,0
FCR,2015,2015-05-25 12:48:00,3.05,7.12,3.81,0,2.55,0.77
FCR,2015,2015-05-25 12:48:00,3.26,6.93,4.03,0,1.87,1.02
FCR,2015,2015-05-25 12:48:00,3.47,6.76,3.91,0.38,2.26,0.21
FCR,2015,2015-05-25 12:48:00,3.68,6.44,3.99,0.63,1.48,0.34
FCR,2015,2015-05-25 12:48:00,3.84,6.12,3.32,0.58,1.5,0.72
FCR,2015,2015-05-25 12:48:00,4.04,7.93,3.97,0.71,2.28,0.97
FCR,2015,2015-05-25 12:48:00,4.21,9.51,5.46,0.76,2.31,0.98
FCR,2015,2015-05-25 12:48:00,4.44,11.06,6.04,0.51,3.68,0.83
FCR,2015,2015-05-25 12:48:00,4.6,12.33,5.79,0.33,5.36,0.84
FCR,2015,2015-05-25 12:49:00,4.75,13.49,6.24,0.12,6.31,0.82
FCR,2015,2015-05-25 12:49:00,4.85,15.11,6.24,0,7.89,0.98
FCR,2015,2015-05-25 12:49:00,4.99,15.7,6.57,0.09,8.29,0.75
FCR,2015,2015-05-25 12:49:00,5.09,16.74,6.39,0,9.31,1.05
FCR,2015,2015-05-25 12:49:00,5.25,18.2,7.77,0.01,9.09,1.33
FCR,2015,2015-05-25 12:49:00,5.37,18.84,8.8,0.25,8.39,1.4
FCR,2015,2015-05-25 12:49:00,5.54,18.84,8.81,0.74,7.52,1.77
FCR,2015,2015-05-25 12:49:00,5.76,19.65,8.21,2.34,7.2,1.89
FCR,2015,2015-05-25 12:49:00,5.9,19.78,8.7,2.28,6.77,2.03
FCR,2015,2015-05-25 12:49:00,6.01,19.34,8.32,2.24,6.86,1.92
FCR,2015,2015-05-25 12:49:00,6.15,19.74,8.5,2.28,6.91,2.06
FCR,2015,2015-05-25 12:49:00,6.31,19.76,8.29,2.82,6.64,2.02
FCR,2015,2015-05-25 12:49:00,6.53,18.71,7.54,3.09,5.83,2.25
FCR,2015,2015-05-25 12:49:00,6.72,18.4,7.51,3.06,5.48,2.35
FCR,2015,2015-05-25 12:49:00,6.91,17.86,7.45,3.2,4.92,2.29
FCR,2015,2015-05-25 12:49:00,7.03,18.15,7.6,3.25,5.02,2.27
FCR,2015,2015-05-25 12:49:00,7.22,17.92,7.47,3.31,5.04,2.1
FCR,2015,2015-05-25 12:49:00,7.48,17.48,7.31,3.31,4.67,2.18
FCR,2015,2015-05-25 12:49:00,7.68,17.4,7.5,3.3,4.39,2.21
FCR,2015,2015-05-25 12:49:00,7.85,17.93,7.98,3.37,4.38,2.2
FCR,2015,2015-05-25 12:49:00,8.02,18.14,8.08,3.4,4.46,2.2
FCR,2015,2015-05-25 12:50:00,8.24,17.75,8,3.35,4.2,2.2
FCR,2015,2015-05-25 12:50:00,8.42,17.73,7.94,3.32,4.21,2.25
FCR,2015,2015-05-25 12:50:00,8.68,17.5,8,3.25,3.88,2.36
FCR,2015,2015-05-25 12:50:00,8.9,17.68,8.01,3.32,4.08,2.26
FCR,2015,2015-05-25 12:50:00,9.09,17.71,8.08,3.36,4.03,2.23
FCR,2015,2015-05-25 12:50:00,9.19,18.04,8.14,3.45,4.28,2.18
FCR,2015,2015-05-25 12:50:00,9.29,18.54,8.57,3.51,4.25,2.21
FCR,2015,2015-06-01 10:41:00,0.41,3.77,0.34,0.41,2.94,0.08
FCR,2015,2015-06-01 10:41:00,0.56,5.24,4.95,0.29,0,0
FCR,2015,2015-06-01 10:41:00,0.79,3.87,2.25,0.08,1.25,0.3
FCR,2015,2015-06-01 10:41:00,1.03,3.92,1.23,0,1.38,1.32
