datetime	green_ugL	cyano_ugL	diatom_ugL	crypto_ugL	yellow_sub_ugL	total_conc_ugL	transmission_%	depth_m	temp_sample_C	green_cells_ml	cyano_cells_ml	diatom_cells_ml	crypto_cells_ml	yellow_sub_cells_ml	total_cells_ml	trans_700_nm	LED3_525_nm	LED4_570_nm	LED5_610_nm	LED6_370_nm	LED7_590_nm	LED8_470_nm	pressure_bar	temp_LEDs_C	temp_sensor_C	filename	Reservoir	Site
2017-05-01 10:23:35	0	1.39	0	0	0	1.39	39.06	0	40.64	0	1392	0	0	0	1392	68.13	0.17	0.63	8.36	1.44	7.98	-0.3	1	34.42	11.76	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:38	0	1.4	0	0	0.09	1.4	40.65	0.1	41.17	0	1402	0	0	0	1402	70.9	1.16	1.25	8.34	2.34	7.94	0.38	1.01	34.49	11.76	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:40	0	0.43	0.49	1.21	0.65	2.13	92.17	0.31	42.37	0	433	221	36	0	690	160.65	7.66	3.87	7.22	10	9.54	12.3	1.03	34.55	11.78	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:42	0	0.35	0.36	1.28	0.58	2	93.14	0.31	42.78	0	355	163	39	0	556	162.35	8.01	2.9	6.61	9.22	9.63	11.08	1.03	34.64	11.78	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:45	0	0.21	0.31	1.48	0.58	2	93.74	0.41	42.71	0	214	140	44	0	398	163.38	8.04	4.17	6.79	9.36	9.17	11.84	1.04	34.69	11.77	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:47	0	0.42	0.81	0.95	0.6	2.18	93.26	0.51	42.72	0	423	366	28	0	817	162.56	7.95	3.29	6.81	9.62	8.8	11.85	1.05	34.75	11.79	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:49	0	0.06	0	1.63	0.71	1.69	93.89	0.71	42.74	0	56	0	49	0	105	163.65	7.62	3.7	5.89	10.26	9.35	12.38	1.07	34.82	11.78	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:52	0	0.18	0.26	1.45	0.65	1.89	94.23	0.71	42.74	0	180	117	43	0	340	164.25	7.39	4.05	6.44	9.79	9.15	12.39	1.07	34.88	11.79	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:54	0	0.13	0.28	1.44	0.63	1.85	93.96	0.82	42.71	0	128	126	43	0	297	163.78	7.48	3.95	6.2	9.52	8.84	12.08	1.08	34.93	11.8	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:57	0	0.29	0.38	1.3	0.64	1.97	93.57	0.82	42.65	0	290	170	39	0	499	163.09	7.64	3.29	6.48	9.7	9.45	11.98	1.08	34.99	11.79	050117_FCR_all.txt	FCR	50
2017-05-01 10:23:59	0	0.24	0.48	1.37	0.59	2.09	93.83	0.82	42.57	0	237	218	41	0	496	163.54	8.53	3.61	6.68	9.63	9.24	12.03	1.08	35.06	11.81	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:01	0	0.21	0.19	1.49	0.66	1.88	93.68	0.82	42.61	0	205	87	45	0	337	163.28	7.84	3.76	6.51	9.91	9.38	12.07	1.08	35.11	11.83	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:04	0	0.31	0.64	1.15	0.62	2.1	94.01	0.92	42.51	0	313	287	35	0	635	163.85	7.63	3.62	6.63	9.69	9	12.36	1.09	35.17	11.82	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:06	0	0.32	0.58	1.23	0.58	2.13	93.79	0.92	42.38	0	319	261	37	0	617	163.48	8.01	3.65	6.8	9.43	9.14	11.94	1.09	35.22	11.82	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:08	0	0.25	0.33	1.36	0.66	1.94	93.67	1.02	42.4	0	252	150	41	0	443	163.26	7.59	3.98	6.65	9.89	9.12	12.23	1.1	35.3	11.84	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:11	0	0.39	0.91	1.05	0.6	2.34	94.12	1.02	42.46	0	387	408	31	0	827	164.05	7.7	3.57	6.91	9.75	9.33	13.1	1.1	35.35	11.83	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:13	0	0.32	0.8	1.17	0.59	2.29	93.84	1.12	42.45	0	316	362	35	0	713	163.56	7.98	3.52	6.76	9.7	9.39	12.98	1.11	35.39	11.84	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:16	0	0.2	0.26	1.44	0.67	1.9	93.72	1.12	42.39	0	201	115	43	0	359	163.35	7.63	3.56	6.35	9.97	9.45	12.37	1.11	35.47	11.83	050117_FCR_all.txt	FCR	50
2017-05-01 10:24:18	0	0.25	0.31	1.38	0.64	1.95	94.08	1.12	42.42	0	253	139	41	0	434	163.98	7.72	3.55	6.52	9.79	9.41	12.07	1.11	35.52	11.84	050117_FCR_all.txt	FCR	50
