time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2018-08-14 23:00,0,354.645901639344,19.51,96.4,2.90488524590164,0,0
2018-08-15 00:00,0,355.039344262295,23.27,100,3.13580327868852,0,0
2018-08-15 01:00,0,356.013114754098,21.55,100,2.90785245901639,0,0
2018-08-15 02:00,0,355.255737704918,21.78,99.4,2.64111475409836,0,0
2018-08-15 03:00,0,355.627868852459,21.49,97.9,2.59868852459016,0,0
2018-08-15 04:00,0,354.473770491803,20.91,97.4,2.88529508196721,0,0
2018-08-15 05:00,0,355.05737704918,20.63,98.1,3.01211475409836,0,0
2018-08-15 06:00,26.0281967213115,355.583606557377,20.74,98.6,3.08104918032787,0,0
2018-08-15 07:00,149.359180327869,355.43606557377,22.2,96,3.37250819672131,0,0
2018-08-15 08:00,307.061639344262,370.403278688525,22.6,70.62,4.2092131147541,0,0
2018-08-15 09:00,726.281967213115,388.480327868852,23.88,69.15,3.1836393442623,0,0
2018-08-15 10:00,750.970491803279,397.826229508197,39.21,76.42,2.90998360655738,0,0
2018-08-15 11:00,799.414754098361,402.550819672131,35.32,69.94,2.3577868852459,0,0
2018-08-15 12:00,681.268852459016,409.603278688525,34.68,63.06,1.14313114754098,0,0
2018-08-15 13:00,714.570491803279,414.886885245902,29.37,54.13,0.88783606557377,0,0
2018-08-15 14:00,459.85737704918,422.92131147541,29.65,51.73,0.893262295081967,0,0
2018-08-15 15:00,542.840983606557,412.059016393443,29.24,57.38,1.36006557377049,0,0
2018-08-15 16:00,408.726229508197,404.183606557377,29.71,55.62,0.681327868852459,0,0
2018-08-15 17:00,131.273770491803,409.903278688525,28.58,64.17,0.854,0,0
2018-08-15 18:00,42.4515737704918,403.791803278689,27.65,81.9,1.06162295081967,0,0
2018-08-15 19:00,0,388.895081967213,28.17,92,1.32831147540984,0,0
2018-08-15 20:00,0,379.986885245902,22.17,95.2,1.47629508196721,0,0
2018-08-15 21:00,0,378.227868852459,20.85,96.9,1.59618032786885,0,0
2018-08-15 22:00,0,373.480327868852,20.79,98.4,1.90159016393443,0,0
2018-08-15 23:00,0,380.772131147541,20.64,99.1,1.94816393442623,0,0
2018-08-16 00:00,0,379.363934426229,21.25,99.9,2.23859016393443,0,0
2018-08-16 01:00,0,384.65737704918,20.93,99.7,2.14819672131148,0,0
2018-08-16 02:00,0,378.52131147541,21.27,99.6,1.63260655737705,0,0
2018-08-16 03:00,0,380.319672131148,21.22,99.9,2.01716393442623,0,0
2018-08-16 04:00,0,384.85737704918,21.25,100,1.69818032786885,0,0
2018-08-16 05:00,0.411885245901639,383.345901639344,20.95,99.6,2.09313114754098,0,0
2018-08-16 06:00,42.2211475409836,392.809836065574,21.27,99.4,1.64608196721311,0,0
2018-08-16 07:00,144.228032786885,378.870491803279,21.62,96.1,1.09813114754098,0,0
2018-08-16 08:00,295.25737704918,392.308196721312,23.32,80.7,1.08193442622951,0,0
2018-08-16 09:00,612.686885245902,410.177049180328,35.49,82.9,0.618147540983607,0,0
2018-08-16 10:00,748.567213114754,420.759016393443,29,59.76,0.830852459016393,0,0
2018-08-16 11:00,816.065573770492,427.375409836066,29.26,58.17,0.911573770491803,0,0
2018-08-16 12:00,758.981967213115,434.918032786885,30.79,55.62,1.18567213114754,0,0
2018-08-16 13:00,678.972131147541,438.434426229508,33.02,57.99,1.35890163934426,0,0
2018-08-16 14:00,577.567213114754,434.159016393443,30.86,60.35,0.995524590163934,0,0
2018-08-16 15:00,642.893442622951,429.054098360656,30.84,61.16,1.16249180327869,0,0
2018-08-16 16:00,387.883606557377,425.490163934426,30.07,60.57,1.16488524590164,0,0
2018-08-16 17:00,121.747540983607,425.803278688525,29.6,64.7,0.627737704918033,0,0
2018-08-16 18:00,36.174606557377,420.390163934426,28.12,81.2,0.596311475409836,0,0
2018-08-16 19:00,0,410.931147540984,33.7,92.6,0.454918032786885,0,0
2018-08-16 20:00,0,402.432786885246,40.4,105.8,0.547508196721311,0,0
2018-08-16 21:00,0,399.524590163934,24.97,94.3,1.19513114754098,0,0
2018-08-16 22:00,0,395.650819672131,23.79,97,1.03891803278689,0,0
2018-08-16 23:00,0,392.783606557377,23.37,98.7,1.30404918032787,0,0
2018-08-17 00:00,0,397.985245901639,24.49,100,1.44773770491803,0,0
2018-08-17 01:00,0,388.773770491803,23.94,100,1.61809836065574,0,0
2018-08-17 02:00,0,385.413114754098,21.81,99.5,1.37419672131148,0,0
2018-08-17 03:00,0,395.768852459016,21.33,99.3,1.56754098360656,0,0
2018-08-17 04:00,0,396.855737704918,21.14,99.2,1.4023606557377,0,0
2018-08-17 05:00,2.58088524590164,404.154098360656,21,99.3,1.436,0,0
2018-08-17 06:00,60.5191803278689,402.477049180328,21.33,98.9,1.37413114754098,0,0
2018-08-17 07:00,152.313770491803,382.993442622951,22.13,97.1,0.802983606557377,0,0
2018-08-17 08:00,266.416393442623,401.539344262295,28.92,95.1,0.780360655737705,0,0
2018-08-17 09:00,501.816393442623,418.419672131148,34.16,74.18,0.650770491803279,0,0
2018-08-17 10:00,736.865573770492,425.331147540984,31.36,66.07,0.916131147540984,0,0
2018-08-17 11:00,842.603278688525,436.668852459016,31.39,63.49,1.94616393442623,0,0
2018-08-17 12:00,877.909836065574,443.868852459016,32.04,60.96,2.85337704918033,0,0
2018-08-17 13:00,698.724590163934,443.995081967213,30.47,60.21,2.50052459016393,0,0
2018-08-17 14:00,573.032786885246,435.539344262295,30.36,62.61,1.57632786885246,0,0
2018-08-17 15:00,601.45737704918,428.6,30.71,63.07,2.38603278688525,0,0
2018-08-17 16:00,294.85737704918,436.516393442623,30.51,62.07,2.32152459016393,0,0
2018-08-17 17:00,140.384262295082,423.308196721311,28.65,67.92,1.31416393442623,0,0
2018-08-17 18:00,28.9833606557377,419.613114754098,29.12,76.59,0.779016393442623,0,0
2018-08-17 19:00,0,414.604918032787,42.76,99.2,0.473622950819672,0,0
2018-08-17 20:00,0,407.859016393443,28.78,87,0.478344262295082,0,0
2018-08-17 21:00,0,401.849180327869,43.49,NA,0.537213114754098,0,0
2018-08-17 22:00,0,400.944262295082,25.58,99.7,0.716803278688525,0,0
2018-08-17 23:00,0,399.911475409836,26.1,99.2,1.08991803278689,0,0
2018-08-18 00:00,0,395.793442622951,25.61,84.7,0.895573770491803,0,0
2018-08-18 01:00,0,396.14262295082,23.82,91.7,1.71004918032787,0,0
2018-08-18 02:00,0,397.42131147541,25.64,78.53,1.76650819672131,0,0
2018-08-18 03:00,0,407.844262295082,23.85,84.5,1.10586885245902,0,0
2018-08-18 04:00,0,411.937704918033,23.96,81.7,1.50852459016393,0,0
2018-08-18 05:00,1.7323606557377,404.749180327869,24.3,80.2,2.27901639344262,0,0
2018-08-18 06:00,46.7363934426229,410.15737704918,23.49,88.2,1.6632131147541,0,0
2018-08-18 07:00,100.568032786885,417.531147540984,24.18,81.4,2.18483606557377,0,0
2018-08-18 08:00,156.92131147541,425.581967213115,24.22,81.9,0.924147540983607,0,0
2018-08-18 09:00,243.183606557377,427.385245901639,26.59,85.1,1.05580327868852,0,0
2018-08-18 10:00,147.985409836066,442.709836065574,27.39,83.2,1.98906557377049,0,0
2018-08-18 11:00,202.934426229508,440.013114754098,25.34,92,1.28986885245902,0.006096,0
2018-08-18 12:00,155.657819672131,442.590163934426,25.31,92.9,1.29570491803279,0.18288,0
2018-08-18 13:00,92.7888524590164,438.914754098361,23.04,97,3.21591803278689,0.36576,0
2018-08-18 14:00,191.637704918033,433.067213114754,21.38,96.5,1.39172131147541,0.03048,0
2018-08-18 15:00,425.693442622951,434.885245901639,22.04,98.7,1.59850819672131,0,0
2018-08-18 16:00,216.796721311475,440.955737704918,22.77,92.1,1.97616393442623,0,0
2018-08-18 17:00,145.909344262295,430.937704918033,23.42,89.2,1.35265573770492,0,0
2018-08-18 18:00,35.9507049180328,419.088524590164,24.27,91.8,0.29427868852459,0,0
2018-08-18 19:00,0,411.972131147541,22.71,97.1,1.19306557377049,0,0
2018-08-18 20:00,0,403.188524590164,21.48,99.5,1.589,0,0
2018-08-18 21:00,0,401.324590163934,21.03,99.8,1.81003278688525,0,0
2018-08-18 22:00,0,401.609836065574,21.06,99.8,1.18852459016393,0,0
2018-08-18 23:00,0,406.973770491803,21.08,98.8,1.15919672131148,0,0
2018-08-19 00:00,0,402.67868852459,21.34,99.9,2.05972131147541,0,0
2018-08-19 01:00,0,400.750819672131,22.46,90.8,2.49740983606557,0,0
2018-08-19 02:00,0,405.822950819672,21.39,96.4,1.75667213114754,0,0
2018-08-19 03:00,0,405.260655737705,21.68,94.2,2.71001639344262,0,0
2018-08-19 04:00,0,403.340983606557,21.87,92.6,1.91488524590164,0,0
2018-08-19 05:00,0.817229508196721,402.752459016393,21.1,97.9,1.4742131147541,0,0
2018-08-19 06:00,43.9504918032787,395.911475409836,21,97.4,0.795049180327869,0,0
2018-08-19 07:00,143.449508196721,388.14262295082,21.47,94.3,0.794360655737705,0,0
2018-08-19 08:00,292.680327868852,400.104918032787,22.71,86.9,1.30008196721311,0,0
2018-08-19 09:00,579.260655737705,411.5,24.62,78.84,1.0005737704918,0,0
