"","Date","Kd"
"1",2014-07-02,-1.18608429404516
"2",2014-10-04,-0.693727370340838
"3",2015-05-09,-1.23840541679491
"4",2015-05-11,-1.18570220330469
"5",2015-05-14,-1.12745840695467
"6",2015-05-18,-0.877117753506881
"7",2015-05-21,-0.882383826032505
"8",2015-05-25,-0.839805523224963
"9",2015-05-28,-1.23406810598999
"10",2015-05-30,-1.3920599235306
"11",2015-06-01,-1.21877090288838
"12",2015-06-04,-1.10976742511102
"13",2015-06-08,-0.931404092466215
"14",2015-06-10,-1.31675046026
"15",2015-06-11,-0.945193590487238
"16",2015-06-15,-0.950839444790613
"17",2015-06-18,-0.908693885290007
"18",2015-06-19,-0.876689950720422
"19",2015-06-22,-1.10913489887686
"20",2015-06-25,-0.857966449706534
"21",2015-06-29,-0.718449537276369
"22",2015-07-02,-0.893042821601846
"23",2015-07-06,-1.23800962137734
"24",2015-07-09,-1.14458337085555
"25",2015-07-16,-0.874264932172516
"26",2015-07-20,-1.13389157565778
"27",2015-07-30,-0.88335082090446
"28",2015-08-03,-0.963636391872722
"29",2015-08-13,-0.92563607611225
"30",2015-08-20,-0.911993059559088
"31",2015-08-24,-0.595076501578043
"32",2015-08-30,-1.56094637963674
"33",2015-08-31,-0.595076501578043
"34",2015-09-04,-0.857889397754698
"35",2015-09-14,-0.560677915024825
"36",2015-09-17,-1.30050884931599
"37",2015-09-18,-1.15513857001914
"38",2015-09-21,-0.822866030520691
"39",2015-09-28,-0.716756427033475
"40",2015-10-19,-0.991926672224881
"41",2015-10-23,-1.05595677343814
"42",2015-11-09,-1.01016755161233
"43",2015-12-07,-1.08560866583633
"44",2016-03-30,-1.59017657378347
"45",2016-04-05,-1.46508996998894
"46",2016-04-11,-1.51279661195962
"47",2016-04-18,-1.45910149627558
"48",2016-04-20,-1.59045420542652
"49",2016-04-25,-1.26434524880524
"50",2016-04-29,-1.21350553733157
"51",2016-04-30,-0.919067005311209
"52",2016-05-02,-1.38386344429379
"53",2016-05-04,-1.62029728051749
"54",2016-05-09,-1.33843206799495
"55",2016-05-12,-1.47501252568168
"56",2016-05-13,-1.65410634577164
"57",2016-05-14,-1.59676528854163
"58",2016-05-16,-1.44407754143547
"59",2016-05-19,-1.2649007083525
"60",2016-05-23,-1.03625791112179
"61",2016-05-25,-1.9616534216476
"62",2016-05-26,-1.11796292001181
"63",2016-05-27,-0.947642050176963
"64",2016-05-28,-1.13548720661815
"65",2016-05-29,-1.38961936091559
"66",2016-05-30,-1.12051768819156
"67",2016-05-31,-1.06608767218703
"68",2016-06-02,-1.09137517741531
"69",2016-06-06,-0.932858925301486
"70",2016-06-08,-1.12239958155014
"71",2016-06-10,-1.35945421645749
"72",2016-06-13,-1.25691578017248
"73",2016-06-16,-0.913719617214663
"74",2016-06-20,-1.10531932754858
"75",2016-06-28,-0.997038332586055
"76",2016-06-29,-1.83227859105583
"77",2016-06-30,-0.964463563756359
"78",2016-07-05,-1.41928031614346
"79",2016-07-07,-0.841681325866981
"80",2016-07-08,-1.55416452381444
"81",2016-07-11,-0.948628016729081
"82",2016-07-14,-0.843339311775029
"83",2016-07-15,-1.73134874565775
"84",2016-07-18,-0.90482497353712
"85",2016-07-21,-0.847677785513885
"86",2016-07-22,-2.05017675013687
"87",2016-07-24,-0.894088055783721
"88",2016-07-25,-1.00833402795363
"89",2016-07-27,-0.659960733586779
"90",2016-07-28,-0.81401256497592
"91",2016-07-29,-1.31895430794012
"92",2016-08-01,-0.881871502940751
"93",2016-08-08,-1.18154118183702
"94",2016-08-09,-1.6052142185522
"95",2016-08-11,-0.761519807559207
"96",2016-08-12,-0.736037781884135
"97",2016-08-13,-1.01261331716894
"98",2016-08-15,-1.01235997599948
"99",2016-08-17,-3.93939704098036
"100",2016-08-18,-0.975088618812535
"101",2016-08-23,-0.973353199911263
"102",2016-08-24,-1.40409997797977
"103",2016-08-26,-0.920353482644537
"104",2016-08-29,-1.42463202555156
"105",2016-09-02,-0.701326318862401
"106",2016-09-04,-0.677668457489672
"107",2016-09-05,-0.717742099907874
"108",2016-09-06,-0.902378623099107
"109",2016-09-09,-0.709436179470745
"110",2016-09-12,-1.12921420725371
"111",2016-09-20,-1.02099205895277
"112",2016-09-23,-1.26043059063856
"113",2016-09-26,-1.47989785294447
"114",2016-09-27,-1.13844087268055
"115",2016-09-30,-0.684252944578679
"116",2016-10-03,-1.43398804011227
"117",2016-10-07,-1.1271669044954
"118",2017-02-06,-1.09635646563869
"119",2017-02-27,-1.2038355486009
"120",2017-03-13,-1.22703186397905
"121",2017-03-17,-1.58541764066366
"122",2017-03-27,-1.09358679978486
"123",2017-04-10,-1.37411360846309
"124",2017-04-17,-0.96494996341194
"125",2017-04-24,-1.08898295980355
"126",2017-05-01,-0.993003936318102
"127",2017-05-05,-1.36292049208521
"128",2017-05-08,-0.74946472096959
"129",2017-05-10,-1.36662582652326
"130",2017-05-15,-1.02389382635345
"131",2017-05-18,-1.40353043602502
"132",2017-05-22,-1.10873861530629
"133",2017-05-25,-1.35059620256906
"134",2017-05-29,-1.00873002629478
"135",2017-05-30,-1.06613398493035
"136",2017-06-01,-1.08987003354527
"137",2017-06-05,-0.160188718486027
"138",2017-06-08,-0.979697828288182
"139",2017-06-12,-1.15528390861254
"140",2017-06-15,-1.14909909608525
"141",2017-06-19,-1.10159311957978
"142",2017-06-22,-0.897104602059951
"143",2017-06-26,-1.1949964619339
"144",2017-07-05,-1.07571624868393
"145",2017-07-07,-0.629962127099848
"146",2017-07-10,-0.904899146919959
"147",2017-07-11,-1.36095323729725
"148",2017-07-13,-0.748520358029171
"149",2017-07-17,-0.735955342936174
"150",2017-07-20,-0.754133397431193
"151",2017-07-24,-0.792150440106088
"152",2017-07-27,-0.692760958345183
"153",2017-07-31,-1.63227936903373
"154",2017-08-03,-0.770816915025208
"155",2017-08-07,-0.892191664328447
"156",2017-08-10,-0.707738133669699
"157",2017-08-14,-0.919805478082177
"158",2017-08-17,-0.864561199502881
"159",2017-08-21,-0.854839687973476
"160",2017-08-24,-0.746453777640786
"161",2017-08-28,-0.848696847091099
"162",2017-09-04,-0.781154903121308
"163",2017-09-05,-0.793104218383895
"164",2017-09-11,-1.01467144361719
"165",2017-09-18,-0.95354174957513
"166",2017-09-19,-0.747236740466343
"167",2017-09-25,-1.03506933778933
"168",2017-10-02,-0.886360958460737
"169",2017-10-03,-0.879500685799221
"170",2017-10-09,-0.846478285989774
"171",2017-10-16,-0.919137624041901
"172",2017-10-17,-0.927348765413097
"173",2017-10-23,-1.3609934173901
"174",2017-10-30,-0.879394047309617
"175",2017-11-06,-1.14109540215026
"176",2017-11-07,-0.599023440253693
"177",2017-12-11,-1.1813543937091
