"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOSat","Cond_uScm","PAR_umolm2s","ORP_mV","pH","Flag_Temp","Flag_DO","Flag_DOSat","Flag_Cond","Flag_PAR","Flag_ORP","Flag_pH","Notes"
"FCR",40,2013-08-08 12:00:00,7.5,NA,0.35,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-08 12:00:00,7.5,NA,5.06,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-08 12:00:00,8,NA,5.1,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-08 12:00:00,8,NA,5.01,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-08 12:00:00,8.5,NA,5.09,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-08 12:00:00,8.5,NA,4.72,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-08 12:00:00,9,NA,5.08,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-08 12:00:00,9,NA,0.44,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-08 12:00:00,9.5,NA,5.09,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,0.5,NA,7.41,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,0.5,NA,8.09,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,0.5,NA,7.93,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,1,NA,7.51,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,1,NA,7.9,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,1,NA,7.89,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,1.5,NA,7.94,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,1.5,NA,8.57,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,1.5,NA,7.49,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,2,NA,10.88,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,2,NA,10.15,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,2,NA,11.25,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,2.5,NA,11.24,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,2.5,NA,9.32,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,2.5,NA,10.51,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,3,NA,10.25,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,3,NA,9.45,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,3,NA,9.22,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,3.5,NA,4.87,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,3.5,NA,5.75,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,3.5,NA,6.29,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,4,NA,2.73,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,4,NA,0.92,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,4,NA,3.04,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,4.5,NA,2.06,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,4.5,NA,0.37,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,4.5,NA,0.72,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,5,NA,2.53,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,5,NA,1.44,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,5,NA,3.1,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,5.5,NA,5.23,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,5.5,NA,5.3,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,5.5,NA,5.38,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,6,NA,5.45,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,6,NA,5.43,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,6,NA,5.49,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,6.5,NA,5.31,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,6.5,NA,5.4,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,6.5,NA,5.51,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,7,NA,5.57,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,7,NA,4.82,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,7,NA,5.47,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,7.5,NA,5.58,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-12 12:00:00,7.5,NA,0.34,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,7.5,NA,5.48,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,8,NA,5.57,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,8,NA,5.46,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,8.5,NA,5.57,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,8.5,NA,5.26,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,9,NA,5.57,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-12 12:00:00,9,NA,0.31,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-12 12:00:00,9.5,NA,5.6,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,0.5,NA,8.35,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,0.5,NA,8.43,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,0.5,NA,8.44,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,1,NA,8.37,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,1,NA,8.39,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,1,NA,8.45,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,1.5,NA,8.23,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,1.5,NA,8.26,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,1.5,NA,8.43,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,2,NA,8.18,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,2,NA,8.35,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,2,NA,9.34,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,2.5,NA,10.94,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,2.5,NA,10.23,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,2.5,NA,9.9,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,3,NA,11.22,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,3,NA,9.37,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,3,NA,9.23,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,3.5,NA,5.56,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,3.5,NA,4.98,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,3.5,NA,6.01,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,4,NA,4.25,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,4,NA,0.82,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,4,NA,3.88,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,4.5,NA,1.75,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,4.5,NA,0.89,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,4.5,NA,1,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,5,NA,3.03,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,5,NA,4.38,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,5,NA,4.31,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,5.5,NA,5.76,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,5.5,NA,5.8,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,5.5,NA,5.84,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,6,NA,5.87,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,6,NA,5.83,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,6,NA,5.88,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,6.5,NA,5.94,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",40,2013-08-15 12:00:00,6.5,NA,5.82,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,6.5,NA,5.92,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,7,NA,5.96,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,7,NA,5.93,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,7.5,NA,5.94,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,7.5,NA,5.92,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,8,NA,5.94,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,8,NA,5.87,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,8.5,NA,5.93,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,8.5,NA,5.83,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,9,NA,5.89,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",45,2013-08-15 12:00:00,9,NA,5.81,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-08-15 12:00:00,9.5,NA,5.86,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,0,21.9,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,1,22,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,2,22,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,3,22,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,4,22,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,5,22,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,6,18.1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,7,16.1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,8,13.6,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,9,12.1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,10,11.4,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,11,10.4,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,12,10,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"GWR",50,2013-09-17 11:30:00,13,9.8,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,NA
"FCR",50,2013-10-22 12:00:00,0.5,13.5,9.08,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA
"FCR",50,2013-10-22 12:00:00,1,13.4,9.22,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA
"FCR",50,2013-10-22 12:00:00,1.5,13.3,9.26,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA
"FCR",50,2013-10-22 12:00:00,8,12.4,9.24,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA
"FCR",50,2013-10-22 12:00:00,8.5,12.3,9.25,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA
"FCR",50,2013-10-22 12:00:00,9,12.3,9.25,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA
"FCR",50,2013-10-22 12:00:00,9.3,12.3,9.24,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,NA
"FCR",50,2013-11-06 12:00:00,0.5,NA,8.23,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-11-06 12:00:00,1,NA,8.33,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-11-06 12:00:00,8,NA,8.5,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-11-06 12:00:00,8.5,NA,8.5,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-11-06 12:00:00,9,NA,8.37,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2013-11-06 12:00:00,9.3,NA,8.31,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,NA
"FCR",50,2014-03-20 12:00:00,0.8,NA,NA,NA,NA,NA,NA,7.9,1,1,1,1,1,1,0,NA
"FCR",50,2014-03-20 12:00:00,1.6,NA,NA,NA,NA,NA,NA,7.9,1,1,1,1,1,1,0,NA
