Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,100,2013-05-30,0.1,NA,36.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,0.8,NA,34.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,1.6,NA,23.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,2.8,NA,26.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,3.8,NA,32.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,5,NA,27,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,6.2,NA,25.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-05-30,8,NA,30.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,0.1,NA,28.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,0.8,NA,25.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,1.6,NA,41.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,2.8,NA,33.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,3.8,NA,27.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,5,NA,21.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,6.2,NA,32.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-06,8,NA,35.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-13,0.1,NA,21.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-06-13,0.1,NA,35.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-13,1.6,NA,21.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-13,3.8,NA,22.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-13,5,NA,23.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-13,6.2,NA,19.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-13,8,NA,18.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,0.1,NA,36.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,0.8,NA,37.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,1.6,NA,37.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,2.8,NA,39.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,3.8,NA,38.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,5,NA,31.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,6.2,NA,39.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-20,8,NA,38.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-27,0.1,NA,23.2,7,6,3,NA,0,0,0,0,0,0
FCR,100,2013-06-27,0.1,NA,41.4,0,91,15,NA,0,0,3,0,0,0
FCR,50,2013-06-27,0.8,NA,30.3,5,9,4,NA,0,0,0,0,0,0
FCR,50,2013-06-27,1.6,NA,28.8,4,8,4,NA,0,0,0,0,0,0
FCR,50,2013-06-27,2.8,NA,22.4,0,8,3,NA,0,0,3,0,0,0
FCR,50,2013-06-27,3.8,NA,NA,12,20,NA,NA,0,0,0,0,0,0
FCR,50,2013-06-27,5,NA,23.2,33,18,3,NA,0,0,0,0,0,0
