Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,100,2013-10-23,0.1,NA,NA,9,4,9,NA,0,0,0,0,0,0
FCR,50,2013-10-30,0.1,NA,28,20,7,4,NA,0,0,0,0,0,0
FCR,100,2013-10-30,0.1,NA,NA,14,8,16,NA,0,0,0,0,0,0
FCR,50,2013-11-06,0.1,NA,11.2,47,10,4,NA,0,0,0,0,0,0
FCR,100,2013-11-06,0.1,NA,NA,8,11,10,NA,0,0,0,0,0,0
FCR,50,2013-11-20,0.1,NA,NA,32,16,5,NA,0,0,0,0,0,0
FCR,50,2013-12-04,0.1,NA,NA,24,4,4,NA,0,0,0,0,0,0
FCR,50,2014-01-15,0.1,NA,NA,15,16,1,NA,0,0,0,0,0,0
FCR,50,2014-02-24,0.1,NA,NA,28,7,3,NA,0,0,0,0,0,0
FCR,50,2014-03-07,0.1,NA,NA,14,5,3,NA,0,0,0,0,0,0
FCR,50,2014-03-20,0.1,150,21.2,45,3,3,NA,0,0,0,0,0,0
FCR,50,2014-04-01,0.1,147,15.6,10,3,2,NA,0,0,0,0,0,0
FCR,100,2014-04-01,0.1,NA,NA,9,73,7,NA,0,0,0,0,0,0
FCR,50,2014-04-08,0.1,190,16.7,5,1,2,NA,0,0,0,0,0,0
FCR,100,2014-04-08,0.1,NA,NA,10,61,7,NA,0,0,0,0,0,0
FCR,50,2014-04-16,0.1,249,17.6,6,3,2,NA,0,0,0,0,0,0
FCR,100,2014-04-16,0.1,NA,NA,8,46,6,NA,0,0,0,0,0,0
FCR,50,2014-04-21,0.1,143,13.6,16,3,3,1.9,0,0,0,0,0,0
FCR,100,2014-04-21,0.1,NA,NA,10,38,6,1.5,0,0,0,0,0,0
FCR,50,2014-04-23,0.1,128,9.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2014-04-28,0.1,164,13,32,5,3,2.3,0,0,0,0,0,0
FCR,100,2014-04-28,0.1,NA,NA,14,50,9,3.4,0,0,0,0,0,0
FCR,50,2014-05-05,0.1,188,13.7,19,6,3,1.9,0,0,0,0,0,0
FCR,100,2014-05-05,0.1,NA,NA,15,13,2,2,0,0,0,0,0,0
FCR,50,2014-05-12,0.1,157,12.4,4,0,2,1.9,0,0,0,3,0,0
FCR,100,2014-05-12,0.1,NA,NA,5,13,1,2,0,0,0,0,0,0
FCR,50,2014-05-19,0.1,181,11.2,4,2,3,2,0,0,0,0,0,0
FCR,100,2014-05-19,0.1,NA,NA,11,14,4,1.9,0,0,0,0,0,0
FCR,50,2014-05-26,0.1,145,10.8,7,2,5,1.9,0,0,0,0,0,0
FCR,100,2014-05-26,0.1,NA,NA,8,16,4,1.9,0,0,0,0,0,0
FCR,50,2014-06-02,0.1,203,10.9,5,4,4,1.9,0,0,0,0,0,0
FCR,100,2014-06-02,0.1,NA,NA,12,25,5,2.1,0,0,0,0,0,0
FCR,50,2014-06-09,0.1,166,15.3,6,2,5,1.9,0,0,0,0,0,0
FCR,100,2014-06-09,0.1,NA,NA,14,49,10,1.9,0,0,0,0,0,0
FCR,50,2014-06-16,0.1,214.9,14.9,34,3,5,2.2,0,0,0,0,0,0
FCR,100,2014-06-16,0.1,NA,NA,9,36,6,1.9,0,0,0,0,0,0
FCR,50,2014-06-23,0.1,151.6,13.9,9,4,5,2,0,0,0,0,0,0
FCR,100,2014-06-23,0.1,NA,NA,8,29,5,1.8,0,0,0,0,0,0
FCR,50,2014-06-29,0.1,282,23.8,4,0,7,2.3,0,0,0,3,0,0
FCR,100,2014-06-29,0.1,NA,NA,7,26,6,2.1,0,0,0,0,0,0
FCR,50,2014-06-30,0.1,220,18.9,5,1,8,2,0,0,0,0,0,0
FCR,100,2014-06-30,0.1,NA,NA,5,24,8,1.9,0,0,0,0,0,0
FCR,50,2014-07-07,0.1,311,20.2,5,1,8,1.8,0,0,0,0,0,0
FCR,100,2014-07-07,0.1,NA,NA,11,24,8,2,0,0,0,0,0,0
FCR,50,2014-07-14,0.1,224,15.1,5,1,7,2.4,0,0,0,0,0,0
FCR,100,2014-07-14,0.1,NA,NA,13,30,9,2.1,0,0,0,0,0,0
FCR,50,2014-07-21,0.1,139.6,11.1,0,1,13,2.3,0,0,3,0,0,0
FCR,100,2014-07-21,0.1,NA,NA,24,52,5,2.3,0,0,0,0,0,0
FCR,50,2014-07-28,0.1,165.7,13.8,15,2,6,2.4,0,0,0,0,0,0
FCR,100,2014-07-28,0.1,NA,NA,8,34,7,2.1,0,0,0,0,0,0
FCR,50,2014-08-04,0.1,171.8,14.8,2,3,5,2.1,0,0,0,0,0,0
FCR,100,2014-08-04,0.1,NA,NA,14,33,9,2.1,0,0,0,0,0,0
FCR,50,2014-08-11,0.1,153.6,13.2,2,6,4,2.2,0,0,0,0,0,0
FCR,100,2014-08-11,0.1,NA,NA,10,42,8,2.3,0,0,0,0,0,0
FCR,50,2014-08-18,0.1,169.8,12.9,5,4,7,2.4,0,0,0,0,0,0
FCR,100,2014-08-18,0.1,NA,NA,8,30,7,2.1,0,0,0,0,0,0
FCR,50,2014-08-25,0.1,167.7,13,4,6,6,2.4,0,0,0,0,0,0
FCR,100,2014-08-25,0.1,NA,NA,14,33,8,2.1,0,0,0,0,0,0
FCR,50,2014-09-03,0.1,162.7,13,4,3,6,2.1,0,0,0,0,0,0
FCR,100,2014-09-03,0.1,NA,NA,13,74,12,1.8,0,0,0,0,0,0
FCR,50,2014-09-08,0.1,189,20.5,4,2,6,2.6,0,0,0,0,0,0
FCR,100,2014-09-08,0.1,NA,NA,19,88,4,2.2,0,0,0,0,0,0
FCR,50,2014-09-15,0.1,165,20.4,4,1,3,2.6,0,0,0,0,0,0
FCR,100,2014-09-15,0.1,NA,NA,33,62,5,2,0,0,0,0,0,0
FCR,50,2014-09-22,0.1,213,14.9,4,1,6,2.2,0,0,0,0,0,0
FCR,100,2014-09-22,0.1,NA,NA,12,NA,9,1.9,0,0,0,0,0,0
FCR,50,2014-09-29,0.1,193,15.5,3,1,6,2.4,0,0,0,0,0,0
FCR,100,2014-09-29,0.1,NA,NA,8,84,13,1.7,0,0,0,0,0,0
FCR,50,2014-10-06,0.1,203,14.9,8,NA,5,2.6,0,0,0,0,0,0
FCR,100,2014-10-06,0.1,NA,NA,8,57,6,1.8,0,0,0,0,0,0
FCR,50,2014-10-15,0.1,215,15.7,5,0,4,2.7,0,0,0,3,0,0
FCR,100,2014-10-15,0.1,NA,NA,7,4,5,3.3,0,0,0,0,0,0
FCR,50,2014-10-23,0.1,218,10,3,6,4,2.1,0,0,0,0,0,0
FCR,100,2014-10-23,0.1,NA,NA,3,0,7,1.7,0,0,0,3,0,0
FCR,50,2014-11-10,0.1,197,22.2,3,2,4,2.4,0,0,0,0,0,0
