Reservoir,Site,Date,Depth_m,Elevation,Temp_C,pH,Fe_mgL,Mn_mgL,DO_mgL,Turbidity,Color,Algae_cellsmL
FCR,50,23-Jan-13,0,1663,2.8,6.77,0.5,0.021,11.74,2.14,37,352000
FCR,50,23-Jan-13,1.524,1658,2.8,6.7,0.51,0.021,12.1,2.26,38,363000
FCR,50,23-Jan-13,3.6576,1651,3,6.57,0.52,0.022,11.92,2.19,40,330000
FCR,50,23-Jan-13,6.096,1643,3.3,6.42,0.53,0.021,11.99,2.15,36,396000
FCR,50,21-Feb-13,0,1663,2.8,6.58,0.52,0.038,11.5,3.82,55,198000
FCR,50,21-Feb-13,1.524,1658,2.7,6.7,0.54,0.024,11.17,3.76,53,693000
FCR,50,21-Feb-13,3.6576,1651,2.6,6.8,0.54,0.03,11.19,3.73,55,495000
FCR,50,21-Feb-13,6.096,1643,3.1,6.8,0.59,0.035,10.8,4.21,55,660000
FCR,50,7-Mar-13,0,1663,3.3,6.9,0.49,0.01,11.16,2.84,24,407000
FCR,50,7-Mar-13,1.524,1658,3.4,7,0.48,0.01,11.13,2.72,26,407000
FCR,50,7-Mar-13,3.6576,1651,3.6,7.05,0.54,0.01,11.04,2.79,62,561000
FCR,50,7-Mar-13,6.096,1643,4.7,7.06,1.04,0.01,10.59,4.39,58,605000
FCR,50,21-Mar-13,0,1663,4.9,7.3,0.5,0.02,9.54,2.39,43,616000
FCR,50,21-Mar-13,1.524,1658,5.6,7.3,0.49,0.02,9.69,2.41,41,517000
FCR,50,21-Mar-13,3.6576,1651,6.4,7.3,0.51,0.03,9.67,2.46,40,451000
FCR,50,21-Mar-13,6.096,1643,6.5,7.4,0.55,0.02,9.14,2.53,55,451000
FCR,50,4-Apr-13,0,1663,8.3,7.3,0.47,0.004,11.7,1.73,37,550000
FCR,50,4-Apr-13,1.524,1658,7.9,7.2,0.48,0.01,11.4,1.77,39,506000
FCR,50,4-Apr-13,3.6576,1651,6.6,7.3,0.44,0,11.5,1.95,40,396000
FCR,50,4-Apr-13,6.096,1643,6.3,6.6,0.46,0.002,11,1.95,39,363000
FCR,50,11-Apr-13,0,1663,12.4,6.85,0.38,0.015,9.53,1.42,15,407000
FCR,50,11-Apr-13,1.524,1658,9.9,6.86,0.36,0.019,9.58,1.41,12,561000
FCR,50,11-Apr-13,3.6576,1651,8.1,6.84,0.37,0.018,9.7,1.43,15,363000
FCR,50,11-Apr-13,6.096,1643,7.5,6.86,0.32,0.011,9.5,1.45,20,462000
FCR,50,18-Apr-13,0,1663,17.1,7.15,0.47,0.029,8.03,1.54,28,341000
FCR,50,18-Apr-13,1.524,1658,10.9,7.18,0.35,0.016,9.86,1.37,22,737000
FCR,50,18-Apr-13,3.6576,1651,8.2,7.23,0.32,0.014,9.42,1.24,25,605000
FCR,50,18-Apr-13,6.096,1643,7.7,7.19,0.34,0.019,8.74,1.28,29,660000
FCR,50,25-Apr-13,0,1663,15.8,6.8,0.51,0.021,8.84,1.3,59,803000
FCR,50,25-Apr-13,1.524,1658,13.8,6.63,0.41,0.02,9.57,1.31,34,682000
FCR,50,25-Apr-13,3.6576,1651,9.4,6.4,0.36,0.019,9.99,1.46,31,792000
FCR,50,25-Apr-13,6.096,1643,7.7,6.3,0.38,0.025,8.8,1.48,31,638000
FCR,50,2-May-13,0,1663,17.9,6.3,0.45,0.021,8.21,1.41,32,704000
FCR,50,2-May-13,1.524,1658,15.6,6.6,0.46,0.019,8.1,1.29,34,1100000
FCR,50,2-May-13,3.6576,1651,11.3,6.6,0.27,0.018,8.48,0.747,27,715000
FCR,50,2-May-13,6.096,1643,8.9,6.6,0.38,0.045,7.02,1.18,30,484000
FCR,50,9-May-13,0,1663,16.2,6.9,0.64,0.019,8.17,2.24,50,231000
FCR,50,9-May-13,1.524,1658,15.1,6.9,0.67,0.031,7.89,4.03,68,198000
