,Chla_sqrt,Chla_ARlag1_sqrt,mean_flow,flow_max,flow_min,flow_median,LongWave_max,LongWave_mean,LongWave_median,RelHum_mean,RelHum_median,ShortWave_max,ShortWave_mean,ShortWave_median,WindSpeed_max_log,WindSpeed_mean_log,WindSpeed_median_log,Rain_sum_log,AirTemp_max_log,AirTemp_mean_log,AirTemp_median_log,RelHum_max_log
Chla_sqrt,1,NA,-0.113729023,-0.092764625,-0.113597448,-0.118312644,0.131113569,0.15795455,0.153846406,0.290199247,0.279826536,-0.131395009,-0.14754036,-0.026260512,-0.11257749,-0.09436559,-0.052546925,0.160357604,0.050234457,0.077784299,0.072702419,0.201140937
Chla_ARlag1_sqrt,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mean_flow,-0.113729023,NA,1,0.974672308,0.972748778,0.992529784,-0.519709561,-0.5200375,-0.492284162,-0.295268904,-0.307750528,-0.170282377,-0.181128757,-0.282086532,0.297228278,0.293297958,0.268552597,0.101627515,-0.584419209,-0.607141357,-0.59310718,-0.304174338
flow_max,-0.092764625,NA,0.974672308,1,0.918597924,0.952298755,-0.454187207,-0.446217731,-0.418665841,-0.217047121,-0.230674322,-0.194806284,-0.208599349,-0.262350633,0.297180683,0.286596545,0.261236942,0.218170076,-0.559165365,-0.572233633,-0.558516624,-0.252535421
flow_min,-0.113597448,NA,0.972748778,0.918597924,1,0.983947552,-0.546229237,-0.555324807,-0.529949342,-0.339093231,-0.347553783,-0.133895383,-0.146326705,-0.281318562,0.267076075,0.263301438,0.241096232,0.01410279,-0.580747398,-0.613421585,-0.602156367,-0.320360767
flow_median,-0.118312644,NA,0.992529784,0.952298755,0.983947552,1,-0.53424936,-0.540027022,-0.513179205,-0.32230988,-0.331935967,-0.144049476,-0.154298645,-0.277426382,0.289944757,0.287336372,0.263790398,0.052900647,-0.580329874,-0.607630082,-0.595006974,-0.314488525
LongWave_max,0.131113569,NA,-0.519709561,-0.454187207,-0.546229237,-0.53424936,1,0.947045544,0.929063569,0.524400139,0.513034333,0.286986294,0.284640279,0.715744018,-0.27736459,-0.333355521,-0.345516863,0.264223954,0.812487935,0.883465584,0.885810523,0.465928206
LongWave_mean,0.15795455,NA,-0.5200375,-0.446217731,-0.555324807,-0.540027022,0.947045544,1,0.98933048,0.648083705,0.623869461,0.136430353,0.150108188,0.663092932,-0.33661712,-0.396909231,-0.406116964,0.332317706,0.741699755,0.841674385,0.847619598,0.489919376
LongWave_median,0.153846406,NA,-0.492284162,-0.418665841,-0.529949342,-0.513179205,0.929063569,0.98933048,1,0.657857235,0.634600285,0.109354064,0.122188144,0.646669524,-0.323958555,-0.390876399,-0.399787599,0.354335141,0.713775945,0.815824481,0.824293347,0.4921456
RelHum_mean,0.290199247,NA,-0.295268904,-0.217047121,-0.339093231,-0.32230988,0.524400139,0.648083705,0.657857235,1,0.962070203,-0.387752085,-0.390960043,0.123371316,-0.438114362,-0.508644695,-0.500274853,0.570402468,0.218766002,0.295691438,0.298589882,0.71594778
RelHum_median,0.279826536,NA,-0.307750528,-0.230674322,-0.347553783,-0.331935967,0.513034333,0.623869461,0.634600285,0.962070203,1,-0.325333645,-0.326033137,0.139929817,-0.430417133,-0.499304375,-0.484233771,0.54053791,0.258802999,0.314782388,0.305114949,0.692057752
ShortWave_max,-0.131395009,NA,-0.170282377,-0.194806284,-0.133895383,-0.144049476,0.286986294,0.136430353,0.109354064,-0.387752085,-0.325333645,1,0.965945287,0.66722378,0.117754398,0.111915699,0.085332069,-0.371644769,0.578240286,0.512681454,0.493711698,-0.129833528
ShortWave_mean,-0.14754036,NA,-0.181128757,-0.208599349,-0.146326705,-0.154298645,0.284640279,0.150108188,0.122188144,-0.390960043,-0.326033137,0.965945287,1,0.701159669,0.09382531,0.101281758,0.079032498,-0.391413254,0.598194567,0.535768099,0.519482723,-0.133887731
ShortWave_median,-0.026260512,NA,-0.282086532,-0.262350633,-0.281318562,-0.277426382,0.715744018,0.663092932,0.646669524,0.123371316,0.139929817,0.66722378,0.701159669,1,-0.137436261,-0.188776901,-0.210400672,-0.012588711,0.745801783,0.771305556,0.769228191,0.153240797
WindSpeed_max_log,-0.11257749,NA,0.297228278,0.297180683,0.267076075,0.289944757,-0.27736459,-0.33661712,-0.323958555,-0.438114362,-0.430417133,0.117754398,0.09382531,-0.137436261,1,0.887312587,0.783619784,-0.023719616,-0.167351821,-0.182491243,-0.183948227,-0.298421014
WindSpeed_mean_log,-0.09436559,NA,0.293297958,0.286596545,0.263301438,0.287336372,-0.333355521,-0.396909231,-0.390876399,-0.508644695,-0.499304375,0.111915699,0.101281758,-0.188776901,0.887312587,1,0.958330066,-0.088496794,-0.181221109,-0.210661129,-0.21361538,-0.356218389
WindSpeed_median_log,-0.052546925,NA,0.268552597,0.261236942,0.241096232,0.263790398,-0.345516863,-0.406116964,-0.399787599,-0.500274853,-0.484233771,0.085332069,0.079032498,-0.210400672,0.783619784,0.958330066,1,-0.101264532,-0.193512589,-0.226673646,-0.231328453,-0.360946409
Rain_sum_log,0.160357604,NA,0.101627515,0.218170076,0.01410279,0.052900647,0.264223954,0.332317706,0.354335141,0.570402468,0.54053791,-0.371644769,-0.391413254,-0.012588711,-0.023719616,-0.088496794,-0.101264532,1,-0.079465468,-0.022268147,-0.016276125,0.360687908
AirTemp_max_log,0.050234457,NA,-0.584419209,-0.559165365,-0.580747398,-0.580329874,0.812487935,0.741699755,0.713775945,0.218766002,0.258802999,0.578240286,0.598194567,0.745801783,-0.167351821,-0.181221109,-0.193512589,-0.079465468,1,0.959440994,0.943061524,0.366298553
AirTemp_mean_log,0.077784299,NA,-0.607141357,-0.572233633,-0.613421585,-0.607630082,0.883465584,0.841674385,0.815824481,0.295691438,0.314782388,0.512681454,0.535768099,0.771305556,-0.182491243,-0.210661129,-0.226673646,-0.022268147,0.959440994,1,0.992685339,0.37286191
AirTemp_median_log,0.072702419,NA,-0.59310718,-0.558516624,-0.602156367,-0.595006974,0.885810523,0.847619598,0.824293347,0.298589882,0.305114949,0.493711698,0.519482723,0.769228191,-0.183948227,-0.21361538,-0.231328453,-0.016276125,0.943061524,0.992685339,1,0.363205859
RelHum_max_log,0.201140937,NA,-0.304174338,-0.252535421,-0.320360767,-0.314488525,0.465928206,0.489919376,0.4921456,0.71594778,0.692057752,-0.129833528,-0.133887731,0.153240797,-0.298421014,-0.356218389,-0.360946409,0.360687908,0.366298553,0.37286191,0.363205859,1
