"Date","Site","Depth","Temp_C","DO_mgL","Chla_ugL","Turb_NTU","SpCond_uScm","TP_ugL","TN_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","TP_inf","TN_inf","NH4_inf","NO3NO2_inf","SRP_inf","DOC_inf","Total_chlorophyll","Green_algae","Cyanobacteria","Diatoms","Cryptophyta","Kd","TN_TP","NH4NO3NO2_SRP","TN_TP_inf","NH4NO3_SRP_inf","mean_flow","TN_load","TP_load","NH4_load","NO3NO2_load","SRP_load","DOC_load","mean_wrt","Temp_inf_mean","Temp_inf_max","Temp_inf_min","flow_max","flow_min","flow_median","AirTemp_max","AirTemp_mean","AirTemp_median","Rain_sum","RelHum_max","RelHum_mean","RelHum_median","ShortWave_max","ShortWave_mean","WindSpeed_max","WindSpeed_mean","WindSpeed_median","week_julian","week_series","week_cum"
"2013-07-11",50,0.1,23.1061,6.2311,5.0782,8.9345,35.11698179,55.5,NA,25,18,4,NA,48.8,NA,11,31,10,NA,NA,NA,NA,NA,NA,NA,NA,10.75,NA,4.2,0.0747558500953102,NA,3.64808548465114,0.822314351048412,2.31743135295462,0.747558500953102,NA,53.3388848173592,17.1228125,17.56,16.75,0.125380572940542,0.044134314983274,0.0676108175379501,30.64000854,25.9333371466667,25.750024415,0.123009605,96.12041655,77.23770819625,77.142957475,676.9619751,243.949708784583,3.084152972,1.99759459929167,1.9443346485,27,11,11
"2013-07-18",50,0.1,26.7469,6.842,3.1779,4.5873,36.98504767,30.9,NA,18.5,13.5,5,NA,43.26666667,NA,12,44.5,11,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,5.13636363636364,0.0250351390066214,NA,1.0831870144366,0.300421668079456,1.11406368579465,0.275386529072835,NA,143.593579858126,18.5863541666667,19.5,17.94,0.0270527854571274,0.0221628338211657,0.025057933003273,33.41002808,28.84916712375,28.96000061,0,85.2877169,69.9011176995833,72.57304833,835.1530151,272.598583383333,3.434603248,2.16714293791667,2.056566813,28,12,12
"2013-07-29",50,0.1,24.4282,5.62939,2.7177,1.9017,37.71748094,23.9,NA,3,6,3,NA,52.6,NA,0,66,13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5.07692307692308,0.0152442887729504,NA,0.80184958945719,0,1.00612305901473,0.198175754048355,NA,236.559891286558,17.2863541666667,18.25,16.38,0.0176092023684709,0.0134188559116226,0.0154666693585698,27.45998535,21.9908411666667,21.53998718,0,82.19823805,61.9102367495833,59.57990367,925.375,325.63183435375,3.766496974,2.524734221375,2.526815392,29,13,13
"2013-08-01",50,0.1,23.2921,7.1313,2.9517,1.3478,37.68700257,51,NA,5,4,4,NA,79.3,NA,7,56,13,NA,NA,NA,NA,NA,NA,NA,NA,2.25,NA,4.84615384615385,0.0148626738978324,NA,1.17861004009811,0.104038717284827,0.832309738278617,0.193214760671822,NA,242.593358584211,17.3035416666667,18.44,16.5,0.0176092023684709,0.0122375191991045,0.0150493911148339,28.32000122,23.12791976875,22.71000061,0.163103998,93.78403044,77.9518457216667,76.294312695,735.0050049,249.102454660833,3.83328843,2.68383685891667,2.6722776065,30,14,14
"2013-08-12",50,0.1,27.0352,5.39555,0.7737,1.566,38.24642281,23.5,NA,7,4,3,NA,36.6,NA,7,59.14285714,15.14285714,NA,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,NA,4.36792452893734,0.0139445474240279,NA,0.510370435719422,0.0976118319681955,0.824720376181239,0.21116028952401,NA,259.937637700969,19.0270833333333,19.94,18.38,0.0158877345258808,0.0110930403721039,0.014226335107487,31.33001099,25.4737525945833,25.635003665,0.0327456,98.14660748,75.7985593745833,76.30922393,864.3889771,284.343541269292,4.080061261,2.57742226075,2.6825120615,31,15,15
"2013-08-18",50,0.1,25.93753333,6.30392,1.296066667,1.297433333,38.70419208,19.8,NA,6.833333333,4.333333333,3.166666667,NA,37.3,NA,7,52.28571429,14.28571429,NA,NA,NA,NA,NA,NA,NA,NA,3.52631578889197,NA,4.149999999055,0.019876396639082,NA,0.741389594637757,0.139134776473574,1.03925159578576,0.283948523500641,NA,191.807470885043,16.0686458333333,16.38,15.81,0.0349718552355526,0.014226335107487,0.0173912603821465,21.85,19.2333402,19.080026245,0.0575016,100,96.3179352791667,96.508595015,313.4570007,90.912541621375,3.826277639,2.37145837725,2.1380737185,32,16,16
"2013-08-23",50,0.1,24.83986667,7.21229,1.818433333,1.028866667,39.16196135,16.1,NA,6.666666667,4.666666667,3.333333333,NA,38,NA,7,45.42857143,13.42857143,NA,NA,NA,NA,NA,NA,NA,NA,3.40000000054,NA,3.90425531883997,0.0101779850331711,NA,0.386763431260501,0.0712458952321976,0.462371320092883,0.136675799031409,NA,354.476198300863,18.065,18.88,17.38,0.013820629671959,0.00857307141360553,0.00998664707111392,25.68999634,23.20959116625,23.35,0.0282432,89.03938188,79.2641425454167,80.63503467,497.5960083,165.465293727083,3.224903147,2.72983970725,2.912357271,33,17,17
"2013-08-28",50,0.1,23.7422,8.12066,2.3408,0.7603,39.61973062,27.1,NA,6.5,5,3.5,NA,38.7,NA,7,38.57142857,12.57142857,NA,NA,NA,NA,NA,NA,NA,NA,3.28571428571429,NA,3.6250000002983,0.00949447180293456,NA,0.367436058773567,0.0664613026205419,0.366215340956769,0.119359074080471,NA,382.301261993008,18.3145833333333,18.75,18,0.0146359344793006,0.00789371076278085,0.00927087523964406,28.1,23.8958386733333,23.689996335,0.039888001,90.30440158,81.87332128875,81.976878155,443.4899902,142.563081065,4.980000019,4.08178445966667,4.1380235125,34,18,18
"2013-09-06",50,0.1,22.6039,8.020406667,2.3183,0.7603,40.1559606,24.5,NA,6.333333333,5.333333333,3.666666667,NA,39.4,NA,7,31.71428571,11.71428571,NA,NA,NA,NA,NA,NA,NA,NA,3.18181818134711,NA,3.30487804962374,0.00622312402143811,NA,0.245191086444661,0.0435618681500668,0.197361933224652,0.0728994527958902,NA,582.997124621432,17.1275,17.94,16.19,0.00756110585621849,0.00479334413034044,0.00627949197825056,25.77001343,21.0416758220833,20.35999451,0,80.46589676,68.3904118916667,71.89384174,652.5369873,204.592458989625,4.043080614,3.10321279554167,3.27332408,35,19,19
"2013-09-13",50,0.1,21.4656,7.920153333,2.2958,0.7603,40.69219059,36,NA,6.166666667,5.666666667,3.833333333,NA,40.1,NA,7,24.85714286,10.85714286,NA,NA,NA,NA,NA,NA,NA,NA,3.08695652218147,NA,2.93421052580679,0.0211107228021231,NA,0.846539984365137,0.147775059614862,0.524752252570234,0.22920213334051,NA,170.31553251031,19.1359375,20.13,17.56,0.0245672288112431,0.0189384961013892,0.0212244267122472,25.2300354,20.3316703795833,19.815026855,0,91.24310558,67.5525143066667,65.439954255,795.9719849,236.597081820833,8.25378701,5.06191522141667,4.116777757,36,20,20
