"Date","Depth","TPinf_interp"
2013-07-22,9.3,51.5333333333333
2013-07-25,0.1,59.8
2013-07-25,1,59.8
2013-07-25,1.6,59.8
2013-07-25,2.8,59.8
2013-07-25,3.8,59.8
2013-07-25,5,59.8
2013-07-25,5.2,59.8
2013-07-25,5.5,59.8
2013-07-25,5.8,59.8
2013-07-25,6,59.8
2013-07-25,6.2,59.8
2013-07-25,8,59.8
2013-07-25,9,59.8
2013-07-25,9.3,59.8
2013-07-29,0.1,52.6
2013-07-29,1,52.6
2013-07-29,1.6,52.6
2013-07-29,2.8,52.6
2013-07-29,3.8,52.6
2013-07-29,5,52.6
2013-07-29,5.2,52.6
2013-07-29,5.5,52.6
2013-07-29,5.8,52.6
2013-07-29,6,52.6
2013-07-29,6.2,52.6
2013-07-29,8,52.6
2013-07-29,9,52.6
2013-07-29,9.3,52.6
2013-08-01,0.1,79.3
2013-08-01,1,79.3
2013-08-01,1.6,79.3
2013-08-01,2.8,79.3
2013-08-01,3.8,79.3
2013-08-01,5,79.3
2013-08-01,5.2,79.3
2013-08-01,5.5,79.3
2013-08-01,5.8,79.3
2013-08-01,6,79.3
2013-08-01,6.2,79.3
2013-08-01,8,79.3
2013-08-01,9,79.3
2013-08-01,9.3,79.3
2013-08-08,0.1,61.7
2013-08-08,1,61.7
2013-08-08,1.6,61.7
2013-08-08,2.8,61.7
2013-08-08,3.8,61.7
2013-08-08,5,61.7
2013-08-08,5.2,61.7
2013-08-08,5.5,61.7
2013-08-08,5.8,61.7
2013-08-08,6,61.7
2013-08-08,6.2,61.7
2013-08-08,8,61.7
2013-08-08,9,61.7
2013-08-08,9.3,61.7
2013-08-12,0.1,36.6
2013-08-12,1,36.6
2013-08-12,1.6,36.6
2013-08-12,2.8,36.6
2013-08-12,3.8,36.6
2013-08-12,5,36.6
2013-08-12,5.2,36.6
2013-08-12,5.5,36.6
2013-08-12,5.8,36.6
2013-08-12,6,36.6
2013-08-12,6.2,36.6
2013-08-12,8,36.6
2013-08-12,9,36.6
2013-08-12,9.3,36.6
2013-08-18,0.1,37.3
2013-08-18,1,37.3
2013-08-18,1.6,37.3
2013-08-18,2.8,37.3
2013-08-18,3.8,37.3
2013-08-18,5,37.3
2013-08-18,5.2,37.3
2013-08-18,5.5,37.3
2013-08-18,5.8,37.3
2013-08-18,6,37.3
2013-08-18,6.2,37.3
2013-08-18,8,37.3
2013-08-18,9,37.3
2013-08-18,9.3,37.3
2013-08-23,0.1,38
2013-08-23,1,38
2013-08-23,1.6,38
2013-08-23,2.8,38
2013-08-23,3.8,38
2013-08-23,5,38
2013-08-23,5.2,38
2013-08-23,5.5,38
2013-08-23,5.8,38
2013-08-23,6,38
2013-08-23,6.2,38
2013-08-23,8,38
2013-08-23,9,38
2013-08-23,9.3,38
2013-08-28,0.1,38.7
2013-08-28,1,38.7
2013-08-28,1.6,38.7
2013-08-28,2.8,38.7
2013-08-28,3.8,38.7
2013-08-28,5,38.7
2013-08-28,5.2,38.7
2013-08-28,5.5,38.7
2013-08-28,5.8,38.7
2013-08-28,6,38.7
2013-08-28,6.2,38.7
2013-08-28,8,38.7
2013-08-28,9,38.7
2013-08-28,9.3,38.7
2013-09-06,0.1,39.4
2013-09-06,1,39.4
2013-09-06,1.6,39.4
2013-09-06,2.8,39.4
2013-09-06,3.8,39.4
2013-09-06,5,39.4
2013-09-06,5.2,39.4
2013-09-06,5.5,39.4
2013-09-06,5.8,39.4
2013-09-06,6,39.4
2013-09-06,6.2,39.4
2013-09-06,8,39.4
2013-09-06,9,39.4
2013-09-06,9.3,39.4
2013-09-13,0.1,40.1
2013-09-13,1,40.1
2013-09-13,1.6,40.1
2013-09-13,2.8,40.1
2013-09-13,3.8,40.1
2013-09-13,5,40.1
2013-09-13,5.2,40.1
2013-09-13,5.5,40.1
2013-09-13,5.8,40.1
2013-09-13,6,40.1
2013-09-13,6.2,40.1
2013-09-13,8,40.1
2013-09-13,9,40.1
2013-09-13,9.3,40.1
2013-09-18,0.1,40.8
2013-09-18,1,40.8
2013-09-18,1.6,40.8
2013-09-18,2.8,40.8
2013-09-18,3.8,40.8
2013-09-18,5,40.8
2013-09-18,5.2,40.8
2013-09-18,5.5,40.8
2013-09-18,5.8,40.8
2013-09-18,6,40.8
2013-09-18,6.2,40.8
2013-09-18,8,40.8
2013-09-18,9,40.8
2013-09-18,9.3,40.8
2013-09-25,0.1,46.7
2013-09-25,1,46.7
2013-09-25,1.6,46.7
2013-09-25,2.8,46.7
2013-09-25,3.8,46.7
2013-09-25,5,46.7
2013-09-25,5.2,46.7
2013-09-25,5.5,46.7
2013-09-25,5.8,46.7
2013-09-25,6,46.7
2013-09-25,6.2,46.7
2013-09-25,8,46.7
2013-09-25,9,46.7
2013-09-25,9.3,46.7
2013-10-04,0.1,NA
2013-10-04,1,NA
2013-10-04,1.6,NA
2013-10-04,2.8,NA
2013-10-04,3.8,NA
2013-10-04,5,NA
2013-10-04,5.2,NA
2013-10-04,5.5,NA
2013-10-04,5.8,NA
2013-10-04,6,NA
2013-10-04,6.2,NA
2013-10-04,8,NA
2013-10-04,9,NA
2013-10-04,9.3,NA
2013-10-11,0.1,NA
2013-10-11,1,NA
2013-10-11,1.6,NA
2013-10-11,2.8,NA
2013-10-11,3.8,NA
2013-10-11,5,NA
2013-10-11,5.2,NA
2013-10-11,5.5,NA
2013-10-11,5.8,NA
2013-10-11,6,NA
2013-10-11,6.2,NA
2013-10-11,8,NA
2013-10-11,9,NA
2013-10-11,9.3,NA
2013-10-16,0.1,NA
2013-10-16,1,NA
2013-10-16,1.6,NA
2013-10-16,2.8,NA
2013-10-16,3.8,NA
2013-10-16,5,NA
2013-10-16,5.2,NA
2013-10-16,5.5,NA
2013-10-16,5.8,NA
2013-10-16,6,NA
2013-10-16,6.2,NA
2013-10-16,8,NA
2013-10-16,9,NA
2013-10-16,9.3,NA
2013-10-23,0.1,NA
2013-10-23,1,NA
2013-10-23,1.6,NA
2013-10-23,2.8,NA
2013-10-23,3.8,NA
2013-10-23,5,NA
2013-10-23,5.2,NA
2013-10-23,5.5,NA
2013-10-23,5.8,NA
