FlowmeterSensorID,Date,Site,Width,WidthInterval_m,Depth_cm,Velocity,Velocity_unit,Depth_m,Velocity_m/s,Discharge,Notes
Model FP III,2019-03-18,WET,0.1,0.1,0,0,ft_s,,,,
Model FP III,2019-03-18,WET,0.2,0.1,2.5,0,ft_s,,,,
Model FP III,2019-03-18,WET,0.3,0.1,3,0,ft_s,,,,
Model FP III,2019-03-18,WET,0.4,0.1,6.5,0,ft_s,,,,
Model FP III,2019-03-18,WET,0.5,0.1,11,0,ft_s,,,,
Model FP III,2019-03-18,WET,0.6,0.1,16,0.2,ft_s,,,,
Model FP III,2019-03-18,WET,0.7,0.1,15,0.2,ft_s,,,,
Model FP III,2019-03-18,WET,0.8,0.1,14,0.4,ft_s,,,,
Model FP III,2019-03-18,WET,0.9,0.1,16,0.4,ft_s,,,,
Model FP III,2019-03-18,WET,1,0.1,14,0.4,ft_s,,,,
Model FP III,2019-03-18,WET,1.1,0.1,14,0.4,ft_s,,,,
Model FP III,2019-03-18,WET,1.2,0.1,11,0.6,ft_s,,,,
Model FP III,2019-03-18,WET,1.3,0.1,12,0.6,ft_s,,,,
Model FP III,2019-03-18,WET,1.4,0.1,13,0.8,ft_s,,,,
Model FP III,2019-03-18,WET,1.5,0.1,18,0.6,ft_s,,,,
Model FP III,2019-03-18,WET,1.6,0.1,22,0.9,ft_s,,,,
Model FP III,2019-03-18,WET,1.7,0.1,23,0.9,ft_s,,,,
Model FP III,2019-03-18,WET,1.8,0.1,24,0.2,ft_s,,,,
Model FP III,2019-03-18,WET,1.9,0.1,24,0,ft_s,,,,
Model FP III,2019-03-18,WET,2,0.1,0,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.1,0.1,0,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.2,0.1,3,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.3,0.1,8,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.4,0.1,10,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.5,0.1,14,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.6,0.1,17,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.7,0.1,18,0,ft_s,,,,
Model FP III,2019-04-01,WET,0.8,0.1,16,0.2,ft_s,,,,
Model FP III,2019-04-01,WET,0.9,0.1,12,0.4,ft_s,,,,
Model FP III,2019-04-01,WET,1,0.1,10,0.4,ft_s,,,,
Model FP III,2019-04-01,WET,1.1,0.1,11,0.4,ft_s,,,,
Model FP III,2019-04-01,WET,1.2,0.1,13,0.4,ft_s,,,,
Model FP III,2019-04-01,WET,1.3,0.1,12,0.6,ft_s,,,,
Model FP III,2019-04-01,WET,1.4,0.1,12,0.4,ft_s,,,,
Model FP III,2019-04-01,WET,1.5,0.1,13,0.4,ft_s,,,,
Model FP III,2019-04-01,WET,1.6,0.1,16,0.6,ft_s,,,,
Model FP III,2019-04-01,WET,1.7,0.1,19,0.8,ft_s,,,,
Model FP III,2019-04-01,WET,1.8,0.1,20,0.8,ft_s,,,,
Model FP III,2019-04-01,WET,1.9,0.1,23,0,ft_s,,,,
Model FP III,2019-04-01,WET,2,0.1,6,0,ft_s,,,,
Model FP III,2019-04-15,WET,0,0.1,0,0,ft_s,,,,
Model FP III,2019-04-15,WET,0.1,0.1,4,0,ft_s,,,,
Model FP III,2019-04-15,WET,0.2,0.1,7,0,ft_s,,,,
Model FP III,2019-04-15,WET,0.3,0.1,8,0,ft_s,,,,
Model FP III,2019-04-15,WET,0.4,0.1,7,0,ft_s,,,,
Model FP III,2019-04-15,WET,0.5,0.1,9,0,ft_s,,,,
Model FP III,2019-04-15,WET,0.6,0.1,11,0,ft_s,,,,
Model FP III,2019-04-15,WET,0.7,0.1,15,0.2,ft_s,,,,
Model FP III,2019-04-15,WET,0.8,0.1,17,0.4,ft_s,,,,
Model FP III,2019-04-15,WET,0.9,0.1,18,0.9,ft_s,,,,
Model FP III,2019-04-15,WET,1,0.1,24,1.3,ft_s,,,,
Model FP III,2019-04-15,WET,1.1,0.1,24,1.1,ft_s,,,,
Model FP III,2019-04-15,WET,1.2,0.1,25,0.9,ft_s,,,,
Model FP III,2019-04-15,WET,1.3,0.1,27,1.5,ft_s,,,,
Model FP III,2019-04-15,WET,1.4,0.1,31,1.5,ft_s,,,,
Model FP III,2019-04-15,WET,1.5,0.1,33,1.7,ft_s,,,,
Model FP III,2019-04-15,WET,1.6,0.1,36,1.1,ft_s,,,,
Model FP III,2019-04-15,WET,1.7,0.1,39,1.7,ft_s,,,,
Model FP III,2019-04-15,WET,1.8,0.1,40,1.7,ft_s,,,,
Model FP III,2019-04-15,WET,1.9,0.1,35,1.5,ft_s,,,,
Model FP III,2019-04-15,WET,2,0.1,32,0.4,ft_s,,,,
Model FP III,2019-04-15,WET,2.1,0.1,21,1.3,ft_s,,,,
Model FP III,2019-04-15,WET,2.2,0.1,0,0,ft_s,,,,
Model FP III,2019-04-22,WET,0,0.1,1,0,ft_s,,,,
Model FP III,2019-04-22,WET,0.1,0.1,4.5,0,ft_s,,,,
Model FP III,2019-04-22,WET,0.2,0.1,4,0,ft_s,,,,
Model FP III,2019-04-22,WET,0.3,0.1,5.5,0,ft_s,,,,
Model FP III,2019-04-22,WET,0.4,0.1,7,0.2,ft_s,,,,
Model FP III,2019-04-22,WET,0.5,0.1,9.5,0,ft_s,,,,
Model FP III,2019-04-22,WET,0.6,0.1,15.7,0.2,ft_s,,,,
Model FP III,2019-04-22,WET,0.7,0.1,13,0.4,ft_s,,,,
Model FP III,2019-04-22,WET,0.8,0.1,15.2,0.6,ft_s,,,,
Model FP III,2019-04-22,WET,0.9,0.1,15.4,0.8,ft_s,,,,
Model FP III,2019-04-22,WET,1,0.1,15,0.9,ft_s,,,,
Model FP III,2019-04-22,WET,1.1,0.1,16,0.9,ft_s,,,,
Model FP III,2019-04-22,WET,1.2,0.1,16,0.9,ft_s,,,,
Model FP III,2019-04-22,WET,1.3,0.1,15.5,0.8,ft_s,,,,
Model FP III,2019-04-22,WET,1.4,0.1,16.3,1.3,ft_s,,,,
Model FP III,2019-04-22,WET,1.5,0.1,15.7,1.1,ft_s,,,,
Model FP III,2019-04-22,WET,1.6,0.1,19,1.3,ft_s,,,,
Model FP III,2019-04-22,WET,1.7,0.1,23,1.5,ft_s,,,,
Model FP III,2019-04-22,WET,1.8,0.1,25,1.3,ft_s,,,,
Model FP III,2019-04-22,WET,1.9,0.1,25.3,0.9,ft_s,,,,
Model FP III,2019-04-22,WET,2,0.1,23.9,0.4,ft_s,,,,
Model FP III,2019-04-22,WET,2.1,0.1,17.8,0.2,ft_s,,,,
Model FP III,2019-04-22,WET,2.2,0.1,4.5,0,ft_s,,,,
Model FP III,2019-04-22,WET,2.3,0.1,1,0,ft_s,,,,
Model FP III,2019-04-29,F200,0,0.1,0,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.1,0.1,2.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.2,0.1,5.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.3,0.1,6,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.4,0.1,9,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.5,0.1,11,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.6,0.1,13,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F200,0.7,0.1,12,0.2,ft_s,,,,
Model FP III,2019-04-29,F200,0.8,0.1,10,0.2,ft_s,,,,
Model FP III,2019-04-29,F200,0.9,0.1,10,0.4,ft_s,,,,
Model FP III,2019-04-29,F200,1,0.1,11,0.6,ft_s,,,,
Model FP III,2019-04-29,F200,1.1,0.1,12,0.6,ft_s,,,,
Model FP III,2019-04-29,F200,1.2,0.1,14,0.7,ft_s,,,,
Model FP III,2019-04-29,F200,1.3,0.1,14.5,0.8,ft_s,,,,
Model FP III,2019-04-29,F200,1.4,0.1,17.5,0.7,ft_s,,,,
Model FP III,2019-04-29,F200,1.5,0.1,18.5,0.7,ft_s,,,,
Model FP III,2019-04-29,F200,1.6,0.1,15,0.8,ft_s,,,,
Model FP III,2019-04-29,F200,1.7,0.1,16,0.9,ft_s,,,,
Model FP III,2019-04-29,F200,1.8,0.1,21,0.8,ft_s,,,,
Model FP III,2019-04-29,F200,1.9,0.1,22,0.4,ft_s,,,,
Model FP III,2019-04-29,F200,2,0.1,12,0,ft_s,,,,
Model FP III,2019-04-29,F200,2.1,0.1,0.5,0,ft_s,,,,
Model FP III,2019-04-29,F99,0,0.1,0,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.1,0.1,7.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.2,0.1,7,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.3,0.1,6.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.4,0.1,5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.5,0.1,4.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.6,0.1,6.5,0,ft_s,,,,"simple flowmeter, not deep enough to read"
Model FP III,2019-04-29,F99,0.7,0.1,11,0,ft_s,,,,
Model FP III,2019-04-29,F99,0.8,0.1,17,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,0.9,0.1,15,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,1,0.1,11.5,0.4,ft_s,,,,
Model FP III,2019-04-29,F99,1.1,0.1,11,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,1.2,0.1,11,0.8,ft_s,,,,
Model FP III,2019-04-29,F99,1.3,0.1,8,0.6,ft_s,,,,
Model FP III,2019-04-29,F99,1.4,0.1,7,0.8,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.5,0.1,9.5,1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.6,0.1,11.5,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.7,0.1,13.5,1.2,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.8,0.1,13.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,1.9,0.1,17,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2,0.1,18,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.1,0.1,19.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.2,0.1,19.5,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.3,0.1,19,0.9,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.4,0.1,20,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.5,0.1,20.5,1.2,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.6,0.1,21,1.1,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.7,0.1,20.5,1.3,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.8,0.1,21,1.5,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,2.9,0.1,20.5,0.9,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,3,0.1,19,0.6,ft_s,,,,"simple flow meter, working beter"
Model FP III,2019-04-29,F99,3.1,0.1,17,0.1,ft_s,,,,
Model FP III,2019-04-29,F99,3.2,0.1,15.5,0,ft_s,,,,
Model FP III,2019-04-29,F99,3.3,0.1,10,0,ft_s,,,,
Model FP III,2019-04-29,F99,3.4,0.1,6.5,0,ft_s,,,,"simple flowmeter, potentially below threshold"
Model FP III,2019-04-29,F99,3.5,0.1,3,0,ft_s,,,,
Model FP III,2019-04-29,F99,3.6,0.1,0,0,ft_s,,,,
Model FP III,2019-04-29,F100,0,0.1,0,0,ft_s,,,,
Model FP III,2019-04-29,F100,0.1,0.1,4.5,0.9,ft_s,,,,"simple flowmeter, not fully submerged"
Model FP III,2019-04-29,F100,0.2,0.1,5,1.5,ft_s,,,,
Model FP III,2019-04-29,F100,0.3,0.1,6,0.8,ft_s,,,,
Model FP III,2019-04-29,F100,0.4,0.1,5.5,0,ft_s,,,,"simple flowmeter, behind a root"
Model FP III,2019-04-29,F100,0.5,0.1,2,0,ft_s,,,,
Model FP III,2019-04-29,F100,0.6,0.1,6.5,2.1,ft_s,,,,
Model FP III,2019-04-29,F100,0.7,0.1,6,0.6,ft_s,,,,
