Site,lat,lon,NH4_ppb,,,,,,,,,,,
B01,37.314783,-79.820864,10.3,,,,,,,,,,,
B100,37.31957,-79.82437,33.3,,,,,,,,,,,
B20 ,37.3170135,-79.8226419,4.9,,,,,,,,,,,
B200,37.322851,-79.81721,48.4,,,,,,,,,,,
B30,37.31921,-79.818226,7.16,,,,,,,,,,,
B45,37.314465,-79.818717,6.08,,,,,,,,,,,
B50,37.31288,-79.81593,9.83,,,,,,,,,,,
F01,37.30247,-79.83692,11.5,,,,,,,,,,,
F100,37.30858,-79.83494,6.39,,,,,,,,,,,
F101,37.309653,-79.830467,,,,,,,,,,,,
F102,37.311678,-79.827357,35.5,,,,,,,,,,,
F20,37.30769,-79.8371,9.35420159,,,,,,,,,,,
F200,37.30943,-79.83619,57.1,not sure if this is really from F200; need to rerun F20 and F200 data from this day,,,,,,,,,,
F30,37.30534,-79.83825,3.42,,,,,,,,,,,
F45,37.30418,-79.83833,6.69,,,,,,,,,,,
F50,37.30325,-79.83726,17.2,,,,,,,,,,,
F99,37.307613,-79.8360878,10.95853519,,,,,,,,,,,
