"Date","Chla_sqrt","Chla_ARlag1_sqrt","Turb_NTU_log","NO3NO2_log","SRP_log","mean_flow","Temp_inf_max","Rain_sum_log","WindSpeed_mean_log","ShortWave_mean","Temp_C"
2013-06-27,0.607453701939498,1.37568164921976,0.29847363352998,1.84054963339749,1.09861228866811,0.0127112243441406,18.69,-4.54479029999938,1.47997288347786,254.584375705833,25.412
2013-07-03,2.01362856555026,0.607453701939498,0.588342066193819,3.26956893918372,1.38629436111989,0.0816473345356487,17.94,0.15674934978631,0.802189051718267,185.628751110833,24.0484
2013-07-11,2.25348618810944,2.01362856555026,2.18992018733658,2.90690105984738,1.38629436111989,0.0747558500953102,17.56,-2.09510269991021,0.691943756381288,243.949708784583,23.1061
2013-07-18,1.78266654200947,2.25348618810944,1.52329161570008,2.62466859216316,1.6094379124341,0.0250351390066214,19.5,-9.94430954705638,0.773409681577156,272.598583383333,26.7469
2013-07-29,1.64854481285769,1.78266654200947,0.642748222976093,1.84054963339749,1.09861228866811,0.0152442887729504,18.25,-9.94430954705638,0.926135798325834,325.63183435375,24.4282
2013-08-01,1.71805122158799,1.64854481285769,0.29847363352998,1.45861502269952,1.38629436111989,0.0148626738978324,18.44,-1.81307300961877,0.987247434444153,249.102454660833,23.2921
2013-08-12,0.87960218280766,1.71805122158799,0.448524597568611,1.45861502269952,1.09861228866811,0.0139445474240279,19.94,-3.41752190458202,0.946789775736385,284.343541269292,27.0352
2013-08-18,1.13844923777918,0.87960218280766,0.260387953620318,1.53327655139659,1.15267951004365,0.019876396639082,16.38,-2.85510809431625,0.863505114948078,90.912541621375,25.93753333
2013-08-23,1.34849298589203,1.13844923777918,0.0284578731404654,1.60274892435042,1.20397280422594,0.0101779850331711,18.88,-3.56520447675279,1.00424289218002,165.465293727083,24.83986667
2013-08-28,1.52996731991242,1.34849298589203,-0.274042186747746,1.66770682055808,1.25276296849537,0.00949447180293456,18.75,-3.22047708119511,1.40653426036412,142.563081065,23.7422
2013-09-06,1.52259646656624,1.52996731991242,-0.274042186747746,1.72870133320175,1.29928298422117,0.00622312402143811,17.94,-9.94430954705638,1.13243796047286,204.592458989625,22.6039
2013-09-13,1.51518975709315,1.52259646656624,-0.274042186747746,1.78618842423447,1.34373474661414,0.0211107228021231,20.13,-9.94430954705638,1.62174491394172,236.597081820833,21.4656
2013-09-18,1.50774666307042,1.51518975709315,-0.274042186747746,1.84054963339749,1.38629436111989,0.0197627379087984,16.63,-9.94430954705638,0.871488202557768,174.008082070417,20.3273
2013-09-25,1.77820133843162,1.50774666307042,0.323025084723777,1.45861502269952,1.6094379124341,0.0199446608690428,17.06,-5.20155369811573,0.308535537895919,162.926374555417,19.4967
2013-10-04,1.95462698922326,1.77820133843162,0.362743161905582,1.45861502269952,1.6094379124341,0.0179059326728252,19.13,-9.94430954705638,0.890004328645215,173.269041379167,18.85436667
2013-10-11,2.11639630811434,1.95462698922326,0.400943791007633,1.45861502269952,1.6094379124341,0.019571843381382,16.69,-9.94430954705638,1.06009595787487,88.0824995045833,18.21203333
2013-10-16,2.26664950973899,2.11639630811434,0.43773866865846,1.45861502269952,1.6094379124341,0.0173979368802731,16.31,-8.04969269238862,0.395856743145771,142.5655037575,17.5697
2013-10-23,2.20993212565454,2.26664950973899,0.958046690114482,1.66770682055808,1.6094379124341,0.0179711984780757,13.19,-4.28552443833092,1.6861988858111,106.761916644167,15.1589
2013-10-30,2.33223069184847,2.20993212565454,0.77481932920397,1.98787434815435,1.38629436111989,0.0165826301949148,14.06,-4.36949745369714,1.06201186059858,73.571625035,13.3158
