"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"machine_blank","Unknown",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,""
"1_before","Unknown",0.000,0.030,0.029,0.028,0.009,0.005,0.017,0.067,""
"1_acid","Unknown",-0.000,0.023,0.023,0.022,0.007,0.002,0.015,0.064,""
"2_before","Unknown",-0.001,0.137,0.136,0.133,0.038,0.027,0.126,0.168,""
"2_acid","Unknown",-0.001,0.081,0.080,0.077,0.021,0.010,0.120,0.190,""
"3_before","Unknown",-0.001,0.011,0.012,0.011,0.005,0.002,0.009,0.043,""
"3_acid","Unknown",0.000,0.010,0.010,0.010,0.004,0.002,0.008,0.039,""
"4_before","Unknown",-0.001,0.010,0.010,0.009,0.003,0.001,0.006,0.031,""
"4_acid","Unknown",-0.001,0.007,0.007,0.007,0.002,-0.000,0.005,0.028,""
"5_before","Unknown",-0.000,0.109,0.109,0.107,0.031,0.022,0.103,0.132,""
"5_acid","Unknown",-0.000,0.065,0.063,0.061,0.017,0.008,0.097,0.150,""
"6_before","Unknown",-0.000,0.016,0.015,0.015,0.004,0.003,0.014,0.028,""
"6_acid","Unknown",-0.001,0.010,0.010,0.009,0.002,0.000,0.012,0.029,""
"7_before","Unknown",-0.001,0.126,0.125,0.122,0.036,0.026,0.126,0.160,""
"7_acid","Unknown",-0.001,0.075,0.073,0.071,0.020,0.010,0.119,0.178,""
"8_before","Unknown",-0.001,0.124,0.124,0.121,0.036,0.026,0.116,0.159,""
"8_acid","Unknown",-0.001,0.074,0.073,0.071,0.020,0.010,0.111,0.179,""
"9_before","Unknown",-0.002,0.021,0.021,0.021,0.005,0.003,0.015,0.032,""
"9_acid","Unknown",-0.002,0.012,0.012,0.012,0.002,-0.000,0.013,0.035,""
"10_before","Unknown",-0.001,0.073,0.073,0.071,0.020,0.013,0.053,0.103,""
"10_acid","Unknown",-0.001,0.047,0.046,0.045,0.012,0.005,0.049,0.109,""
"11_before","Unknown",-0.002,0.025,0.025,0.025,0.007,0.005,0.021,0.045,""
"11_acid","Unknown",0.010,0.032,0.032,0.031,0.018,0.015,0.039,0.081,""
"11_acid_2mLsample_1mLEtOH","Unknown",0.007,0.021,0.021,0.021,0.012,0.010,0.026,0.054,""
"12_before","Unknown",-0.000,0.138,0.137,0.135,0.039,0.029,0.135,0.169,""
"12_acid","Unknown",0.000,0.081,0.080,0.077,0.021,0.011,0.126,0.191,""
"13_before","Unknown",-0.003,-0.002,-0.002,-0.002,-0.003,-0.003,-0.004,-0.004,""
"13_acid","Unknown",-0.002,-0.003,-0.002,-0.002,-0.003,-0.003,-0.004,-0.004,""
"14_before","Unknown",0.056,0.060,0.060,0.059,0.054,0.052,0.053,0.066,""
"14_before_rerun","Unknown",-0.001,0.006,0.006,0.006,0.001,-0.000,0.003,0.017,""
"14_acid","Unknown",-0.001,0.004,0.004,0.004,0.000,-0.001,0.002,0.015,""
"15_before","Unknown",-0.001,0.044,0.043,0.043,0.014,0.009,0.033,0.063,""
"15_acid","Unknown",-0.000,0.028,0.028,0.027,0.008,0.003,0.029,0.068,""
"16_before","Unknown",0.000,0.108,0.108,0.106,0.042,0.025,0.074,0.116,""
"16_acid","Unknown",0.001,0.064,0.064,0.063,0.026,0.010,0.067,0.137,""
"17_before","Unknown",0.001,0.014,0.014,0.014,0.006,0.004,0.012,0.036,""
"17_acid","Unknown",0.001,0.010,0.010,0.010,0.004,0.002,0.010,0.035,""
"18_before","Unknown",0.002,0.134,0.134,0.133,0.056,0.032,0.083,0.143,""
"18_acid","Unknown",0.002,0.081,0.081,0.079,0.034,0.014,0.075,0.168,""
"19_before","Unknown",0.001,0.058,0.058,0.057,0.019,0.014,0.053,0.088,""
"19_acid","Unknown",0.001,0.038,0.038,0.036,0.012,0.005,0.045,0.095,""
"20_before","Unknown",0.000,0.046,0.046,0.045,0.015,0.010,0.034,0.064,""
"20_acid","Unknown",0.001,0.030,0.029,0.028,0.009,0.004,0.029,0.069,""
"21_before","Unknown",0.001,0.065,0.065,0.064,0.024,0.014,0.043,0.086,""
"21_acid","Unknown",0.001,0.042,0.042,0.041,0.016,0.006,0.039,0.093,""
"22_before","Unknown",0.002,0.008,0.008,0.008,0.004,0.003,0.008,0.032,""
"22_acid","Unknown",0.002,0.007,0.007,0.007,0.004,0.002,0.006,0.029,""
"23_before","Unknown",0.001,0.107,0.106,0.104,0.032,0.023,0.093,0.131,""
"23_acid","Unknown",0.002,0.065,0.064,0.062,0.019,0.010,0.089,0.148,""
"24_before","Unknown",0.001,0.020,0.020,0.020,0.006,0.005,0.016,0.031,""
"24_acid","Unknown",0.001,0.013,0.013,0.012,0.004,0.001,0.014,0.033,""
"25_before","Unknown",0.001,0.102,0.102,0.101,0.042,0.025,0.061,0.108,""
"25_acid","Unknown",0.002,0.062,0.061,0.060,0.027,0.011,0.055,0.127,""
"26_before","Unknown",0.001,0.116,0.115,0.113,0.034,0.025,0.108,0.139,""
"26_acid","Unknown",0.002,0.069,0.068,0.066,0.019,0.010,0.102,0.158,""
"27_before","Unknown",0.003,0.066,0.065,0.064,0.026,0.015,0.034,0.126,""
"27_acid","Unknown",0.003,0.051,0.050,0.049,0.020,0.010,0.032,0.125,""
"28_before","Unknown",0.000,0.108,0.108,0.107,0.043,0.025,0.073,0.114,""
"28_acid","Unknown",0.001,0.065,0.064,0.063,0.026,0.011,0.065,0.134,""
"29_before","Unknown",0.001,0.008,0.008,0.008,0.004,0.002,0.005,0.019,""
"29_acid","Unknown",0.002,0.006,0.006,0.006,0.003,0.001,0.004,0.017,""
"30_before","Unknown",0.002,0.038,0.038,0.038,0.014,0.010,0.029,0.051,""
"30_acid","Unknown",0.002,0.025,0.025,0.024,0.009,0.005,0.026,0.056,""
"31_before","Unknown",0.002,0.054,0.054,0.053,0.018,0.013,0.043,0.076,""
"31_acid","Unknown",0.002,0.036,0.035,0.034,0.012,0.006,0.038,0.082,""
"32_before","Unknown",0.003,0.011,0.011,0.010,0.006,0.004,0.010,0.035,""
"32_acid","Unknown",0.003,0.008,0.008,0.008,0.005,0.003,0.009,0.033,""
"33_before","Unknown",0.001,0.014,0.014,0.014,0.006,0.004,0.010,0.030,""
"33_acid","Unknown",0.001,0.009,0.009,0.009,0.004,0.001,0.007,0.027,""
"34_before","Unknown",0.001,0.043,0.043,0.042,0.013,0.011,0.041,0.063,""
"34_acid","Unknown",0.001,0.027,0.027,0.026,0.008,0.004,0.035,0.071,""
"35_before","Unknown",0.001,0.029,0.029,0.029,0.009,0.007,0.026,0.044,""
"35_acid","Unknown",0.000,0.018,0.018,0.018,0.005,0.003,0.023,0.048,""
"36_before","Unknown",0.000,0.045,0.044,0.043,0.015,0.010,0.037,0.066,""
"36_acid","Unknown",0.000,0.029,0.028,0.028,0.009,0.004,0.032,0.071,""
"37_before","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,""
"37_acid","Unknown",-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,""
"38_before","Unknown",0.001,0.125,0.125,0.123,0.050,0.030,0.078,0.132,""
"38_acid","Unknown",0.000,0.074,0.074,0.072,0.030,0.012,0.070,0.155,""
"39_before","Unknown",-0.001,0.033,0.033,0.032,0.009,0.007,0.029,0.047,""
"39_acid","Unknown",-0.001,0.020,0.020,0.019,0.005,0.002,0.025,0.053,""
"40_before","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,""
"40_acid","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.003,""
"41_before","Unknown",0.000,0.033,0.032,0.032,0.011,0.007,0.019,0.044,""
"41_acid","Unknown",0.001,0.021,0.020,0.020,0.007,0.003,0.017,0.048,""
"42_before","Unknown",0.001,0.010,0.009,0.009,0.004,0.003,0.010,0.027,""
"42_acid","Unknown",0.001,0.007,0.007,0.007,0.003,0.002,0.008,0.025,""
"43_before","Unknown",0.003,0.023,0.023,0.023,0.011,0.008,0.017,0.062,""
"43_acid","Unknown",0.003,0.020,0.019,0.019,0.010,0.006,0.016,0.058,""
"chlorella_before","Unknown",0.000,0.016,0.016,0.016,0.006,0.003,0.005,0.021,""
"chlorella_acid","Unknown",0.001,0.012,0.012,0.012,0.004,0.002,0.005,0.021,""
