"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"machine_blank","Unknown",0.000,-0.001,-0.001,-0.001,0.005,0.001,0.004,0.006,""
"initial_ethanol","Unknown",0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,""
"initial_ethanol_2","Unknown",0.000,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,""
"before_1","Unknown",-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.004,-0.005,""
"acid_1","Unknown",-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.004,-0.005,""
"before_2","Unknown",-0.002,0.016,0.016,0.016,0.003,0.002,0.011,0.020,""
"acid_2","Unknown",-0.001,0.009,0.009,0.009,0.001,-0.001,0.009,0.023,""
"before_3","Unknown",0.002,0.029,0.029,0.028,0.009,0.007,0.032,0.042,""
"acid_3","Unknown",0.002,0.019,0.019,0.019,0.007,0.004,0.028,0.046,""
"before_4","Unknown",-0.001,0.014,0.014,0.014,0.003,0.002,0.010,0.019,""
"acid_4","Unknown",-0.001,0.008,0.008,0.008,0.001,-0.001,0.008,0.021,""
"before_5","Unknown",-0.001,0.007,0.007,0.007,0.002,0.000,0.005,0.018,""
"acid_5","Unknown",0.000,0.005,0.005,0.005,0.001,-0.000,0.005,0.018,""
"before_6","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,-0.003,""
"acid_6","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.003,-0.004,""
"before_7","Unknown",0.001,0.069,0.069,0.068,0.019,0.014,0.061,0.079,""
"acid_7","Unknown",0.001,0.042,0.041,0.040,0.011,0.005,0.056,0.089,""
"before_8","Unknown",0.001,0.072,0.071,0.069,0.020,0.016,0.064,0.086,""
"acid_8","Unknown",0.002,0.044,0.043,0.041,0.012,0.006,0.059,0.097,""
"before_9","Unknown",0.001,0.015,0.015,0.014,0.004,0.003,0.016,0.023,""
"acid_9","Unknown",0.001,0.010,0.010,0.009,0.003,0.001,0.014,0.024,""
"before_10","Unknown",0.001,0.013,0.013,0.012,0.005,0.003,0.010,0.024,""
"acid_10","Unknown",0.001,0.009,0.009,0.009,0.003,0.001,0.008,0.024,""
"before_11","Unknown",0.000,0.008,0.008,0.008,0.003,0.002,0.007,0.018,""
"acid_11","Unknown",0.001,0.006,0.006,0.006,0.002,0.001,0.005,0.016,""
"before_12","Unknown",0.000,0.021,0.021,0.020,0.006,0.004,0.012,0.035,""
"acid_12","Unknown",0.001,0.015,0.015,0.015,0.004,0.002,0.010,0.034,""
"before_13","Unknown",0.001,0.068,0.068,0.066,0.020,0.015,0.058,0.078,""
"acid_13","Unknown",0.002,0.042,0.041,0.039,0.011,0.006,0.054,0.088,""
"before_14","Unknown",-0.000,0.015,0.015,0.015,0.004,0.003,0.012,0.020,""
"acid_14","Unknown",0.000,0.009,0.009,0.009,0.002,0.000,0.010,0.022,""
"before_15","Unknown",0.001,0.069,0.068,0.067,0.019,0.015,0.061,0.080,""
"acid_15","Unknown",0.001,0.042,0.041,0.039,0.011,0.005,0.056,0.090,""
"before_16","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,""
"acid_16","Unknown",-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.003,""
"before_17","Unknown",0.000,0.024,0.024,0.024,0.007,0.005,0.027,0.037,""
"acid_17","Unknown",0.000,0.015,0.015,0.015,0.004,0.002,0.023,0.039,""
"before_18","Unknown",-0.000,0.023,0.022,0.022,0.006,0.004,0.013,0.037,""
"acid_18","Unknown",0.001,0.016,0.016,0.016,0.005,0.002,0.011,0.037,""
"before_19","Unknown",-0.000,0.014,0.014,0.014,0.003,0.002,0.011,0.020,""
"acid_19","Unknown",0.000,0.009,0.009,0.009,0.002,0.000,0.009,0.021,""
"before_20","Unknown",-0.001,0.007,0.007,0.007,0.001,0.000,0.006,0.014,""
"acid_20","Unknown",-0.000,0.005,0.005,0.005,0.001,-0.001,0.005,0.014,""
"before_21","Unknown",-0.000,0.059,0.058,0.057,0.016,0.011,0.051,0.069,""
"acid_21","Unknown",0.000,0.036,0.035,0.034,0.009,0.004,0.047,0.077,""
"before_22","Unknown",-0.001,0.010,0.010,0.009,0.002,0.001,0.007,0.022,""
"acid_22","Unknown",0.119,0.125,0.125,0.124,0.119,0.117,0.119,0.129,""
"acid_22_check","Unknown",-0.001,0.007,0.007,0.007,0.001,-0.001,0.006,0.021,""
"before_23","Unknown",-0.000,0.011,0.011,0.011,0.004,0.002,0.008,0.026,""
"acid_23","Unknown",0.000,0.008,0.008,0.008,0.003,0.001,0.007,0.025,""
"before_24","Unknown",-0.002,0.019,0.019,0.019,0.004,0.003,0.018,0.026,""
"acid_24","Unknown",-0.001,0.011,0.011,0.011,0.002,0.000,0.015,0.029,""
"before_chlorella_ref","Unknown",-0.048,-0.042,-0.042,-0.042,-0.041,-0.045,-0.052,-0.123,""
"acid_chlorella_ref","Unknown",-0.001,0.065,0.065,0.064,0.022,0.012,0.028,0.094,""
"acid_chlorella_ref_afteracid","Unknown",-0.001,0.047,0.047,0.045,0.016,0.007,0.026,0.095,""
