Site,lat,lon,NO3NO2_ppb
B01,37.314783,-79.820864,1.6
B100,37.31957,-79.82437,16.6
B20 ,37.3170135,-79.8226419,0
B200,37.322851,-79.81721,8.21
B30,37.31921,-79.818226,0
B45,37.314465,-79.818717,0.781
B50,37.31288,-79.81593,2.24
F01,37.30247,-79.83692,1.69
F100,37.30858,-79.83494,19.8
F101,37.309653,-79.830467,15.6
F102,37.311678,-79.827357,2.9
F20,37.30769,-79.8371,0
F200,37.30943,-79.83619,58
F30,37.30534,-79.83825,0
F45,37.30418,-79.83833,0
F50,37.30325,-79.83726,1.08
F99,37.307613,-79.8360878,16.9
