Site,lat,lon,PO4_ppb
B01,37.314783,-79.820864,0.871
B100,37.31957,-79.82437,4.54
B20 ,37.3170135,-79.8226419,0.985
B200,37.322851,-79.81721,0.96
B30,37.31921,-79.818226,1.76
B45,37.314465,-79.818717,0.472
B50,37.31288,-79.81593,1.01
F01,37.30247,-79.83692,2.57
F100,37.30858,-79.83494,1.48
F101,37.309653,-79.830467,2.01
F102,37.311678,-79.827357,1.49
F20,37.30769,-79.8371,0.888
F200,37.30943,-79.83619,3.19
F30,37.30534,-79.83825,1.39
F45,37.30418,-79.83833,0.995
F50,37.30325,-79.83726,1.59
F99,37.307613,-79.8360878,3.03
