Site,lat,lon,PO4_ppb
B01,37.314783,-79.820864,9.0203384
B100,37.31957,-79.82437,13.30357414
B20 ,37.3170135,-79.8226419,8.476747904
B200,37.322851,-79.81721,6.693961424
B30,37.31921,-79.818226,8.295518816
B45,37.314465,-79.818717,6.814877584
B50,37.31288,-79.81593,5.423908976
F01,37.30247,-79.83692,14.1169701
F100,37.30858,-79.83494,8.67
F101,37.309653,-79.830467,9.21
F102,37.311678,-79.827357,2.79
F20,37.30769,-79.8371,11.8567305
F200,37.30943,-79.83619,5.92
F30,37.30534,-79.83825,4.21
F45,37.30418,-79.83833,11.0122617
F50,37.30325,-79.83726,11.67580246
F99,37.307613,-79.8360878,6.83
