Site,lat,lon,NH4_ppb,,,,,,,,,,
B01,37.314783,-79.820864,6.237309158,,,,,,,,,,
B100,37.31957,-79.82437,26.18982338,,,,,,,,,,
B20 ,37.3170135,-79.8226419,7.237682929,,,,,,,,,,
B200,37.322851,-79.81721,47.0230817,,,,,,,,,,
B30,37.31921,-79.818226,10.02853918,,,,,,,,,,
B45,37.314465,-79.818717,9.609993768,,,,,,,,,,
B50,37.31288,-79.81593,12.42298547,,,,,,,,,,
F01,37.30247,-79.83692,13.02725714,,,,,,,,,,
F100,37.30858,-79.83494,10.4,,,,,,,,,,
F101,37.309653,-79.830467,6.76,,,,,,,,,,
F102,37.311678,-79.827357,11.9,,,,,,,,,,
F20,37.30769,-79.8371,9.842522615,,,,,,,,,,
F200,37.30943,-79.83619,26.8,,,,,,,,,,
F30,37.30534,-79.83825,4.68,,,,,,,,,,
F45,37.30418,-79.83833,17.90567182,,,,,,,,,,
F50,37.30325,-79.83726,9.819270138,,,,,,,,,,
F99,37.307613,-79.8360878,12.6,,,,,,,,,,
,,,,,,,,,,,,,
