Site,lat,lon,NO3NO2_ppb
B01,37.314783,-79.820864,3.490621013
B100,37.31957,-79.82437,25.69767176
B20 ,37.3170135,-79.8226419,1.839353548
B200,37.322851,-79.81721,38.99331553
B30,37.31921,-79.818226,-2.43996706
B45,37.314465,-79.818717,2.818847005
B50,37.31288,-79.81593,1.279737272
F01,37.30247,-79.83692,135.6649139
F100,37.30858,-79.83494,99.5
F101,37.309653,-79.830467,88.9
F102,37.311678,-79.827357,25.9
F20,37.30769,-79.8371,2.376649675
F200,37.30943,-79.83619,48.3
F30,37.30534,-79.83825,1.42
F45,37.30418,-79.83833,0.462820627
F50,37.30325,-79.83726,5.713776947
F99,37.307613,-79.8360878,92.5
