"Date","Depth","Chla_log","Chla_ARlag1_log","Temp_C","DO_mgL","SpCond_uScm","Turb_NTU_log","Kd","TP_log","TN_log","NH4_log","NO3NO2_log","SRP_log","DOC_log","TP_inf_log","TN_inf_log","NH4_inf_log","DOC_inf_log","NO3NO2_inf","SRP_inf","NH4NO3_SRP_inf","mean_flow","NO3NO2_load","SRP_load","TN_TP_log","NH4NO3NO2_SRP_log","TN_TP_inf_log","TN_load_log","TP_load_log","NH4_load_log","DOC_load_log","mean_wrt_log","flow_max_log","flow_min","flow_median","Temp_inf_mean","Temp_inf_max","Temp_inf_min","RelHum_max_log","AirTemp_max_log","AirTemp_mean_log","AirTemp_median_log","Rain_sum_log","WindSpeed_max_log","WindSpeed_mean_log","WindSpeed_median_log","RelHum_mean","RelHum_median","ShortWave_max","ShortWave_mean","week_julian","week_series","week_cum"
"2013-05-02",1,-1.18580550037049,NA,16.7174,9.00548,37.32666982,-0.00471107973011922,NA,4.25985900069967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57504238317042,2.94074725576509,2.70110929173647,2.69631432734566,-9.94430954705638,1.63253222442229,1.37225703656933,1.38774275544024,81.4064546679167,82.477547885,593.4249878,201.298415940542,17,1,1
"2013-05-09",1,0.0194103935198234,-1.18580550037049,14.4946,8.75546,36.69257048,0.951580652652603,NA,3.00568260440716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55410368714365,3.18883031241846,2.82013891654806,2.85503379662972,-8.09585473415178,1.54767338320751,1.32513996203206,1.28371572383672,73.17167387375,69.14033893,892.3590088,286.3748726875,18,2,2
"2013-05-15",1,0.418381333374711,0.0194103935198234,16.1917,8.72002,37.18843336,1.04436727381571,NA,3.19458313229916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0160159025616304,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41372040791291,-4.06439835566302,0.0146359344793006,0.0158877345258808,15.6645161290323,16.31,15.13,4.41064223495872,3.34674110998084,2.97218657870143,2.9919750713513,-9.94430954705638,1.94437818705767,1.58763999070878,1.56405741883063,67.5216759920833,68.63285453,904.40802,291.419875065833,19,3,3
"2013-05-23",1,1.10233867040892,0.418381333374711,18.9733,9.13621,37.14779677,0.970854671864522,NA,3.17805383034795,NA,NA,NA,NA,NA,3.47506723022861,NA,NA,NA,NA,NA,NA,0.0196656945769741,NA,NA,NA,NA,NA,NA,-0.453812323026989,NA,NA,5.21530792241054,-3.53708813426524,0.0171733183958222,0.0193887113723248,15.6815625,16.44,15.13,4.57382748772176,3.28428882628641,3.09331280945141,3.05635660807627,-2.45761213337973,2.03869582003198,1.47135452408399,1.41257857546434,77.57988613875,74.572061665,811.5830078,241.759540874583,20,4,4
"2013-05-30",1,0.554861647755602,1.10233867040892,20.1045,9.67412,37.04578603,0.0283930745012178,NA,3.55248682920838,NA,NA,NA,NA,NA,3.59731226058845,NA,NA,NA,NA,NA,NA,0.0131619857274519,NA,NA,NA,NA,NA,NA,-0.733110212735681,NA,NA,5.61203032943593,-4.16906793437254,0.0110930403721045,0.01302105268443,16.7998958333333,18.44,15.44,4.40396180388727,3.40485868025429,3.18190081251624,3.17471523531148,-9.94430954705638,1.45705765831131,1.26050625976937,1.25449376508814,66.0353484508333,68.60403696,919.4299927,319.717458724583,21,5,5
"2013-06-04",1,1.02284653289373,0.554861647755602,22.9911,8.45173,37.79902314,0.121863587756841,NA,3.41279651750551,NA,NA,NA,NA,NA,3.58444443588455,NA,NA,NA,NA,NA,NA,0.013281937065762,NA,NA,NA,NA,NA,NA,-0.73690584630064,NA,NA,5.6028605256677,-4.2242755085159,0.0114703647093252,0.0134188559116226,16.4354166666667,17.5,15.38,4.40978845960478,3.2737437895421,3.04917444403387,3.03974930490377,-9.94430954705638,1.47829297145302,1.24129673195397,1.21807192707732,69.4187838479167,73.215766925,913.2249756,323.2667072575,22,6,6
"2013-06-13",1,0.970134770346266,1.02284653289373,21.2973,10.3166,36.6453658,0.842127373571264,NA,3.45473814859019,NA,NA,NA,NA,NA,3.55820113047182,NA,NA,NA,NA,NA,NA,0.0218824913718019,NA,NA,NA,NA,NA,NA,-0.263867312182664,NA,NA,5.11559450095046,-3.21791248121207,0.0189384961013892,0.0212244267122472,17.817037037037,19.06,16.81,4.48232682229104,3.42523953494485,3.22210410853187,3.20030453891601,-1.96389243761383,2.30575355610914,1.99230337842021,2.10153632893964,72.9866698420833,72.765924375,831.4520264,256.9517553625,23,7,7
"2013-06-20",1,0.875593729542051,0.970134770346266,22.0662,9.76655,37.90884195,0.27322811548163,NA,3.62434093297637,NA,NA,NA,NA,NA,3.6163087612791,NA,NA,NA,NA,NA,NA,0.0136732990922902,NA,NA,NA,NA,NA,NA,-0.676001557950655,NA,NA,5.57157513411563,-4.2242755085159,0.0122375191991045,0.0138206296719582,17.1284375,17.94,16.56,4.58499710129304,3.33005922283382,3.14039172991822,3.14069822849274,-9.94430954705638,1.47445656810891,1.16165846045195,1.08255874464837,78.88486586375,78.7785067,812.4630127,283.539333505417,24,8,8
"2013-06-27",1,0.226099179139842,0.875593729542051,24.645,11.60754,38.95105865,0.490480049100561,NA,3.41114771251532,NA,1.6094379124341,2.23001440015921,1.38629436111989,NA,3.72328088083127,NA,0,NA,91,15,6.06666666666667,0.0127112243441406,1.15672141531679,0.190668365162109,NA,1.25276296849537,NA,NA,-0.641988988388188,-4.71053070164592,NA,5.64586123015107,-4.25266044696013,0.0110930403721039,0.0126272600237991,18.0690625,18.69,17.5,4.50166505958616,3.36418852731799,3.20518270809708,3.20862300447568,-4.54479029999938,1.92599213386221,1.47997288347786,1.33702209032448,74.94378134875,76.030082985,736.9609985,254.584375705833,25,9,9
"2013-07-03",1,1.58835726882286,0.226099179139842,23.3826,9.6647,38.02091503,0.8706236856907,NA,3.87120101090789,NA,3.2188758248682,2.58776403522771,1.38629436111989,NA,4.23265617801961,NA,2.56494935746154,NA,30,11,3.81818181818182,0.0816473345356487,2.44942003606946,0.898120679892136,NA,2.2512917986065,NA,NA,1.72731007291985,-0.0112955406702557,NA,3.90427414840536,-1.66235168849297,0.0483609319391689,0.0668457686987056,17.1885416666667,17.94,16.88,4.60517018598809,3.20274768358795,3.05696486001266,3.03302749953067,0.15674934978631,1.13140208084594,0.802189051718267,0.836641404299854,92.6448897233333,94.103428655,551.4790039,185.628751110833,26,10,10
