,Chla_sqrt,Chla_ARlag1_sqrt,Temp_C,mean_flow,Temp_inf_mean,AirTemp_mean_log,Rain_sum_log,WindSpeed_max_log,ShortWave_mean
Chla_sqrt,1,0.61944742,-0.230769231,0.482216142,-0.39124487,-0.075280591,0.161805353,-0.455789762,-0.459622228
Chla_ARlag1_sqrt,0.61944742,1,-0.094947337,0.136775519,-0.019148573,0.145626624,-0.069550592,-0.240879258,-0.17554572
Temp_C,-0.230769231,-0.094947337,1,-0.198358413,0.722298222,0.701615111,0.397877385,-0.155214892,0.235696688
mean_flow,0.482216142,0.136775519,-0.198358413,1,-0.144322845,-0.131326949,0.217230414,-0.26744186,-0.229138167
Temp_inf_mean,-0.39124487,-0.019148573,0.722298222,-0.144322845,1,0.741450068,0.128859532,0.073871409,0.356361149
AirTemp_mean_log,-0.075280591,0.145626624,0.701615111,-0.131326949,0.741450068,1,0.339706526,-0.034765946,0.51546674
Rain_sum_log,0.161805353,-0.069550592,0.397877385,0.217230414,0.128859532,0.339706526,1,-0.051111289,-0.149945274
WindSpeed_max_log,-0.455789762,-0.240879258,-0.155214892,-0.26744186,0.073871409,-0.034765946,-0.051111289,1,0.349028196
ShortWave_mean,-0.459622228,-0.17554572,0.235696688,-0.229138167,0.356361149,0.51546674,-0.149945274,0.349028196,1
