Site,lat,lon,chla_ugL
B01,37.314783,-79.820864,5.75664
B100,37.31957,-79.82437,0.495692308
B20 ,37.3170135,-79.8226419,5.92848
B200,37.322851,-79.81721,1.3425
B30,37.31921,-79.818226,6.35808
B45,37.314465,-79.818717,4.448649746
B50,37.31288,-79.81593,4.55376
F01,37.30247,-79.83692,6.241358491
F100,37.30858,-79.83494,0.956881671
F101,37.309653,-79.830467,1.598511628
F102,37.311678,-79.827357,0.080865882
F20,37.30769,-79.8371,41.48708571
F200,37.30943,-79.83619,0.729509434
F30,37.30534,-79.83825,36.6592
F45,37.30418,-79.83833,36.0864
F50,37.30325,-79.83726,35.8
F99,37.307613,-79.8360878,0.60144
