Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag,Pressure..PSI.
2019-02-08T17:24:06Z,0.01,4.8821,1.0419,2.039,18.52396,31.017,10.3207,80.589,7.709,-19.4706,17.954,0.0139,1,999.9798,0,NA
2019-02-08T17:24:06Z,0.027,4.8832,0.977,1.9813,18.491333,30.923,10.3172,80.56,7.694,-19.6977,17.968,0.0139,1,999.9798,0,NA
2019-02-08T17:24:06Z,0.042,4.8848,1.0075,2.0102,18.504695,30.969,10.3196,80.58,7.663,3.0923,17.896,0.0139,1,999.9799,0,NA
2019-02-08T17:24:06Z,0.067,4.8849,0.9961,1.8948,18.536941,31.015,10.3339,80.691,7.639,-14.2463,17.971,0.0139,1,999.98,0,NA
2019-02-08T17:24:06Z,0.096,4.886,0.9923,1.9236,18.540034,31.013,10.3298,80.659,7.609,-15.117,18.095,0.0139,1,999.9801,0,NA
2019-02-08T17:24:06Z,0.124,4.887,0.9885,1.9525,18.530457,31.013,10.3291,80.654,7.583,-17.4641,18.099,0.0139,1,999.9803,0,NA
2019-02-08T17:24:06Z,0.145,4.8871,0.9808,1.9957,18.48964,30.918,10.3258,80.628,7.552,0.2531,18.108,0.0139,1,999.9803,0,NA
2019-02-08T17:24:06Z,0.159,4.887,0.9961,1.9669,18.47239,30.917,10.33,80.661,7.524,-0.807,18.18,0.0139,1,999.9804,0,NA
2019-02-08T17:24:06Z,0.179,4.8871,0.9885,2.0678,18.492704,30.917,10.3408,80.748,7.498,14.3359,18.187,0.0139,1,999.9805,0,NA
2019-02-08T17:24:06Z,0.204,4.8873,1.0495,1.9957,18.464358,30.917,10.3489,80.813,7.478,13.7302,18.22,0.0139,1,999.9806,0,NA
2019-02-08T17:24:06Z,0.224,4.8871,1.0686,1.9669,18.448445,30.824,10.3442,80.783,7.448,15.8881,18.176,0.0138,1,999.9807,0,NA
2019-02-08T17:24:06Z,0.244,4.8868,1.0533,1.9092,18.512509,31.01,10.3494,80.828,7.425,12.9352,17.928,0.0139,1,999.9808,0,NA
2019-02-08T17:24:06Z,0.262,4.887,1.0457,1.9669,18.503074,30.917,10.3514,80.846,7.397,27.6617,17.926,0.0139,1,999.9809,0,NA
2019-02-08T17:24:06Z,0.276,4.8869,1.0609,2.1544,18.519407,31.011,10.3513,80.847,7.374,24.5574,17.951,0.0139,1,999.981,0,NA
2019-02-08T17:24:06Z,0.29,4.8866,1.0533,2.039,18.492182,30.917,10.3485,80.826,7.35,28.4946,17.927,0.0139,1,999.981,0,NA
