Reservoir,Site,Date,Depth_m,Temp_C,DO_mgL,Cond_uScm,Spec_Cond_uScm,Chla_ugL,Turb_NTU,pH,ORP_mV
FCR,50,2013-03-07,8.995,3.362,12.16218,20.460823,NA,3.5508,3.6305,NA,NA
FCR,50,2013-04-04,9.011,5.8764,10.85436,22.076791,NA,5.7805,2.2877,NA,NA
FCR,50,2013-04-11,8.969,6.3098,10.01334,22.348451,NA,7.0143,1.8849,NA,NA
FCR,50,2013-04-18,8.994,6.6086,9.12042,22.623498,NA,6.5462,1.3142,NA,NA
FCR,50,2013-04-25,8.985,6.9163,8.00603,23.129066,NA,2.1027,1.2974,NA,NA
FCR,50,2013-04-30,8.992,7.0178,6.34864,24.110148,NA,0.6745,1.8849,NA,NA
FCR,50,2013-05-02,9.012,7.0818,6.42219,24.200464,NA,0.492,1.3478,NA,NA
FCR,50,2013-05-09,8.996,7.297,5.85841,24.401146,NA,0.3174,1.8681,NA,NA
FCR,50,2013-05-14,9.006,7.5161,5.19382,25.052134,NA,0.4285,1.9184,NA,NA
FCR,50,2013-05-15,9.004,7.8001,6.21298,24.788575,NA,0.6983,1.3813,NA,NA
FCR,50,2013-05-16,9.002,7.9523,6.89551,24.550589,NA,0.7776,0.9785,NA,NA
FCR,50,2013-05-21,9.006,8.5793,8.83946,24.782412,NA,2.0789,1.0456,NA,NA
FCR,50,2013-05-23,9.005,8.6999,9.24922,25.017609,NA,2.19,1.0792,NA,NA
FCR,50,2013-05-30,8.994,9.1663,10.20716,25.255741,NA,4.1023,1.2974,NA,NA
FCR,50,2013-06-04,9,9.4483,11.0571,25.694849,NA,3.3485,1.2638,NA,NA
FCR,50,2013-06-06,8.985,9.5774,11.569,25.925368,NA,3.1382,1.2303,NA,NA
FCR,50,2013-06-13,8.869,9.8544,12.05121,26.245235,NA,2.0115,1.0456,NA,NA
FCR,50,2013-06-20,9,10.0393,10.98889,27.085977,NA,2.7097,0.7771,NA,NA
FCR,50,2013-06-25,9,9.989,8.24386,28.425262,NA,1.7417,1.0456,NA,NA
FCR,50,2013-06-27,8.998,9.9304,6.04118,31.413552,NA,1.821,2.4556,NA,NA
FCR,50,2013-07-03,8.995,9.9384,5.41901,31.565248,NA,1.6108,1.1967,NA,NA
FCR,50,2013-07-11,8.996,10.304,6.98551,30.054216,NA,1.9956,2.1367,NA,NA
FCR,50,2013-07-15,9.007,10.3828,5.38934,30.469477,NA,1.702,3.7816,NA,NA
FCR,50,2013-07-18,8.994,10.4812,5.69266,32.778929,NA,1.3331,5.7118,NA,NA
FCR,50,2013-07-22,8.907,10.3509,5.23554,31.052639,NA,1.3688,4.839,NA,NA
FCR,50,2013-07-25,9.001,10.4625,4.81264,31.420599,NA,1.8806,4.9901,NA,NA
FCR,50,2013-07-29,8.988,10.5122,4.19106,33.850214,NA,1.3093,7.4239,NA,NA
FCR,50,2013-08-01,8.998,10.5976,4.27432,34.833105,NA,2.3408,7.961,NA,NA
FCR,50,2013-08-08,8.829,11.2954,4.2503,34.676218,NA,3.043,6.5175,NA,NA
FCR,50,2013-08-12,8.804,12.4659,6.88795,38.599545,NA,2.7137,7.3064,NA,NA
FCR,50,2013-08-28,8.986,12.1522,7.41206,36.157756,NA,4.3046,7.5414,NA,NA
FCR,50,2013-09-18,9.004,12.9048,10.2081,38.580202,NA,6.3835,8.2128,NA,NA
FCR,50,2013-09-25,9,13.1212,11.01255,39.106883,NA,5.0941,8.6828,NA,NA
FCR,50,2013-10-16,8.998,13.1806,7.64418,43.416762,NA,3.1342,7.1386,NA,NA
FCR,50,2013-10-23,8.995,13.5333,9.60264,43.023376,NA,1.4719,8.1457,NA,NA
FCR,50,2013-10-30,9.002,12.4081,8.87772,32.176473,NA,6.201,3.1102,NA,NA
FCR,50,2013-11-06,9.005,11.7609,8.2237,31.300743,NA,5.2171,2.1199,NA,NA
FCR,50,2013-11-20,8.99,8.4923,9.66612,28.459778,NA,3.8047,0.9449,NA,NA
FCR,50,2013-12-04,8.995,4.5798,11.04054,24.574238,NA,9.1368,1.7842,NA,NA
FCR,50,2014-05-05,9.015,7.6969,5.26911,24.024884,NA,0.5912,1.2974,NA,NA
FCR,50,2014-05-06,9.001,7.6712,4.94595,24.306702,NA,0.5158,2.0695,NA,NA
