"Reservoir","Site","Date","Depth_m","Temp_C","DO_mgL","Cond_uScm","Spec_Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV"
"FCR",50,"2013-03-07",0.514,3.3751,12.17279,20.556665,NA,1.1863,3.278,NA,NA
"FCR",50,"2013-03-07",0.788,3.3756,12.16621,20.394806,NA,1.6544,3.2948,NA,NA
"FCR",50,"2013-03-07",1.615,3.367,12.16648,20.591804,NA,3.4119,3.2612,NA,NA
"FCR",50,"2013-03-07",2.788,3.3651,12.14497,20.73288,NA,3.4873,3.2277,NA,NA
"FCR",50,"2013-03-07",3.794,3.365,12.14708,20.51125,NA,4.4197,3.3116,NA,NA
"FCR",50,"2013-03-07",4.989,3.3616,12.15775,20.499341,NA,4.0031,3.278,NA,NA
"FCR",50,"2013-03-07",5.202,3.3618,12.15232,20.499694,NA,4.3046,3.2445,NA,NA
"FCR",50,"2013-03-07",5.492,3.3615,12.14006,20.378415,NA,3.8087,3.5298,NA,NA
"FCR",50,"2013-03-07",5.816,3.3613,12.16016,20.377893,NA,3.4913,3.2612,NA,NA
"FCR",50,"2013-03-07",5.996,3.3605,12.14947,20.568415,NA,3.7531,3.5802,NA,NA
"FCR",50,"2013-03-07",6.19,3.3595,12.15285,20.390323,NA,3.4278,3.5466,NA,NA
"FCR",50,"2013-03-07",7.992,3.3626,12.15036,20.385418,NA,4.1102,3.5969,NA,NA
"FCR",50,"2013-03-07",8.995,3.362,12.16218,20.460823,NA,3.5508,3.6305,NA,NA
"FCR",50,"2013-03-07",9.305,3.364,12.15585,20.373522,NA,3.6817,3.5466,NA,NA
"FCR",50,"2013-04-04",0.506,8.3102,11.40901,23.616439,NA,1.3132,1.7842,NA,NA
"FCR",50,"2013-04-04",0.808,8.3081,11.39281,23.62662,NA,1.706,2.0527,NA,NA
"FCR",50,"2013-04-04",1.592,8.2617,11.38781,23.422921,NA,4.4276,2.1031,NA,NA
"FCR",50,"2013-04-04",2.794,7.8328,11.53483,23.387955,NA,4.4911,2.0695,NA,NA
"FCR",50,"2013-04-04",3.788,7.0858,11.48425,22.743229,NA,4.987,2.0863,NA,NA
"FCR",50,"2013-04-04",5.01,6.2069,11.47178,22.158434,NA,5.2092,1.7674,NA,NA
"FCR",50,"2013-04-04",5.197,6.1859,11.46528,22.188787,NA,5.5781,2.0527,NA,NA
"FCR",50,"2013-04-04",5.495,6.1198,11.48851,22.045826,NA,6.2526,1.8849,NA,NA
"FCR",50,"2013-04-04",5.789,6.0786,11.49233,22.005795,NA,7.0103,2.1199,NA,NA
"FCR",50,"2013-04-04",6.002,6.0669,11.42266,22.104637,NA,6.5144,1.8177,NA,NA
