"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Density_mg_m3","Flag","Pressure..PSI."
2019-06-03 08:17:10,5.8,9.5332,2.8729,1.3324,23.429051,33.908,2.9677,25.891,8.721,270.9324,16.313,0.0177,1,999.7793,0,NA
2019-06-03 08:17:10,6,9.3672,2.6326,1.491,22.755268,33.054,2.8362,24.68,8.709,271.1974,13.553,0.0172,1,999.7932,0,NA
2019-06-03 08:17:10,6.2,9.2751,2.3274,2.5149,23.381413,34.096,2.1483,18.687,8.702,271.9545,11.447,0.0176,1,999.8032,0,NA
2019-06-03 08:17:10,8,8.8177,1.1029,3.8703,25.923933,38.186,0.076,0.656,8.594,267.9795,1.4857,0.0191,1,999.8503,0,NA
2019-06-03 08:17:10,9,8.6908,2.7661,10.936,32.490689,48.33,0.157,1.346,8.481,168.415,0.34424,0.0235,1,999.8659,0,NA
2019-06-03 08:17:10,9.3,8.6043,2.2817,11.0369,67.075967,99.626,0.147,1.26,8.427,162.2821,0.18517,0.0463,1,999.8916,0,NA
2019-06-06 06:36:59,0.1,22.8263,1.7476,1.1738,32.190256,33.644,8.9457,103.864,8.973,200.9722,263.78,0.0225,1,997.5984,0,NA
2019-06-06 06:36:59,1,22.6871,2.1596,1.3757,31.788605,33.302,9.6798,111.623,8.845,210.9665,138.46,0.0223,1,997.6246,0,NA
2019-06-06 06:36:59,1.6,21.8407,1.8239,1.5776,30.754677,32.764,10.7533,121.585,8.757,217.9701,93.445,0.0219,1,997.8192,0,NA
2019-06-06 06:36:59,2.8,16.908,2.2511,1.1882,26.71365,31.704,12.3463,125.024,8.725,235.9902,43.614,0.0199,1,998.782,0,NA
2019-06-06 06:36:59,3.8,12.8402,3.3536,0.6691,24.084909,31.578,9.1283,84.9,8.71,243.1073,22.669,0.0183,1,999.3922,0,NA
