"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Flag","DOY"
2018-04-20 15:50:00,1,14.7933,0.5988,1.1128,39.65,31.558019,8.532,84.24,7.397,250.4174,513.18,2.658461822,0.041,0,110.6597222
2018-04-23 14:09:00,1,13.5007,1.8008,1.2712,36.421,28.046481,9.9029,95.045,7.416,306.2926,115.92,2.5107886,0.055,0,113.5895833
2018-04-30 17:02:00,1,15.0933,0.4573,1.3522,34.72,27.814792,9.5061,94.386,7.181,329.2309,428.25,2.291442209,0.117,0,120.7097222
2018-05-04 13:55:00,1,16.6785,0.7124,0.811,34.794,28.865044,9.2704,94.882,7.304,356.4221,295.69,2.207868868,0.071,0,124.5798611
2018-05-07 12:14:00,1,19.9103,1.1589,0.689,34.941,31.388478,8.3702,91.908,7.243,327.8768,250.08,2.052794444,0.042,0,127.5097222
2018-05-11 12:00:00,1,20.9199,0.8232,0.4491,35.375,32.47018,7.1184,79.687,7.272,321.1894,124.41,2.031836004,0.179,0,131.5
2018-05-14 13:40:00,1,21.9423,0.8976,0.4173,34.667,31.830107,8.8163,98.716,7.321,313.5792,797.47,1.943019825,0.088,0,134.5694444
2018-05-17 12:57:00,1,21.7405,2.7578,1.9779,33.037874,35.271,9.1512,102.954,7.317,262.1117,91.745,0.0229,0.067,0,137.5395833
2018-05-21 15:36:00,1,18.8061,2.495,5.7108,27.52498,31.376,9.7285,103.678,6.976,308.9789,293.09,0.0203,0.073,0,141.65
2018-05-28 11:02:00,1,20.331,4.0598,2.2733,29.412834,32.339,9.34,102.481,7.081,335.479,167.81,0.0213,0.063,0,148.4597222
2018-06-04 11:31:00,1,23.1671,1.5844,1.0906,31.554,30.324285,6.2692,73.156,7.235,302.8223,497.07,1.71129472,0.138,0,155.4798611
2018-06-07 10:04:00,1,21.6668,1.3246,1.2911,33.501,30.558779,9.2208,102.646,6.853,338.738,517.64,1.885577583,0.166,0,158.4194444
2018-06-11 09:36:00,1,24.68,1.6397,0.8405,31.694,31.495081,7.5334,90.643,7.249,307.6974,85.565,1.663334059,0.057,0,162.4
2018-06-14 13:40:00,1,23.1242,2.247,0.877,32.711,31.329524,9.1782,106.775,7.371,272.8524,90.371,1.779450401,0.108,0,165.5694444
2018-06-18 15:21:00,1,24.3627,1.2657,0.6351,33.567556,34.078,10.0401,118.127,7.604,280.4346,313.71,0.0231,0.068,0,169.6395833
2018-06-25 10:33:00,1,26.2063,2.8993,1.7899,33.682811,32.885,8.6608,106.914,7.949,278.201,37.317,0.0231,0.041,0,176.4395833
2018-07-02 09:50:00,1,25.5154,1.7914,1.1991,33.890064,33.46,10.1511,122.904,8.262,268.131,523.88,0.0232,0.084,0,183.4097222
2018-07-05 12:28:00,1,27.0201,3.5059,1.2528,35.998759,34.606,11.0567,138.58,8.641,201.1236,210.11,0.024,0.02,0,186.5194444
2018-07-09 09:50:00,1,25.7468,2.6769,1.4005,35.677068,34.458,8.513,104.313,8.291,239.208,435.12,0.0236,0.106,0,190.4097222
2018-07-16 09:50:00,1,27.2692,2.4424,0.8768,36.89016,35.29,8.9065,112.088,8.438,240.6845,312.16,0.0244,0.022,0,197.4097222
2018-07-19 10:04:00,1,26.7861,2.586,2.127,35.53,36.793422,8.895,111.186,8.503,249.3185,405.79,1.79473648,0.051,0,200.4194444
