"","Reservoir","Site","Date","Depth_m","Temp_C","DO_mgL","Cond_uScm","Spec_Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV","SpCond_calc"
"51","FCR",50,2013-04-04,0.506,8.3102,11.40901,23.616439,NA,1.3132,1.7842,NA,NA,34.6676138429601
"52","FCR",50,2015-04-07,0.291,13.7867,9.93833,24.973811,NA,0.3531,6.9231,NA,NA,31.7803329915401
"53","FCR",50,2017-04-09,0.5,13.4659,9.16652,29.854081,NA,0.7564,2.9573,NA,NA,38.2892537628863
"54","FCR",50,2015-05-01,0.159,14.5883,9.29503,25.140427,NA,2.3844,8.5711,NA,NA,31.3809520082676
"55","FCR",50,2015-05-01,0.134,14.6183,9.47739,25.163915,NA,2.4598,8.039,NA,NA,31.3878207235481
"56","FCR",50,2014-05-10,0.078,20.5411,8.42196,31.172459,NA,2.1503,1.096,NA,NA,34.0744053946952
"57","FCR",50,2014-05-10,0.095,20.6814,8.53946,31.273909,NA,2.6383,1.096,NA,NA,34.0854567633431
"58","FCR",50,2015-05-11,0.259,23.4025,8.58273,30.313722,NA,0.6864,3.9705,NA,NA,31.2677720786054
"59","FCR",50,2014-05-12,0.132,20.5112,8.67577,30.924257,NA,0.7657,2.9591,NA,NA,33.8242123784126
"60","FCR",50,2016-05-12,0.51,19.6631,5.59532,28.672651,NA,1.4921,1.901,NA,NA,31.9271370060087
"61","FCR",50,2013-05-14,0.519,15.7607,8.67911,30.278132,NA,1.345,2.8248,NA,NA,36.766305007434
"62","FCR",50,2014-05-14,0.199,20.4878,9.52403,29.274894,NA,0.6665,1.0456,NA,NA,32.0358393865695
"63","FCR",50,2015-05-14,0.208,21.0547,8.52122,24.687176,NA,0.8173,4.3653,NA,NA,26.6990922362541
"64","FCR",50,2015-05-14,0.541,20.3668,8.95344,29.221098,NA,2.9041,4.7945,NA,NA,32.0580466249982
"65","FCR",50,2017-05-14,0.521,17.5529,8.93054,27.879627,NA,0.7738,3.0907,NA,NA,32.5028146846464
"66","FCR",50,2013-05-15,0.519,16.4003,8.73976,31.020334,NA,1.1268,2.8584,NA,NA,37.116951826963
"67","FCR",50,2014-05-15,0.156,20.4304,9.15429,29.532485,NA,2.793,1.6163,NA,NA,32.3565433997417
"68","FCR",50,2013-05-16,0.527,18.3691,8.65139,32.440383,NA,0.98,2.1702,NA,NA,37.144775928903
"69","FCR",50,2016-05-16,0.524,17.1333,7.21937,27.420026,NA,0.5223,1.6233,NA,NA,32.2684955644924
"70","FCR",50,2015-05-18,0.244,23.4154,8.46905,31.480101,NA,0.6983,3.6615,NA,NA,32.4626098035488
"71","FCR",50,2014-05-19,0.116,17.4641,8.81669,27.496837,NA,0.8173,1.6331,NA,NA,32.1200599987634
"72","FCR",50,2016-05-19,0.572,16.4242,9.4406,27.123846,NA,1.6972,1.3656,NA,NA,32.4369456947866
"73","FCR",50,2013-05-02,0.512,16.802,8.93689,31.563281,NA,0.25,1.0456,NA,NA,37.4230494433248
"74","FCR",50,2013-05-21,0.524,18.9194,9.12374,32.683285,NA,1.4481,1.2638,NA,NA,36.977875491534
"75","FCR",50,2015-05-21,0.101,21.5489,8.28114,30.437364,NA,2.1464,4.537,NA,NA,32.5852539234721
"76","FCR",50,2015-05-21,0.103,20.1053,6.374,24.168802,NA,2.2535,4.5885,NA,NA,26.6613376648406
"77","FCR",50,2014-05-22,0.312,20.0705,8.80407,29.310963,NA,0.9284,0.9281,NA,NA,32.3575367152417
"78","FCR",50,2013-05-23,0.517,21.0439,8.86852,34.49761,NA,2.5907,1.2638,NA,NA,37.3173665670282
"79","FCR",50,2016-05-23,0.675,17.3609,7.35843,26.745926,NA,1.1352,1.6123,NA,NA,31.3149973716568
