"(Intercept)","Chla_ARlag1_sqrt","mean_flow","RelHum_mean","ShortWave_median","WindSpeed_max_log","df","logLik","AICc","delta","weight"
0.226002375327419,0.767840095951862,NA,0.00223503357036058,NA,NA,4,26.8514823997632,-45.306925195566,0,0.130635259749631
0.473696613730641,0.77393474218858,NA,NA,NA,-0.0679755667646382,4,26.6098215216282,-44.8236034392961,0.483321756269888,0.102590802558346
0.373763514787651,0.785623166666744,NA,NA,NA,NA,3,25.4240894314537,-44.6128847452604,0.694040450305536,0.0923318302051182
0.190550057314517,0.776094868465094,NA,0.00263971842057428,-0.00188313110858107,NA,5,27.5991501846436,-44.5983003692871,0.708624826278871,0.0916609781046902
0.27982283869366,0.752108813725894,-1.1347529739686,0.00248282223576843,-0.00272878900217272,NA,6,28.5686657545398,-44.2888466605947,1.0180785349713,0.0785212976541203
0.482234772447063,0.782629937952907,NA,NA,-0.00174564749993629,-0.0792678666255185,5,27.2562993348237,-43.9125986696473,1.39432652591865,0.0650558349379972
0.327401168455437,0.765438004937601,NA,0.00163220822513388,NA,-0.0418636931888838,5,27.2042858687765,-43.808571737553,1.49835345801298,0.0617585504140548
0.28486718876003,0.752343444223243,-0.634992774759149,0.00204554178393062,NA,NA,5,27.1961006574043,-43.7922013148086,1.51472388075734,0.0612551068317369
0.434799682782981,0.763224771134257,-0.836422634563455,NA,NA,NA,4,26.0252058101068,-43.6543720162532,1.65255317931279,0.0571759052936642
0.308157657987955,0.774052171300586,NA,0.00195997112783718,-0.00207192186467576,-0.0500230949601177,6,28.103162256436,-43.3578396643872,1.9490855311788,0.0492971562871688
0.455918807789508,0.764860289854484,-1.26089980588009,NA,-0.00213387105736224,NA,5,26.8747850842002,-43.1495701684003,2.15735502716563,0.0444218581773678
0.368472592718603,0.792603066074082,NA,NA,-0.00114548706314593,NA,4,25.7093463029142,-43.022653001868,2.28427219369798,0.0416904908789116
0.489070865753129,0.764547598849258,-0.415975255181198,NA,NA,-0.0577855609449675,5,26.7342023480243,-42.8684046960486,2.4385204995174,0.0385960103921944
0.515695186372482,0.766389592612462,-0.835734973634197,NA,-0.00227150695508885,-0.0621968445692462,6,27.7068098409494,-42.565134833414,2.74179036215201,0.0331656261318924
0.331752829884595,0.754615451873428,-0.962351368972848,0.00212812291758408,-0.00270544268416981,-0.0278567645416157,7,28.7046872795711,-42.2665174162851,3.0404077792809,0.0285656593265334
0.341255622842544,0.755065371836059,-0.452280626222475,0.00166413520383488,NA,-0.0302735628961318,6,27.3527888037195,-41.8570927589541,3.44983243661186,0.0232776330565735
