"(Intercept)","AirTemp_mean_log","Chla_ARlag1_sqrt","mean_flow","RelHum_median","ShortWave_mean","WindSpeed_mean_log","df","logLik","AICc","delta","weight"
1.65203272199602,NA,0.459243714591195,-3.05043593399835,NA,-0.00251599036079953,NA,5,-64.2548623893969,139.103784184734,0,0.259296539532711
1.13380658396662,0.190204837907278,0.466987270099724,-2.86090561171051,NA,-0.00286818017471897,NA,6,-63.7132506330362,140.266501266072,1.16271708133803,0.144982610315078
1.73368134378257,NA,0.462752032955634,-2.92853861042576,NA,-0.00251804082286715,-0.082863487373464,6,-64.0171547541845,140.874309508369,1.77052532363476,0.106987251790455
1.63878199865272,NA,0.459543041179953,-3.05485950127905,0.00013797834705164,-0.0025045843780996,NA,6,-64.254482799986,141.348965599972,2.24518141523771,0.0843843231277375
1.4288459926572,NA,0.497106898331293,NA,NA,-0.00245945752278961,NA,4,-66.6860931881673,141.76434323908,2.66055905434533,0.0685588718938231
0.791206096966107,0.240467960563487,0.503922553232491,NA,NA,-0.00290915698030177,NA,5,-65.8417480925479,142.277555591036,3.17377140630211,0.0530421374493775
1.24347389025286,0.171613454172995,0.468766118289747,-2.79132639545759,NA,-0.00283523775804371,-0.0598918828280588,7,-63.5931511626895,142.317615456692,3.21383127195787,0.0519902765179446
1.25480427897963,0.217248916120687,0.463690539062175,-2.76896588246562,-0.002027193653155,-0.00308583392139911,NA,7,-63.6414365252189,142.414186181751,3.31040199701658,0.0495395504001113
1.55525040662477,NA,0.499891705135029,NA,NA,-0.00246547234347211,-0.115652230331568,5,-66.2353124737639,143.064684353468,3.96090016873401,0.0357847656619237
1.73636986458779,NA,0.462693362205891,-2.9276046373905,-2.76678434934912e-05,-0.00252032877536299,-0.0828954001610957,7,-64.0171394585024,143.165592048318,4.06180786358365,0.034024076802219
1.54269093862778,NA,0.494136028362883,NA,-0.00115719039562292,-0.00255580424075459,NA,5,-66.6602221995936,143.914503805128,4.81071962039354,0.023397110617131
1.04368204740517,0.289102688322841,0.495347086794468,NA,-0.00387718011486197,-0.00332291966902724,NA,6,-65.5809510833351,144.00190216667,4.8981179819358,0.0223966939414374
0.959350482739235,0.212234114379773,0.505177308566648,NA,NA,-0.00286079534987949,-0.0853433809907144,6,-65.6046292259311,144.049258451862,4.94547426712793,0.0218726109698365
1.35769284446173,0.19806975763383,0.465551526114972,-2.70424162410117,-0.00195315250006611,-0.003045650662524,-0.0586033455868925,8,-63.5263961538996,144.522180062901,5.41839587816685,0.0172666070511039
1.68567521799527,NA,0.496541786319843,NA,-0.00131439455612762,-0.00257496076083142,-0.116671512425729,6,-66.2016852028633,145.243370405727,6.13958622099221,0.0120393353701223
1.19341744434331,0.260135998687303,0.496903854784718,NA,-0.00371430635904522,-0.0032594208385271,-0.0813829389339282,7,-65.3647800466101,145.860873224533,6.75708903979901,0.00884124609012118
0.245016819063052,NA,0.545075472326739,-3.19271105586508,0.00912590841501668,NA,NA,5,-69.4258864727909,149.445832351522,10.342048166788,0.00147248030853406
0.755231265564335,-0.156683762968276,0.52776814240545,-3.37582954359871,0.0091831044855082,NA,NA,6,-68.9982418310233,150.836483662047,11.7326994773122,0.000734638019454941
0.320972115235303,NA,0.548229074868501,-3.08463656981042,0.00903257781322168,NA,-0.0708837603971315,6,-69.2683069539903,151.376613907981,12.2728297232462,0.000560771079546493
0.894190599966579,NA,0.553556741986907,-2.83577046040325,NA,NA,NA,4,-71.5274266865929,151.447010235931,12.3432260511966,0.000541376299780718
0.114680009297334,NA,0.583092671488302,NA,0.00796332339892904,NA,NA,4,-71.8141276661889,152.020412195123,12.9166280103886,0.000406430775626232
0.932988633900595,-0.179936276275186,0.529436259213587,-3.25781624003852,0.00906621092739623,NA,-0.0952262760179721,7,-68.7207251654318,152.572763462177,13.4689792774425,0.000308350766515702
1.39215570490605,-0.151712249474819,0.536850035984862,-3.01091255047595,NA,NA,NA,5,-71.1420091881616,152.878077782264,13.7742935975295,0.000264695690195074
0.702236416331242,NA,0.586838011096748,NA,NA,NA,NA,3,-73.3744928085474,152.981995325833,13.8782111410983,0.000251293619805056
0.973050902577412,NA,0.557045881225883,-2.716968323405,NA,NA,-0.0806436988740773,5,-71.3309714601234,153.256002326187,14.1522181414531,0.000219119787527497
0.235131897035974,NA,0.585890431192607,NA,0.00788242489421687,NA,-0.106238338175624,5,-71.4689847281314,153.532028862203,14.428244677469,0.000190872427737136
0.445833861630651,-0.10320750169001,0.573128626364013,NA,0.00795707616754594,NA,NA,5,-71.6337496212855,153.861558648512,14.7577744637772,0.000161877583816882
0.822015071631627,NA,0.589725379441938,NA,NA,NA,-0.111152649709062,4,-73.0072906253429,154.406738113431,15.3029539286965,0.000123254418437278
1.57863149316295,-0.17734051886218,0.538556526465409,-2.88630043106748,NA,NA,-0.10467086701746,6,-70.8193354811201,154.47867096224,15.3748867775058,0.000118900170451416
1.03520861238308,-0.103918853502466,0.57680233088796,NA,NA,NA,NA,4,-73.1968799242422,154.785916711229,15.6821325264951,0.000101968236994165
0.695765032144706,-0.136503607301624,0.573237825444792,NA,0.00785895349684431,NA,-0.126210893087949,6,-71.1633072072439,155.166614414488,16.0628302297536,8.42941536717948e-05
1.28787569141237,-0.138578455733896,0.576868861830257,NA,NA,NA,-0.131413930811016,5,-72.7011642272854,155.996387860511,16.892603675777,5.56691307717446e-05
